Name,Category,KeyCount,MinTime,MaxTime,MinValue,MaxValue,FirstInterpMode
BarrelLengthBulletVelocityPartTuneCurve,PartTune,3,-10,10,-0.09,0.09,RCIM_Linear
BarrelLengthBulletVelocityPartTuneCurveDisplay,PartTune,3,-10,10,-9,9,RCIM_Linear
BarrelWeightADSSrafeSpeed,PartTune,3,-50,50,-0.04,0.04,RCIM_Linear
BarrelWeightADSSrafeSpeedDisplay,PartTune,3,-50,50,-4,4,RCIM_Linear
BarrelWeightGunkick,PartTune,3,-50,50,-0.04,0.04,RCIM_Linear
BarrelWeightGunkickDisplay,PartTune,3,-50,50,-4,4,RCIM_Linear
CheekPadPoisitionBreathStabilityDisplay,PartTune,3,0,100,-16,16,RCIM_Linear
CheekpadPositionADSStrafeScale1,PartTune,4,0,100,-0.04,0.04,RCIM_Linear
CheekpadPositionADSStrafeScaleDisplay,PartTune,6,-14.7,100,-4,4,RCIM_Linear
CheekpadPositionBreathScale,PartTune,4,0,100,-0.16,0.16,RCIM_Linear
DefaultPartTuneCurve1,PartTune,3,0,100,-1,1,RCIM_Linear
ForegripPoistionAdsSpeed,PartTune,3,0,100,-0.04,0.04,RCIM_Linear
ForegripPoistionAdsSpeedDisplay,PartTune,3,0,100,-4,4,RCIM_Linear
ForegripPositionRecoil,PartTune,3,0,100,-0.04,0.04,RCIM_Linear
ForegripPositionRecoilDisplay,PartTune,3,0,100,-4,4,RCIM_Linear
ForegripThicknessADSStrafeSpeed,PartTune,3,-20,20,-0.04,0.04,RCIM_Linear
ForegripThicknessADSStrafeSpeedDisplay,PartTune,3,-20,20,-4,4,RCIM_Linear
ForegripThicknessBehitSway,PartTune,3,-20,20,-0.16,0.16,RCIM_Linear
ForegripThicknessBehitSwayDisplay,PartTune,3,-20,20,-16,16,RCIM_Linear
ForegripWeightAdsSpeed,PartTune,3,-20,20,-0.04,0.04,RCIM_Linear
ForegripWeightAdsSpeedDisplay,PartTune,3,-20,20,-4,4,RCIM_Linear
ForegripWeightRecoil,PartTune,3,-20,20,-0.04,0.04,RCIM_Linear
ForegripWeightRecoilDisplay,PartTune,3,-20,20,-4,4,RCIM_Linear
GripThicknessADSSpeed,PartTune,3,-20,20,-0.04,0.04,RCIM_Linear
GripThicknessADSSpeedDisplay,PartTune,3,-20,20,-4,4,RCIM_Linear
MuzzleLengthADSSeed,PartTune,3,-5,5,-0.03,0.03,RCIM_Linear
MuzzleLengthADSSeedDisplay,PartTune,3,-5,5,-3,3,RCIM_Linear
MuzzleLengthVelocity,PartTune,3,-5,5,-0.09,0.09,RCIM_Linear
MuzzleLengthVelocityDisplay,PartTune,3,-5,5,-9,9,RCIM_Linear
MuzzleWeightBreathStability,PartTune,3,-50,50,-0.15,0.15,RCIM_Linear
MuzzleWeightBreathStabilityDisplay,PartTune,3,-50,50,-15,15,RCIM_Linear
MuzzleWeightRecoil,PartTune,3,-50,50,-0.06,0.06,RCIM_Linear
MuzzleWeightRecoilDisplay,PartTune,3,-50,50,-6,6,RCIM_Linear
ScoEyeDis,PartTune,3,-30,30,-2,2,RCIM_Linear
ScoEyeDisDisplay,PartTune,3,-20,20,-2,2,RCIM_Linear
StoThicknessADSSpeed,PartTune,3,-50,50,-0.05,0.05,RCIM_Linear
StoThicknessADSSpeedDisplay,PartTune,3,-50,50,-5,5,RCIM_Linear
StoThicknessGunkick,PartTune,3,-50,50,-0.04,0.04,RCIM_Linear
StoThicknessGunkickDisplay,PartTune,3,-50,50,-4,4,RCIM_Linear
StoWeightBreathScale,PartTune,4,-50,50,-0.18,0.18,RCIM_Linear
StoWeightBreathScaleDisplay,PartTune,4,-50,50,-18,18,RCIM_Linear
StoWeightRecoil,PartTune,3,-50,50,-0.06,0.06,RCIM_Linear
StoWeightRecoilDisplay,PartTune,3,-50,50,-6,6,RCIM_Linear
TeleStoPositionADSSpeed,PartTune,3,0,100,-0.05,0.05,RCIM_Linear
TeleStoPositionADSSpeedDisplay,PartTune,3,0,100,-5,5,RCIM_Linear
TeleStoPositionGunkick,PartTune,3,0,100,-0.04,0.04,RCIM_Linear
TeleStoPositionGunkickDisplay,PartTune,3,0,100,-4,4,RCIM_Linear
AimAssitor_Shooting_Curve,AimAssistor,2,0,1,0,1,RCIM_Cubic
AimAssitor_ZoomingIn_Curve,AimAssistor,4,0,1,0,1.0000001,RCIM_Cubic
AimAssitorScale_InputCurve,AimAssistor,2,0,0.05,-4.582136e-08,0.99999994,RCIM_Cubic
Rotation_RifleCurve,AimAssistor,3,200,3000,0,2,RCIM_Linear
Rotation_SniperCurve,AimAssistor,3,200,3000,0,2,RCIM_Linear
Shooting_RifleCurve,AimAssistor,4,400,6000,0,1,RCIM_Linear
Shooting_RifleCurve_Gamepad,AimAssistor,3,0,5000,0,1,RCIM_Linear
Shooting_SniperCurve,AimAssistor,4,400,6000,0,1,RCIM_Linear
Zoom_RifleCurve_SOL,AimAssistor,4,400,30000,0,1.0000001,RCIM_Linear
Zoom_SniperCurve,AimAssistor,4,400,10000,0,1,RCIM_Linear
