RowName,VehicleId,VehicleName,CarType,CustomVehicleType,ForceWidgetLayoutVehicleId,VehicleClassType,DeployShortDesc,DeployType,VehicleClass,LockType,EffectId,AudioKey,bIsClosedVehicle,SoftRefIcon,SoftRefIconInMap,bShowInEdgeWhenRedeploy,AirDropSockets,ScanningRadarConfig,AirDropOwnTime,KillBroadcastIconPath,AssistAimConfigGroup,RowDescription
1301004,1301004,,EAnimVehicleType::Helicopter,ECustomVehicleType::None,0,EDFMVehicleClassType::VehicleClassType_Sky,,EVehicleDeployType::None,"(AssetPath=/Game/BluePrints/Vehicles/AI_AH64/BP_AI_AH64_HD.BP_AI_AH64_HD_C, SubPath=)",2,1000016,Boss04_Helicopter,True,(),(),False,,"(bIsEnableScanning=False, HorizontalRadius=100, VerticalLength=100, ScanningInterval=1, TargetVehicleClassArray=)",0,(),EVehicleAssistAimConfigGroup::EVAACG_Default,None
1103012,1103012,,EAnimVehicleType::MilitaryJeep,ECustomVehicleType::None,0,EDFMVehicleClassType::VehicleClassType_Ground,,EVehicleDeployType::LightVehicle,"(AssetPath=/Game/BluePrints/Vehicles/LSOV/Appearance_Base/BP_LSOV_HD.BP_LSOV_HD_C, SubPath=)",1,1000014,LRSOV,False,(),(),True,"(Rotation=(), Translation=(X=202, Y=48, Z=155), Scale3D=(X=1, Y=1, Z=1)); (Rotation=(), Translation=(X=202, Y=-49, Z=155), Scale3D=(X=1, Y=1, Z=1)); (Rotation=(), Translation=(X=-211, Y=-63, Z=121), Scale3D=(X=1, Y=1, Z=1)); (Rotation=(), Translation=(X=-211, Y=61, Z=121), Scale3D=(X=1, Y=1, Z=1))","(bIsEnableScanning=False, HorizontalRadius=100, VerticalLength=100, ScanningInterval=1, TargetVehicleClassArray=)",0,(),EVehicleAssistAimConfigGroup::EVAACG_Default,None
1101004,1101004,,EAnimVehicleType::Wheel_Tank,ECustomVehicleType::None,0,EDFMVehicleClassType::VehicleClassType_Ground,,EVehicleDeployType::LightArmor,"(AssetPath=/Game/BluePrints/Vehicles/WheeledTank/Appearance_Base/BP_WheeledTank_HD.BP_WheeledTank_HD_C, SubPath=)",1,1000015,FSV,True,(),(),True,"(Rotation=(), Translation=(X=268, Y=112, Z=140), Scale3D=(X=1, Y=1, Z=1)); (Rotation=(), Translation=(X=268, Y=-113, Z=140), Scale3D=(X=1, Y=1, Z=1)); (Rotation=(), Translation=(X=-222, Y=-99, Z=181), Scale3D=(X=1, Y=1, Z=1)); (Rotation=(), Translation=(X=-222, Y=99, Z=181), Scale3D=(X=1, Y=1, Z=1))","(bIsEnableScanning=False, HorizontalRadius=100, VerticalLength=100, ScanningInterval=1, TargetVehicleClassArray=)",25,(),EVehicleAssistAimConfigGroup::EVAACG_Default,None
1301005,1301005,,EAnimVehicleType::Bird_Helicopter,ECustomVehicleType::None,0,EDFMVehicleClassType::VehicleClassType_Sky,,EVehicleDeployType::AttackHelicopter,"(AssetPath=/Game/BluePrints/Vehicles/MH6/BP_MH6_HD.BP_MH6_HD_C, SubPath=)",2,1000017,Military_Helicopter_AH_6i,True,(),(),True,,"(bIsEnableScanning=True, HorizontalRadius=15000, VerticalLength=100000, ScanningInterval=1, TargetVehicleClassArray=(); ())",25,(),EVehicleAssistAimConfigGroup::EVAACG_Default,None
1301006,1301006,,EAnimVehicleType::Helicopter,ECustomVehicleType::None,0,EDFMVehicleClassType::VehicleClassType_Sky,,EVehicleDeployType::AirTransport,"(AssetPath=/Game/BluePrints/Vehicles/UH60/UH-60.UH-60_C, SubPath=)",2,1000019,Military_Helicopter,True,(),(),True,,"(bIsEnableScanning=False, HorizontalRadius=100, VerticalLength=100, ScanningInterval=1, TargetVehicleClassArray=)",25,(),EVehicleAssistAimConfigGroup::EVAACG_Default,None
1301007,1301007,,EAnimVehicleType::Jet,ECustomVehicleType::None,0,EDFMVehicleClassType::VehicleClassType_Sky,,EVehicleDeployType::Fighter,"(AssetPath=/Game/BluePrints/Vehicles/JET/BP_Jet_HD.BP_Jet_HD_C, SubPath=)",2,1000021,F35,True,(),(),True,,"(bIsEnableScanning=True, HorizontalRadius=15000, VerticalLength=100000, ScanningInterval=1, TargetVehicleClassArray=(); ())",25,(),EVehicleAssistAimConfigGroup::EVAACG_Default,None
1101099,1101099,,EAnimVehicleType::Tank,ECustomVehicleType::None,0,EDFMVehicleClassType::VehicleClassType_Ground,,EVehicleDeployType::HeavyVehicle,"(AssetPath=/Game/BluePrints/Vehicles/Tank/BP_Tank_HD.BP_Tank_HD_C, SubPath=)",1,1000007,M1_Abrams,True,(),(),True,"(Rotation=(), Translation=(X=254, Y=199, Z=141), Scale3D=(X=1, Y=1, Z=1)); (Rotation=(), Translation=(X=254, Y=-199, Z=141), Scale3D=(X=1, Y=1, Z=1)); (Rotation=(), Translation=(X=-475, Y=-169, Z=191), Scale3D=(X=1, Y=1, Z=1)); (Rotation=(), Translation=(X=-475, Y=170, Z=191), Scale3D=(X=1, Y=1, Z=1))","(bIsEnableScanning=False, HorizontalRadius=100, VerticalLength=100, ScanningInterval=1, TargetVehicleClassArray=)",25,(),EVehicleAssistAimConfigGroup::EVAACG_Default,None
1101005,1101005,,EAnimVehicleType::GTQ35,ECustomVehicleType::None,0,EDFMVehicleClassType::VehicleClassType_Ground,,EVehicleDeployType::LightArmor,"(AssetPath=/Game/BluePrints/Vehicles/GTQ-35/BP_GTQ35_HD.BP_GTQ35_HD_C, SubPath=)",1,1000020,GTQ35,True,(),(),True,"(Rotation=(), Translation=(X=295, Y=-92, Z=115), Scale3D=(X=1, Y=1, Z=1)); (Rotation=(), Translation=(X=295, Y=95, Z=115), Scale3D=(X=1, Y=1, Z=1)); (Rotation=(), Translation=(X=-319, Y=138, Z=158), Scale3D=(X=1, Y=1, Z=1)); (Rotation=(), Translation=(X=-319, Y=-139, Z=158), Scale3D=(X=1, Y=1, Z=1))","(bIsEnableScanning=False, HorizontalRadius=100, VerticalLength=100, ScanningInterval=1, TargetVehicleClassArray=)",25,(),EVehicleAssistAimConfigGroup::EVAACG_Default,None
1103013,1103013,,EAnimVehicleType::BaseCar,ECustomVehicleType::None,0,EDFMVehicleClassType::VehicleClassType_Ground,,EVehicleDeployType::None,"(AssetPath=/Game/BluePrints/Vehicles/BP_ArmedPickup_AI_S2.BP_ArmedPickup_AI_S2_C, SubPath=)",1,1000001,Pickup,False,(),(),False,,"(bIsEnableScanning=False, HorizontalRadius=100, VerticalLength=100, ScanningInterval=1, TargetVehicleClassArray=)",0,(),EVehicleAssistAimConfigGroup::EVAACG_Default,None
1103014,1103014,,EAnimVehicleType::BaseCar,ECustomVehicleType::None,0,EDFMVehicleClassType::VehicleClassType_Ground,,EVehicleDeployType::None,"(AssetPath=/Game/BluePrints/Vehicles/BP_ArmedPickup_AI_S2.BP_ArmedPickup_AI_S2_C, SubPath=)",1,1000001,Pickup,False,(),(),False,,"(bIsEnableScanning=False, HorizontalRadius=100, VerticalLength=100, ScanningInterval=1, TargetVehicleClassArray=)",0,(),EVehicleAssistAimConfigGroup::EVAACG_Default,None
1201002,1201002,,EAnimVehicleType::MotorBoat,ECustomVehicleType::None,0,EDFMVehicleClassType::VehicleClassType_Water,,EVehicleDeployType::LightVehicle,"(AssetPath=/Game/BluePrints/Vehicles/MotorBoat/BP_MotorBoat_HD.BP_MotorBoat_HD_C, SubPath=)",1,1000022,Motorboat,False,(),(),True,"(Rotation=(), Translation=(X=101, Y=-48, Z=56), Scale3D=(X=1, Y=1, Z=1)); (Rotation=(), Translation=(X=101, Y=48, Z=56), Scale3D=(X=1, Y=1, Z=1)); (Rotation=(), Translation=(X=-101, Y=50, Z=48), Scale3D=(X=1, Y=1, Z=1)); (Rotation=(), Translation=(X=-101, Y=-50, Z=48), Scale3D=(X=1, Y=1, Z=1))","(bIsEnableScanning=False, HorizontalRadius=100, VerticalLength=100, ScanningInterval=1, TargetVehicleClassArray=)",0,(),EVehicleAssistAimConfigGroup::EVAACG_Default,None
1201003,1201003,,EAnimVehicleType::Boat,ECustomVehicleType::None,0,EDFMVehicleClassType::VehicleClassType_Water,,EVehicleDeployType::LightVehicle,"(AssetPath=/Game/BluePrints/Vehicles/AgainstBoat/Appearance_Base/BP_AgainstBoat_HD.BP_AgainstBoat_HD_C, SubPath=)",1,1000000,UCB95,False,(),(),True,,"(bIsEnableScanning=False, HorizontalRadius=100, VerticalLength=100, ScanningInterval=1, TargetVehicleClassArray=)",25,(),EVehicleAssistAimConfigGroup::EVAACG_Default,None
1101006,1101006,,EAnimVehicleType::AAV,ECustomVehicleType::None,0,EDFMVehicleClassType::VehicleClassType_Ground,,EVehicleDeployType::HeavyVehicle,"(AssetPath=/Game/BluePrints/Vehicles/AAV7/BP_AAV7_HD.BP_AAV7_HD_C, SubPath=)",1,1000023,AAV,True,(),(),True,"(Rotation=(), Translation=(X=295, Y=-92, Z=115), Scale3D=(X=1, Y=1, Z=1)); (Rotation=(), Translation=(X=295, Y=95, Z=115), Scale3D=(X=1, Y=1, Z=1)); (Rotation=(), Translation=(X=-319, Y=138, Z=158), Scale3D=(X=1, Y=1, Z=1)); (Rotation=(), Translation=(X=-319, Y=-139, Z=158), Scale3D=(X=1, Y=1, Z=1))","(bIsEnableScanning=False, HorizontalRadius=100, VerticalLength=100, ScanningInterval=1, TargetVehicleClassArray=)",25,(),EVehicleAssistAimConfigGroup::EVAACG_Default,None
1101007,1101007,,EAnimVehicleType::ATV,ECustomVehicleType::None,0,EDFMVehicleClassType::VehicleClassType_Ground,,EVehicleDeployType::LightArmor,"(AssetPath=/Game/BluePrints/Vehicles/RCV/BP_RCV_HD.BP_RCV_HD_C, SubPath=)",1,1000009,ATV,True,(),(),True,"(Rotation=(), Translation=(X=416, Y=74, Z=205), Scale3D=(X=1, Y=1, Z=1)); (Rotation=(), Translation=(X=416, Y=-76, Z=205), Scale3D=(X=1, Y=1, Z=1)); (Rotation=(), Translation=(X=-336, Y=150, Z=263), Scale3D=(X=1, Y=1, Z=1)); (Rotation=(), Translation=(X=-336, Y=-159, Z=263), Scale3D=(X=1, Y=1, Z=1))","(bIsEnableScanning=False, HorizontalRadius=100, VerticalLength=100, ScanningInterval=1, TargetVehicleClassArray=)",25,(),EVehicleAssistAimConfigGroup::EVAACG_Default,None
1301008,1301008,,EAnimVehicleType::Jet,ECustomVehicleType::None,0,EDFMVehicleClassType::VehicleClassType_Sky,,EVehicleDeployType::AirTransport,"(AssetPath=/Game/BluePrints/Vehicles/QXY35/BP_QXY35_HD.BP_QXY35_HD_C, SubPath=)",2,1000021,F35,True,(),(),True,,"(bIsEnableScanning=True, HorizontalRadius=15000, VerticalLength=100000, ScanningInterval=1, TargetVehicleClassArray=(); ())",25,(),EVehicleAssistAimConfigGroup::EVAACG_Jet,None
1101008,1101008,,EAnimVehicleType::ATV,ECustomVehicleType::None,0,EDFMVehicleClassType::VehicleClassType_Ground,,EVehicleDeployType::LightArmor,"(AssetPath=/Game/BluePrints/Vehicles/RCV/BP_RCV2_HD_2.BP_RCV2_HD_2_C, SubPath=)",1,1000009,ATV,True,(),(),True,"(Rotation=(), Translation=(X=416, Y=74, Z=205), Scale3D=(X=1, Y=1, Z=1)); (Rotation=(), Translation=(X=416, Y=-76, Z=205), Scale3D=(X=1, Y=1, Z=1)); (Rotation=(), Translation=(X=-336, Y=150, Z=263), Scale3D=(X=1, Y=1, Z=1)); (Rotation=(), Translation=(X=-336, Y=-159, Z=263), Scale3D=(X=1, Y=1, Z=1))","(bIsEnableScanning=False, HorizontalRadius=100, VerticalLength=100, ScanningInterval=1, TargetVehicleClassArray=)",25,(),EVehicleAssistAimConfigGroup::EVAACG_Default,None
