RowName,RegionNo,RegionCode,PriorityModePC,PriorityModeMobile,RowDescription
242,242,fj,SOL,SOL,None
807,807,mk,SOL,SOL,None
831,831,gg,SOL,SOL,None
580,580,mp,SOL,SOL,None
666,666,pm,SOL,SOL,None
275,275,ps,SOL,SOL,None
4,4,af,SOL,SOL,None
887,887,ye,SOL,SOL,None
760,760,sy,SOL,SOL,None
196,196,cy,SOL,SOL,None
364,364,ir,SOL,SOL,None
710,710,za,MP,MP,None
480,480,mu,MP,MP,None
566,566,ng,MP,MP,None
104,104,mm,SOL,SOL,None
116,116,kh,SOL,SOL,None
96,96,bn,SOL,SOL,None
418,418,la,SOL,SOL,None
496,496,mn,SOL,SOL,None
180,180,cd,MP,MP,None
178,178,cg,MP,MP,None
832,832,je,SOL,SOL,None
248,248,ax,SOL,SOL,None
316,316,gu,SOL,SOL,None
729,729,sd,MP,MP,None
404,404,ke,MP,MP,None
288,288,gh,MP,MP,None
834,834,tz,MP,MP,None
24,24,ao,MP,MP,None
894,894,zm,MP,MP,None
258,258,pf,SOL,SOL,None
450,450,mg,MP,MP,None
706,706,so,MP,MP,None
585,585,pw,SOL,SOL,None
508,508,mz,MP,MP,None
800,800,ug,MP,MP,None
686,686,sn,MP,MP,None
266,266,ga,MP,MP,None
638,638,re,MP,MP,None
516,516,na,MP,MP,None
304,304,gl,SOL,SOL,None
120,120,cm,MP,MP,None
478,478,mr,MP,MP,None
540,540,nc,SOL,SOL,None
72,72,bw,MP,MP,None
430,430,lr,MP,MP,None
231,231,et,MP,MP,None
598,598,pg,SOL,SOL,None
466,466,ml,MP,MP,None
694,694,sl,MP,MP,None
690,690,sc,MP,MP,None
226,226,gq,MP,MP,None
262,262,dj,MP,MP,None
132,132,cv,MP,MP,None
882,882,ws,SOL,SOL,None
454,454,mw,MP,MP,None
768,768,tg,MP,MP,None
204,204,bj,MP,MP,None
646,646,rw,MP,MP,None
583,583,fm,SOL,SOL,None
324,324,gn,MP,MP,None
270,270,gm,MP,MP,None
184,184,ck,SOL,SOL,None
90,90,sb,SOL,SOL,None
716,716,zw,MP,MP,None
854,854,bf,MP,MP,None
426,426,ls,MP,MP,None
562,562,ne,MP,MP,None
728,728,ss,MP,MP,None
584,584,mh,SOL,SOL,None
86,86,io,SOL,SOL,None
520,520,nr,SOL,SOL,None
748,748,sz,MP,MP,None
548,548,vu,SOL,SOL,None
140,140,cf,MP,MP,None
148,148,td,MP,MP,None
876,876,wf,SOL,SOL,None
776,776,to,SOL,SOL,None
16,16,as,SOL,SOL,None
574,574,nf,SOL,SOL,None
624,624,gw,MP,MP,None
570,570,nu,SOL,SOL,None
175,175,yt,MP,MP,None
108,108,bi,MP,MP,None
678,678,st,MP,MP,None
408,408,kp,SOL,SOL,None
174,174,km,MP,MP,None
296,296,ki,SOL,SOL,None
798,798,tv,SOL,SOL,None
772,772,tk,SOL,SOL,None
232,232,er,MP,MP,None
764,764,th,SOL,SOL,None
458,458,my,SOL,SOL,None
608,608,ph,SOL,SOL,None
702,702,sg,SOL,SOL,None
360,360,id,SOL,SOL,None
158,158,tw,SOL,SOL,None
784,784,ae,MP,MP,None
434,434,ly,MP,MP,None
504,504,ma,MP,MP,None
12,12,dz,MP,MP,None
788,788,tn,MP,MP,None
682,682,sa,MP,MP,None
368,368,iq,MP,MP,None
414,414,kw,MP,MP,None
634,634,qa,MP,MP,None
512,512,om,MP,MP,None
818,818,eg,MP,MP,None
422,422,lb,MP,MP,None
400,400,jo,MP,MP,None
48,48,bh,MP,MP,None
792,792,tr,MP,MP,None
535,535,bq,MP,MP,None
238,238,fk,MP,MP,None
500,500,ms,MP,MP,None
76,76,br,MP,MP,None
484,484,mx,MP,MP,None
152,152,cl,MP,MP,None
32,32,ar,MP,MP,None
630,630,pr,MP,MP,None
170,170,co,MP,MP,None
604,604,pe,MP,MP,None
214,214,do,MP,MP,None
218,218,ec,MP,MP,None
188,188,cr,MP,MP,None
320,320,gt,MP,MP,None
858,858,uy,MP,MP,None
388,388,jm,MP,MP,None
591,591,pa,MP,MP,None
68,68,bo,MP,MP,None
222,222,sv,MP,MP,None
340,340,hn,MP,MP,None
600,600,py,MP,MP,None
558,558,ni,MP,MP,None
780,780,tt,MP,MP,None
862,862,ve,MP,MP,None
84,84,bz,MP,MP,None
740,740,sr,MP,MP,None
52,52,bb,MP,MP,None
850,850,vi,MP,MP,None
328,328,gy,MP,MP,None
44,44,bs,MP,MP,None
531,531,cw,MP,MP,None
28,28,ag,MP,MP,None
332,332,ht,MP,MP,None
136,136,ky,MP,MP,None
533,533,aw,MP,MP,None
308,308,gd,MP,MP,None
662,662,lc,MP,MP,None
670,670,vc,MP,MP,None
254,254,gf,MP,MP,None
796,796,tc,MP,MP,None
60,60,bm,MP,MP,None
92,92,vg,MP,MP,None
660,660,ai,MP,MP,None
663,663,mf,MP,MP,None
534,534,sx,MP,MP,None
212,212,dm,MP,MP,None
659,659,kn,MP,MP,None
474,474,mq,MP,MP,None
312,312,gp,MP,MP,None
652,652,bl,MP,MP,None
192,192,cu,SOL,SOL,None
704,704,vn,SOL,SOL,None
9999,9999,9999,SOL,SOL,None
