RowName,FashionID,WearPosition,BelongedHeroID,IsDefUnlock,IsDefEquip,Name,BrandIcon,HeroItemIDs,Class,Icon,Desc,BundleIcons,GoodsId,SocialShareCDN,FashionMusicName,DisplayType,RowDescription
30000050019,30000050019,0,88000000028,False,False,,(),38110050034; 38110050035,5,(),,,0,C=6D393C3EF0203959918394031F692EC7D1B7473C1BC0CE86B591264C953CFA459711668FA865990DD92CA5DDBF5D94AD.jpg,,3,None
30000050018,30000050018,0,88000000035,False,False,,(),38110050039; 38110050040; 38110050041,5,(),,,0,C=EE50B7B2156EDEF0A7A333B3288C484EE51BE852871162B63EBBD79263A09B70AD9561FDA37BA0786A55FC11A68CCE76.jpg,,3,None
30000060007,30000060007,0,88000000025,False,False,,(),38110060018; 38110060019; 38060060006,6,(),,,0,C=313DB3843622260B60D49341D3D402DBB1C2540CDE372D992866D0CFB5E0EB2E49127BE58BF8C9090D0D60A0DE8CB421.jpg,Music_BF_Win_Outers_1u,3,None
30000050020,30000050020,0,88000000036,False,False,,(),38110050042; 38110050043; 38110050044,5,(),,,0,C=A9E3EE89D9DB7C99DD5FBAF1B06320356DE67A734B162DAEA77CDF7B557212F6AD9561FDA37BA0786A55FC11A68CCE76.jpg,,3,None
30000020015,30000020015,0,88000000042,True,True,,(),,2,(),,,0,,,2,None
30000020016,30000020016,0,88000000043,True,True,,(),,2,(),,,0,,,2,None
30000020017,30000020017,0,88000000044,True,True,,(),,2,(),,,0,,,2,None
30000020018,30000020018,0,88000000045,True,True,,(),,2,(),,,0,C=87699CA85CE0B513F50FA84BE2F9D1292E05BB8EA51E29769E7A9BBD92403D30AD9561FDA37BA0786A55FC11A68CCE76.jpg,,2,None
30000050021,30000050021,0,88000000028,False,False,,(),38110050045; 38110050046,5,(),,,0,C=6D393C3EF0203959918394031F692EC7E9E203E3662A09CAAE9278A4874486BA9711668FA865990DD92CA5DDBF5D94AD.jpg,,3,None
30000060008,30000060008,0,88000000027,False,False,,(),38110060020; 38110060021; 38110060022,6,(),,,0,,,3,None
30000020019,30000020019,0,88000000046,True,True,,(),,2,(),,,0,C=32983CD4811A6C3C3C7E3AC241BA7F5FA575104863DF29C9839CC659AB6036BEAD9561FDA37BA0786A55FC11A68CCE76.jpg,,2,None
30000050022,30000050022,0,88000000040,False,False,,(),38110050047; 38110050048; 38110050049,5,(),,,0,C=AD94EE57D3EE3525AA1B243095960962713FA0E53CBA2C420E25CCAADC5168679711668FA865990DD92CA5DDBF5D94AD.jpg,,3,None
