RowName,MapID,DisplayName,LevelName,SubWorldName,LevelFullPath,TargetKillCount,MaxMatchDuration,bAddToCook,bShowInMapSelection,bUseFastNetFrame,MapDesc,bStreamingLevel,bUsePSOCache,bInGameLevel,bShouldWaitingAllPlayerLoadComplete,DoorKeyConsumeMultiple,RowDescription
38,38,,AIAnim_ProfileMap,,/Game/Maps/TestMap/AITest/AIAnim_ProfileMap,0,1800,False,True,True,,False,False,False,False,1,None
39,39,,SpaceCenter,SpaceCenter,/Game/Maps/Iris_Entry/Iris_Entry,0,1800,False,True,True,,True,True,True,False,1,None
40,40,,Showroom,,/Game/Environment/ShowRoom,0,1800,False,True,True,,False,False,False,False,1,None
41,41,,ldtest_TDM,,/Game/Maps/TestMap/Level_Prototype/LD_Kairo/Map/ldtest_TDM,80,1800,False,True,True,,False,False,False,False,1,None
42,42,,BatchMergeTest,,/Game/Maps/TestMap/ModularWeaponTest/BatchMergeTest,0,1800,False,True,True,,False,False,False,False,1,None
43,43,,BFTest,,/Game/Maps/TestMap/Level_Prototype/LD_AceQin/BFTest,0,1800,False,True,True,,False,False,False,False,1,None
44,44,,UITest,,/Game/Maps/TestMap/UI/UITest,0,1800,False,True,True,,False,True,False,False,1,None
45,45,,TDM_lazychen,,/Game/Maps/TestMap/Level_Prototype/LD_Lazychen/TDM_lazychen,80,1800,False,True,True,,False,False,False,False,1,None
46,46,,DevilDogs_Breakthrough,,/Game/Maps/DevilDogs_Breakthrough/DevilDogs_Breakthrough,80,1800,False,True,True,,False,False,False,False,1,None
47,47,,ldtest2_TDM,,/Game/Maps/TestMap/Level_Prototype/LD_zhihong/Map/TDM,80,1800,False,True,True,,False,False,False,False,1,None
48,48,,ship,,/Game/Maps/TestMap/Level_Prototype/LD_slime/Ship/Ship,80,1800,False,True,True,,False,False,False,False,1,None
49,49,,DevilDogs_Conquest,,/Game/Maps/DevilDogs/DevilDogs_Conquest,80,1800,False,True,True,,False,False,False,False,1,None
50,50,,satelliteStationS1,,/Game/Maps/TestMap/Level_Prototype/LD_Kairo/Map/ldtest_breakthrough,80,1800,False,True,True,,False,False,False,False,1,None
51,51,,BFTest,,/Game/Maps/TestMap/GameTest/BFTest,80,1800,False,True,True,,False,False,False,False,1,None
52,52,,MovementTestMap,,/Game/Maps/TestMap/MovementTest/MovementTestMap,0,1800,False,True,True,,False,False,False,False,1,None
53,53,,Siberian_new1,,/Game/Maps/NovoyaZemlya/Siberian_new1,80,1800,False,True,True,,False,False,False,False,1,None
54,54,,Iceland_Breakthrough,,/Game/Maps/Iceland_Breakthrough/Iceland_Breakthrough,80,1800,True,True,True,,False,False,False,False,1,None
56,56,,CrackedminiB,,/Game/Maps/TestMap/Level_Prototype/LD_Kairo/Map/CrackedMini/CrackedMiniB,80,1800,False,True,True,,False,False,False,False,1,None
57,57,,FractopiaTest,,/Game/Maps/Fractopia/FractopiaTest,80,1800,False,True,True,,False,False,False,False,1,None
58,58,,POOBLOX,,/Game/Maps/TestMap/Level_Prototype/LD_chriskwang/TDM_POOBLOX,80,900,False,True,True,,False,False,False,False,1,None
59,59,,Sandbox_Boat,,/Game/Maps/TestMap/Sandbox_Boat,0,1800,False,True,True,,False,False,False,False,1,None
60,60,,Sandbox_Boat,,/Game/Maps/SceneAutomation/Iris_Automation/Iris_Automation,0,1800,True,True,True,,False,False,False,False,1,None
61,61,,ModelCity_showRoom,,/Game/Maps/TestMap/ShowRoom/ShowRoom,0,1800,False,True,True,,False,False,False,False,1,None
62,62,,ColdSnowWorld,,/Game/Maps/TestMap/Level_Prototype/LD_AceQin/ColdSnowWorld,80,1800,False,True,True,,False,False,False,False,1,None
63,63,,UnitTestingScene,,/Game/Maps/TestMap/LightingTest/UnitTestingScene/UnitTestingScene,0,1800,False,True,True,,False,False,False,False,1,None
64,64,,ModeHall,,/Game/Maps/FrontEnd/ModeHall,0,1800,True,False,True,,False,False,False,False,1,None
65,65,,Forrest4Cook,,/Game/Maps/Forrest/Forrest,0,2400,True,False,True,,True,True,True,False,1,None
66,66,,SpaceCenter4Cook,,/Game/Maps/SpaceCenter/SpaceCenter,0,1800,True,False,True,,True,True,True,False,1,None
67,67,,Dam4Cook,,/Game/Maps/Dam_Iris/Dam_Iris,0,1800,True,False,True,,True,True,True,False,1,None
68,68,,TestMap_Performance_Battlefield,,/Game/Maps/TestPerfomanceMap/TestMap_Performance_Battlefield,80,1800,True,True,True,,False,False,False,False,1,None
69,69,,TestMap_Performance_SOL,,/Game/Maps/TestPerfomanceMap/TestMap_Performance_SOL,0,1800,True,True,True,,True,True,True,False,1,None
70,70,,IrisEntryCook,,/Game/Maps/Iris_Entry/Iris_Entry,0,1800,True,False,True,,True,True,True,False,1,None
71,71,,Gym_Breakthrough,,/Game/Maps/TestMap/3CTest/Gym_Breakthrough,0,1800,False,True,True,,False,False,False,False,1,None
72,72,,TestMap_Gameplay_SOL,,/Game/Maps/TestPerfomanceMap/TestMap_Gameplay_SOL,0,1800,True,True,True,,True,True,True,False,1,None
73,73,,Cracked纯场景测试图,,/Game/Maps/SceneAutomation/Cracked_Automation/Cracked_Automation,0,1800,True,True,True,,True,True,True,False,1,None
74,74,,TestMap_PracticeRange,,/Game/Maps/PracticeRange/TestMap_PracticeRange,0,1800,False,True,True,,False,False,False,False,1,None
75,75,,Gibraltar_Breakthrough,,/Game/Maps/Gibraltar_Breakthrough/Gibraltar_Breakthrough,80,1800,True,True,True,,False,False,False,False,1,None
76,76,,TestAIMap_Mobile,,/Game/Maps/TestMap/AITest/SOL_FightTest_V2/TestAIMap_Mobile,0,1800,True,True,True,,False,False,False,False,1,None
77,77,,220107UICE_testmap,,/Game/Maps/TestMap/UI/220107UICE_testmap,0,3600,False,True,True,,False,False,True,False,1,None
78,78,,UnitTest_BlackBoxAI,,/Game/Maps/TestMap/AITest/UnitTest_BlackBoxAI,0,1800,False,True,True,,False,False,False,False,1,None
79,79,,Quest_Test,,/Game/Maps/QuestTest/Quest_Test,0,1800,False,True,True,,False,False,False,False,1,None
80,80,,Forrest_Tutorial,Forrest_Tutorial,/Game/Maps/Iris_Entry/Iris_Entry,0,1200,False,True,True,,True,True,True,False,1,None
181,181,,Forrest_Tutorial4Cook,,/Game/Maps/Forrest_Tutorial/Forrest_Tutorial,0,1200,True,False,True,,True,True,True,False,1,None
182,182,,OldCity_Level1_4Cook,,/Game/Maps/CooPVE/OldCity_Level1/OldCity_Level1,0,3600,True,False,True,,True,True,True,False,1,None
183,183,,OldCity_Level2_4Cook,,/Game/Maps/CooPVE/OldCity_Level2/OldCity_Level2,0,3600,True,False,True,,True,True,True,False,1,None
184,184,,OldCity_Level3_4Cook,,/Game/Maps/CooPVE/OldCity_Level3/OldCity_Level3,0,3600,True,False,True,,True,True,True,False,1,None
191,191,,Forrest_Level1_4Cook,,/Game/Maps/Forrest_Level1/Forrest_Level1,0,2100,True,True,True,,True,True,True,False,1,None
192,192,,Forrest_Level2_4Cook,,/Game/Maps/Forrest_Level2/Forrest_Level2,0,2100,True,True,True,,True,True,True,False,2,None
193,193,,Forrest_Level999_4Cook,,/Game/Maps/Forrest_Level999/Forrest_Level999,0,1500,True,False,True,,True,True,True,False,1,None
194,194,,Forrest_Level11_4Cook,,/Game/Maps/Forrest_Level11/Forrest_Level11,0,2100,True,True,True,,True,True,True,False,1,None
195,195,,Forrest_Level12_4Cook,,/Game/Maps/Forrest_Level12/Forrest_Level12,0,2100,True,True,True,,True,True,True,False,2,None
196,196,,Forrest_Level21_4Cook,,/Game/Maps/Forrest_Level21/Forrest_Level21,0,2100,True,True,True,,True,True,True,False,2,None
197,197,,Forrest_Level22_4Cook,,/Game/Maps/Forrest_Level22/Forrest_Level22,0,2100,True,True,True,,True,True,True,False,2,None
221,221,,Dam_Iris_Level1_4Cook,,/Game/Maps/Dam_Iris_Level1/Dam_Iris_Level1,0,1800,True,True,True,,True,True,True,False,1,None
222,222,,Dam_Iris_Level2_4Cook,,/Game/Maps/Dam_Iris_Level2/Dam_Iris_Level2,0,1800,True,True,True,,True,True,True,False,2,None
223,223,,Dam_Iris_Level11_4Cook,,/Game/Maps/Dam_Iris_Level11/Dam_Iris_Level11,0,1800,True,True,True,,False,False,False,False,1,None
224,224,,Dam_Iris_Level12_4Cook,,/Game/Maps/Dam_Iris_Level12/Dam_Iris_Level12,0,1800,True,True,True,,False,False,False,False,1,None
225,225,,Dam_Iris_Level21_4Cook,,/Game/Maps/Dam_Iris_Level21/Dam_Iris_Level21,0,1800,True,True,True,,False,False,False,False,1,None
226,226,,Dam_Iris_Level22_4Cook,,/Game/Maps/Dam_Iris_Level22/Dam_Iris_Level22,0,1800,True,True,True,,False,False,False,False,1,None
391,391,,SpaceCenter_Level1_4Cook,,/Game/Maps/SpaceCenter_Level1/SpaceCenter_Level1,0,1800,True,True,True,,True,True,True,False,2,None
392,392,,SpaceCenter_Level2_4Cook,,/Game/Maps/SpaceCenter_Level2/SpaceCenter_Level2,0,1800,True,True,True,,True,True,True,False,4,None
395,395,,SpaceCenter_Level21_4Cook,,/Game/Maps/SpaceCenter_Level21/SpaceCenter_Level21,0,1800,True,True,True,,True,True,True,False,2,None
396,396,,SpaceCenter_Level22_4Cook,,/Game/Maps/SpaceCenter_Level22/SpaceCenter_Level22,0,1800,True,True,True,,True,True,True,False,4,None
1801,1801,,OldCity_Level1,OldCity_Level1,/Game/Maps/OldCity_Long3/OldCity_Long3,0,3600,False,False,True,,True,True,True,True,1,None
1802,1802,,OldCity_Level2,OldCity_Level2,/Game/Maps/OldCity_Long3/OldCity_Long3,0,3600,False,False,True,,True,True,True,True,1,None
1803,1803,,OldCity_Level3,OldCity_Level3,/Game/Maps/OldCity_Long3/OldCity_Long3,0,3600,False,False,True,,True,True,True,True,1,None
1809,1809,,OldCity_Long3,OldCity_Long3,/Game/Maps/OldCity_Long3/OldCity_Long3,0,3600,True,True,True,,True,True,True,True,1,None
1810,1810,,OldCity_Long3_Automation,OldCity_Long3_Automation,/Game/Maps/SceneAutomation/OldCity_Long3_Automation/OldCity_Long3_Automation,0,1800,True,True,True,,False,False,False,False,1,None
1901,1901,,Forrest_Level1,Forrest_Level1,/Game/Maps/Iris_Entry/Iris_Entry,0,2100,False,False,True,,True,True,True,False,1,None
1902,1902,,Forrest_Level2,Forrest_Level2,/Game/Maps/Iris_Entry/Iris_Entry,0,2100,False,False,True,,True,True,True,False,2,None
1911,1911,,Forrest_Level11,Forrest_Level11,/Game/Maps/Iris_Entry/Iris_Entry,0,2100,False,False,True,,True,True,True,False,1,None
1912,1912,,Forrest_Level12,Forrest_Level12,/Game/Maps/Iris_Entry/Iris_Entry,0,2100,False,False,True,,True,True,True,False,2,None
1999,1999,,Forrest_Level999,Forrest_Level999,/Game/Maps/Iris_Entry/Iris_Entry,0,1500,False,False,True,,True,True,True,False,1,None
1919,1919,,Forrest_Long3,Forrest_Long3,/Game/Maps/Forrest_Long3/Forrest_Long3,0,2100,True,True,True,,True,True,True,False,1,None
1920,1920,,Forrest_Long3_Automation,Forrest_Long3_Automation,/Game/Maps/SceneAutomation/Forrest_Long3_Automation/Forrest_Long3_Automation,0,1800,True,True,True,,False,False,False,False,1,None
331,331,,Dam_Iris_Level31_4Cook,,/Game/Maps/Dam_Iris_Level31/Dam_Iris_Level31,0,1800,True,True,True,,False,False,False,False,1,None
332,332,,Dam_Iris_Level32_4Cook,,/Game/Maps/Dam_Iris_Level32/Dam_Iris_Level32,0,1800,True,True,True,,False,False,False,False,1,None
333,333,,Dam_Iris_Level33_4Cook,,/Game/Maps/Dam_Iris_Level33/Dam_Iris_Level33,0,1800,True,True,True,,False,False,False,False,1,None
2201,2201,,Dam_Iris_Level1,Dam_Iris_Level1,/Game/Maps/Iris_Entry/Iris_Entry,0,1800,False,True,True,,True,True,True,False,1,None
2202,2202,,Dam_Iris_Level2,Dam_Iris_Level2,/Game/Maps/Iris_Entry/Iris_Entry,0,1500,False,False,True,,True,True,True,False,2,None
2209,2209,,Dam_Iris_Long3,Dam_Iris_Long3,/Game/Maps/Dam_Iris_Long3/Dam_Iris_Long3,0,1800,True,True,True,,True,True,True,False,1,None
2210,2210,,Dam_Iris_Long3_Automation,Dam_Iris_Long3_Automation,/Game/Maps/SceneAutomation/Dam_Iris_Long3_Automation/Dam_Iris_Long3_Automation,0,1800,True,True,True,,False,False,False,False,1,None
2213,2213,,Dam_Iris_WithEvent,,/Game/Maps/Dam_Iris_DynamicRequest/Dam_Iris_WithEvent/Dam_Iris_WithEvent,0,1800,True,True,True,,True,True,True,False,1,None
2214,2214,,Dam_Iris_WithoutEvent,,/Game/Maps/Dam_Iris_DynamicRequest/Dam_Iris_WithoutEvent/Dam_Iris_WithoutEvent,0,1800,True,True,True,,True,True,True,False,1,None
2288,2288,,Suez_Automation,Suez_Automation,/Game/Maps/SceneAutomation/Suez_Automation/Suez_Automation,0,1800,True,True,True,,False,False,False,False,1,None
2220,2220,,Dam_Iris_Underground,Dam_Iris_Underground,/Game/Maps/Dam_Iris_Underground/Dam_Iris_Underground,0,1800,True,True,True,,False,False,False,False,1,None
3901,3901,,SpaceCenter_Level1,SpaceCenter_Level1,/Game/Maps/Iris_Entry/Iris_Entry,0,1800,False,False,True,,True,True,True,False,2,None
3902,3902,,SpaceCenter_Level2,SpaceCenter_Level2,/Game/Maps/Iris_Entry/Iris_Entry,0,1800,False,False,True,,True,True,True,False,4,None
3909,3909,,SpaceCenter_Ma1,SpaceCenter_Ma1,/Game/Maps/SpaceCenter_Ma1/SpaceCenter_Ma1,0,1800,True,True,True,,True,True,True,False,2,None
3910,3910,,SpaceCenter_Long3_Automation,SpaceCenter_Long3_Automation,/Game/Maps/SceneAutomation/SpaceCenter_Long3_Automation/SpaceCenter_Long3_Automation,0,1800,True,True,True,,False,False,False,False,1,None
3911,3911,,SpaceCenter_Ma1_Automation,SpaceCenter_Ma1_Automation,/Game/Maps/SceneAutomation/SpaceCenter_Ma1_Automation/SpaceCenter_Ma1_Automation,0,1800,True,True,True,,False,False,False,False,1,None
81,81,,Brakkesh,,/Game/Maps/Iris_Entry/Iris_Entry,0,1200,False,True,True,,True,True,True,False,1,None
82,82,,Brakkesh_40,,/Game/Maps/Brakkesh/Brakkesh_40,0,1200,False,True,True,,True,True,True,False,1,None
8101,8101,,Brakkesh_Level1,Brakkesh_Level1,/Game/Maps/Iris_Entry/Iris_Entry,0,1800,False,True,True,,True,True,True,False,1,None
8102,8102,,Brakkesh_Level2,Brakkesh_Level2,/Game/Maps/Iris_Entry/Iris_Entry,0,1800,False,False,True,,True,True,True,False,2,None
8103,8103,,Brakkesh_Level3,Brakkesh_Level3,/Game/Maps/Iris_Entry/Iris_Entry,0,1800,False,False,True,,True,True,True,False,4,None
83,83,,Brakkesh4Cook,,/Game/Maps/Brakkesh/Brakkesh,0,1800,True,False,True,,True,True,True,False,1,None
811,811,,Brakkesh_Level1_4Cook,,/Game/Maps/Brakkesh_Level1/Brakkesh_Level1,0,1800,True,True,True,,True,True,True,False,1,None
812,812,,Brakkesh_Level2_4Cook,,/Game/Maps/Brakkesh_Level2/Brakkesh_Level2,0,1800,True,True,True,,True,True,True,False,1,None
813,813,,Brakkesh_Level3_4Cook,,/Game/Maps/Brakkesh_Level3/Brakkesh_Level3,0,1800,True,True,True,,True,True,True,False,1,None
815,815,,Brakkesh_Level21_4Cook,,/Game/Maps/Brakkesh_Level21/Brakkesh_Level21,0,1800,True,True,True,,True,True,True,False,1,None
816,816,,Brakkesh_Level22_4Cook,,/Game/Maps/Brakkesh_Level22/Brakkesh_Level22,0,1800,True,True,True,,True,True,True,False,1,None
8201,8201,,Brakkesh_Long3,Brakkesh_Long3,/Game/Maps/Brakkesh_Long3/Brakkesh_Long3,0,1800,True,True,True,,True,True,True,False,1,None
8210,8210,,Brakkesh_Long3_Automation,Brakkesh_Long3_Automation,/Game/Maps/SceneAutomation/Brakkesh_Long3_Automation/Brakkesh_Long3_Automation,0,1800,True,True,True,,False,False,False,False,1,None
88,88,,Tide,Tide,/Game/Maps/Iris_Entry/Iris_Entry,0,1800,False,True,True,,True,True,True,False,1,None
89,89,,AZ-5,AZ-5,/Game/Maps/Iris_Entry/Iris_Entry,0,2400,False,True,True,,True,True,True,False,1,None
90,90,,,,,0,1200,False,False,True,,True,True,True,False,1,None
91,91,,,,,0,1200,False,False,True,,True,True,True,False,1,None
92,92,,,,,0,1200,False,False,True,,True,True,True,False,1,None
93,93,,,,,0,1200,False,False,True,,True,True,True,False,1,None
94,94,,,,,0,1200,False,False,True,,True,True,True,False,1,None
95,95,,,,,0,1200,False,False,True,,True,True,True,False,1,None
96,96,,,,,0,1200,False,False,True,,True,True,True,False,1,None
97,97,,,,,0,1200,False,False,True,,True,True,True,False,1,None
98,98,,,,,0,1200,False,False,True,,True,True,True,False,1,None
99,99,,,,,0,1200,False,False,True,,True,True,True,False,1,None
100,100,,Iris_Entry,,/Game/Maps/Iris_Entry/Iris_Entry,0,1200,False,False,True,,True,True,True,False,1,None
101,101,,Intro,,/Game/Maps/Intro/Intro,0,1200,True,True,True,,True,True,True,False,1,None
55,55,,Iceland_Gym,,/Game/Maps/Iceland_Gym/Iceland_Gym,0,1800,False,True,True,,False,False,False,False,1,None
666,666,,TestAIMap_Mobile_AI3Demo,,/Game/Maps/TestMap/AITest/SOL_FightTest_V2/TestAIMap_Mobile_AI3Demo,0,1800,False,True,True,,False,False,False,False,1,None
105,105,,Iceland_TacticalConquest,,/Game/Maps/Iceland_TacticalConquest/Iceland_TacticalConquest,80,1800,True,True,True,,False,False,False,False,1,None
103,103,,Iceland_Conquest,,/Game/Maps/Iceland_Conquest/Iceland_Conquest,80,1800,True,True,True,,False,False,False,False,1,None
104,104,,Iceland_Automation,,/Game/Maps/SceneAutomation/Iceland_Automation/Iceland_Automation,0,1800,True,True,True,,False,False,False,False,1,None
135,135,,Shafted_Automation,,/Game/Maps/SceneAutomation/Shafted_Automation/Shafted_Automation,0,1800,True,True,True,,False,False,False,False,1,None
201,201,,Bloom,,/Game/Maps/TestMap/LightingTestCase/Bloom,0,1800,False,True,True,,False,False,False,False,1,None
202,202,,EyeAdaptationTOD,,/Game/Maps/TestMap/LightingTestCase/EyeAdaptationTOD,0,1800,False,True,True,,False,False,False,False,1,None
203,203,,EyeAdaptationNoTOD,,/Game/Maps/TestMap/LightingTestCase/EyeAdaptationNoTOD,0,1800,False,True,True,,False,False,False,False,1,None
204,204,,PostProcess_MobileHD,,/Game/Maps/TestMap/LightingTestCase/PostProcess_MobileHD,0,1800,False,True,True,,False,False,False,False,1,None
205,205,,SkylightTestcase,,/Game/Maps/TestMap/LightingTestCase/SkylightTestcase,0,1800,False,True,True,,False,False,False,False,1,None
206,206,,TonemapColorCard,,/Game/Maps/TestMap/LightingTestCase/TonemapColorCard,0,1800,False,True,True,,False,False,False,False,1,None
207,207,,LightmapBake,,/Game/Maps/TestMap/LightingTestCase/LightmapBake,0,1800,False,True,True,,False,False,False,False,1,None
208,208,,LFCPDTestCase,,/Game/Maps/TestMap/LightingTestCase/Bloom,0,1800,False,True,True,,False,False,False,False,1,None
209,209,,DynamicLocalLight,,/Game/Maps/TestMap/LightingTestCase/Bloom,0,1800,False,True,True,,False,False,False,False,1,None
210,210,,Gibraltar_Conquest,,/Game/Maps/Gibraltar_Conquest/Gibraltar_Conquest,80,1800,True,True,True,,False,False,False,False,1,None
211,211,,Gibraltar,,/Game/Maps/Gibraltar/Gibraltar,80,1800,False,True,True,,False,False,False,False,1,None
212,212,,Loading,,/Game/Maps/Login/Login,0,1800,True,True,True,,False,False,False,False,1,None
106,106,,Tutorial_3C,,/Game/Maps/Tutorial_3C/Tutorial_3C,0,1200,True,True,True,,False,True,True,False,1,None
107,107,,Retrowar_Breakthrough,,/Game/Maps/Retrowar_Breakthrough/Retrowar_Breakthrough,80,1800,True,True,True,,False,False,False,False,1,None
108,108,,Retrowar_Conquest,,/Game/Maps/Retrowar_Conquest/Retrowar_Conquest,80,1800,True,True,True,,False,False,False,False,1,None
109,109,,Cracked_TacticalConquest,,/Game/Maps/Cracked_TacticalConquest/Cracked_TacticalConquest,80,1800,True,True,True,,False,False,False,False,1,None
110,110,,SafeHouse4Cook,,/Game/Maps/SafeHouse/SafeHouse,0,2400,True,False,True,,True,True,True,False,1,None
111,111,,Derail_Breakthrough,,/Game/Maps/Derail_Breakthrough/Derail_Breakthrough,80,1800,True,True,True,,False,False,False,False,1,None
112,112,,Derail_Conquest,,/Game/Maps/Derail_Conquest/Derail_Conquest,80,1800,True,True,True,,False,False,False,False,1,None
526,526,,Derail_Conquest,,/Game/Maps/Derail_Conquest/Derail_Conquest,80,1800,True,True,True,,False,False,False,False,1,None
113,113,,Shafted_Breakthrough,,/Game/Maps/Shafted_Breakthrough/Shafted_Breakthrough,80,1800,True,True,True,,False,False,False,False,1,None
114,114,,Shafted_Conquest,,/Game/Maps/Shafted_Conquest/Shafted_Conquest,80,1800,True,True,True,,False,False,False,False,1,None
115,115,,BHDHall,,/Game/Maps/BHD/BHDHall,0,1800,True,True,True,,False,False,False,False,1,None
667,667,,TestAIMap_Mobile,,/Game/Maps/TestMap/AITest/SOL_FightTest_V2/TestAIMap_AnimUnitTest,0,1800,True,True,True,,False,False,False,False,1,None
213,213,,Gibraltar_TacticalConquest,,/Game/Maps/Gibraltar_TacticalConquest/Gibraltar_TacticalConquest,80,1800,True,True,True,,False,False,False,False,1,None
214,214,,Gibraltar_Automation,,/Game/Maps/SceneAutomation/Gibraltar_Automation/Gibraltar_Automation,1000,1800,True,True,True,,True,True,True,False,1,None
215,215,,Forrest_WithAirCrash,,/Game/Maps/Forrest_DynamicRequest/Forrest_WithAirCrash/Forrest_WithAirCrash,1000,1800,True,True,True,,True,True,True,False,1,None
216,216,,Forrest_WithoutAirCrash,,/Game/Maps/Forrest_DynamicRequest/Forrest_WithoutAirCrash/Forrest_WithoutAirCrash,1000,1800,True,True,True,,True,True,True,False,1,None
217,217,,Retrowar_Automation,,/Game/Maps/SceneAutomation/Retrowar_Automation/Retrowar_Automation,1000,1800,True,True,True,,True,True,True,False,1,None
218,218,,Derail_Automation,,/Game/Maps/SceneAutomation/Derail_Automation/Derail_Automation,1000,1800,True,True,True,,True,True,True,False,1,None
219,219,,Crest_Automation,,/Game/Maps/SceneAutomation/Crest_Automation/Crest_Automation,1000,1800,True,True,True,,True,True,True,False,1,None
220,220,,Retrowar_Night_Automation,,/Game/Maps/SceneAutomation/Retrowar_Night_Automation/Retrowar_Night_Automation,1000,1800,True,True,True,,True,True,True,False,1,None
