RowName,VehicleId,MaxHP,ArmorType,MaxLevelToIgnoreCollisionOfDestructible,ExplodeAttackerValueId,PointDamageTakenRate,ExplosionDamageTakenRate,VehicleArmorDamageId,HitAttackerValueId,HitCharacterDamageConfig,bHitAiBotDamageOverride,HitAiBotDamageConfig,AngleVehicleUpWithUp,BacksideCollisionAngle,BacksideCollisionDamageScalar,HitWallDamageConfig,HitWallDamageVelocityScaleCurve,ForceExecuteHitWallDamageThreshold,HitVehicleDamageConfig,bUseVelocityOffset,bVelocityOffsetDelay,SeatSkillsArray,RowDescription
Raid2_S3装甲车,1103100,4000,EGPVehicleArmorType::Middle,2,1982002,1,1,0,1981002,"(Infos=(MinVelocitySize=0, MaxVelocitySize=1000, DamageValue=0); (MinVelocitySize=1000, MaxVelocitySize=20000, DamageValue=200))",False,(Infos=),120,140,1,"(Infos=(MinVelocitySize=0, MaxVelocitySize=1000, DamageValue=0); (MinVelocitySize=1000, MaxVelocitySize=5000, DamageValue=20); (MinVelocitySize=5000, MaxVelocitySize=20000, DamageValue=40))","(EditorCurveData=(Keys=, Orders=, DefaultValue=3.4028235e+38, PreInfinityExtrap=RCCE_Constant, PostInfinityExtrap=RCCE_Constant), ExternalCurve=)",500,"(Infos=(MinVelocitySize=0, MaxVelocitySize=1000, DamageValue=0); (MinVelocitySize=1000, MaxVelocitySize=5000, DamageValue=20); (MinVelocitySize=5000, MaxVelocitySize=20000, DamageValue=40))",False,False,,None
raid运兵卡车,1103010,1000,EGPVehicleArmorType::Raid,2,1982002,1,1,0,1981002,"(Infos=(MinVelocitySize=0, MaxVelocitySize=1000, DamageValue=0); (MinVelocitySize=1000, MaxVelocitySize=20000, DamageValue=200))",False,(Infos=),120,140,1,"(Infos=(MinVelocitySize=0, MaxVelocitySize=1000, DamageValue=0); (MinVelocitySize=1000, MaxVelocitySize=5000, DamageValue=20); (MinVelocitySize=5000, MaxVelocitySize=20000, DamageValue=40))","(EditorCurveData=(Keys=, Orders=, DefaultValue=3.4028235e+38, PreInfinityExtrap=RCCE_Constant, PostInfinityExtrap=RCCE_Constant), ExternalCurve=)",500,"(Infos=(MinVelocitySize=0, MaxVelocitySize=1000, DamageValue=0); (MinVelocitySize=1000, MaxVelocitySize=5000, DamageValue=20); (MinVelocitySize=5000, MaxVelocitySize=20000, DamageValue=40))",False,False,,None
ATV,1103007,1000,EGPVehicleArmorType::Default,1,1812107,1,1,1812044,1981002,"(Infos=(MinVelocitySize=0, MaxVelocitySize=10, DamageValue=0); (MinVelocitySize=10, MaxVelocitySize=200, DamageValue=200))",False,(Infos=),120,140,1,"(Infos=(MinVelocitySize=0, MaxVelocitySize=40, DamageValue=0); (MinVelocitySize=40, MaxVelocitySize=50, DamageValue=60); (MinVelocitySize=50, MaxVelocitySize=65, DamageValue=90); (MinVelocitySize=65, MaxVelocitySize=200, DamageValue=120))","(EditorCurveData=(Keys=, Orders=, DefaultValue=3.4028235e+38, PreInfinityExtrap=RCCE_Constant, PostInfinityExtrap=RCCE_Constant), ExternalCurve=)",500,"(Infos=(MinVelocitySize=0, MaxVelocitySize=10, DamageValue=0); (MinVelocitySize=10, MaxVelocitySize=50, DamageValue=10); (MinVelocitySize=50, MaxVelocitySize=200, DamageValue=10); (MinVelocitySize=200, MaxVelocitySize=500, DamageValue=50))",False,False,"(SeatName=Point_Seat_02, AbilityTypeArray=EVehicleAbilityType::EVAT_USESkillCommon; EVehicleAbilityType::ESVT_NumMax)",None
s2皮卡红,1103008,600,EGPVehicleArmorType::Raid,2,1982002,1,1,0,1981002,"(Infos=(MinVelocitySize=0, MaxVelocitySize=1000, DamageValue=0); (MinVelocitySize=1000, MaxVelocitySize=20000, DamageValue=200))",False,(Infos=),120,140,1,"(Infos=(MinVelocitySize=0, MaxVelocitySize=1000, DamageValue=0); (MinVelocitySize=1000, MaxVelocitySize=5000, DamageValue=20); (MinVelocitySize=5000, MaxVelocitySize=20000, DamageValue=40))","(EditorCurveData=(Keys=, Orders=, DefaultValue=3.4028235e+38, PreInfinityExtrap=RCCE_Constant, PostInfinityExtrap=RCCE_Constant), ExternalCurve=)",500,"(Infos=(MinVelocitySize=0, MaxVelocitySize=1000, DamageValue=0); (MinVelocitySize=1000, MaxVelocitySize=5000, DamageValue=20); (MinVelocitySize=5000, MaxVelocitySize=20000, DamageValue=40))",False,False,,None
Raid2_S4坦克,1103101,99999,EGPVehicleArmorType::RaidTankBoss,2,1982002,1,1,0,1981002,"(Infos=(MinVelocitySize=0, MaxVelocitySize=100, DamageValue=200))",False,(Infos=),120,140,1,(Infos=),"(EditorCurveData=(Keys=, Orders=, DefaultValue=3.4028235e+38, PreInfinityExtrap=RCCE_Constant, PostInfinityExtrap=RCCE_Constant), ExternalCurve=)",500,(Infos=),False,False,,None
ORV,1102001,1000,EGPVehicleArmorType::LightMiddle,2,1812106,1,1,1812044,1981004,"(Infos=(MinVelocitySize=0, MaxVelocitySize=5, DamageValue=0); (MinVelocitySize=5, MaxVelocitySize=200, DamageValue=200))",False,(Infos=),120,140,1,"(Infos=(MinVelocitySize=0, MaxVelocitySize=40, DamageValue=0); (MinVelocitySize=40, MaxVelocitySize=50, DamageValue=60); (MinVelocitySize=50, MaxVelocitySize=60, DamageValue=90); (MinVelocitySize=60, MaxVelocitySize=200, DamageValue=120))","(EditorCurveData=(Keys=, Orders=, DefaultValue=3.4028235e+38, PreInfinityExtrap=RCCE_Constant, PostInfinityExtrap=RCCE_Constant), ExternalCurve=)",500,"(Infos=(MinVelocitySize=0, MaxVelocitySize=10, DamageValue=0); (MinVelocitySize=10, MaxVelocitySize=50, DamageValue=10); (MinVelocitySize=50, MaxVelocitySize=100, DamageValue=10); (MinVelocitySize=100, MaxVelocitySize=200, DamageValue=50); (MinVelocitySize=200, MaxVelocitySize=500, DamageValue=350))",False,False,,None
Humvee,1103011,1000,EGPVehicleArmorType::Default,1,1812106,1,1,1812044,1981002,"(Infos=(MinVelocitySize=0, MaxVelocitySize=10, DamageValue=0); (MinVelocitySize=10, MaxVelocitySize=200, DamageValue=200))",False,(Infos=),120,140,1,"(Infos=(MinVelocitySize=0, MaxVelocitySize=10, DamageValue=0); (MinVelocitySize=10, MaxVelocitySize=50, DamageValue=20); (MinVelocitySize=50, MaxVelocitySize=200, DamageValue=40))","(EditorCurveData=(Keys=, Orders=, DefaultValue=3.4028235e+38, PreInfinityExtrap=RCCE_Constant, PostInfinityExtrap=RCCE_Constant), ExternalCurve=)",500,"(Infos=(MinVelocitySize=0, MaxVelocitySize=10, DamageValue=0); (MinVelocitySize=10, MaxVelocitySize=50, DamageValue=10); (MinVelocitySize=50, MaxVelocitySize=200, DamageValue=10))",False,False,,None
阿帕奇,1301002,1000,EGPVehicleArmorType::Light,2,1812105,1,1,1812044,1981004,"(Infos=(MinVelocitySize=0, MaxVelocitySize=10, DamageValue=0); (MinVelocitySize=10, MaxVelocitySize=200, DamageValue=200))",False,(Infos=),120,140,1,"(Infos=(MinVelocitySize=0, MaxVelocitySize=50, DamageValue=0); (MinVelocitySize=50, MaxVelocitySize=150, DamageValue=300); (MinVelocitySize=150, MaxVelocitySize=500, DamageValue=1000))","(EditorCurveData=(Keys=, Orders=, DefaultValue=3.4028235e+38, PreInfinityExtrap=RCCE_Constant, PostInfinityExtrap=RCCE_Constant), ExternalCurve=)",500,"(Infos=(MinVelocitySize=0, MaxVelocitySize=10, DamageValue=0); (MinVelocitySize=10, MaxVelocitySize=50, DamageValue=10); (MinVelocitySize=50, MaxVelocitySize=100, DamageValue=20); (MinVelocitySize=100, MaxVelocitySize=300, DamageValue=100); (MinVelocitySize=300, MaxVelocitySize=500, DamageValue=200))",False,False,,None
SOL运兵直升机,1301003,3000,EGPVehicleArmorType::Raid,2,1982002,1,1,1812044,1981004,"(Infos=(MinVelocitySize=0, MaxVelocitySize=10, DamageValue=0); (MinVelocitySize=10, MaxVelocitySize=200, DamageValue=200))",False,(Infos=),120,140,1,"(Infos=(MinVelocitySize=0, MaxVelocitySize=30, DamageValue=0); (MinVelocitySize=30, MaxVelocitySize=70, DamageValue=200); (MinVelocitySize=70, MaxVelocitySize=100, DamageValue=1000))","(EditorCurveData=(Keys=, Orders=, DefaultValue=3.4028235e+38, PreInfinityExtrap=RCCE_Constant, PostInfinityExtrap=RCCE_Constant), ExternalCurve=)",500,"(Infos=(MinVelocitySize=0, MaxVelocitySize=10, DamageValue=0); (MinVelocitySize=10, MaxVelocitySize=50, DamageValue=10); (MinVelocitySize=50, MaxVelocitySize=100, DamageValue=20))",False,False,,None
SOLBOSS直升机,1301004,400,EGPVehicleArmorType::SOLHelicopter,2,1982002,1,1,1812044,1981004,"(Infos=(MinVelocitySize=0, MaxVelocitySize=10, DamageValue=0); (MinVelocitySize=10, MaxVelocitySize=200, DamageValue=200))",False,(Infos=),120,140,1,"(Infos=(MinVelocitySize=0, MaxVelocitySize=30, DamageValue=0); (MinVelocitySize=30, MaxVelocitySize=70, DamageValue=200); (MinVelocitySize=70, MaxVelocitySize=100, DamageValue=1000))","(EditorCurveData=(Keys=, Orders=, DefaultValue=3.4028235e+38, PreInfinityExtrap=RCCE_Constant, PostInfinityExtrap=RCCE_Constant), ExternalCurve=)",500,"(Infos=(MinVelocitySize=0, MaxVelocitySize=10, DamageValue=0); (MinVelocitySize=10, MaxVelocitySize=50, DamageValue=10); (MinVelocitySize=50, MaxVelocitySize=100, DamageValue=20))",False,False,,None
LSOV,1103012,1000,EGPVehicleArmorType::Default,2,1812106,1,1,1812044,1981004,"(Infos=(MinVelocitySize=0, MaxVelocitySize=5, DamageValue=0); (MinVelocitySize=5, MaxVelocitySize=200, DamageValue=200))",False,(Infos=),120,140,1,"(Infos=(MinVelocitySize=0, MaxVelocitySize=40, DamageValue=0); (MinVelocitySize=40, MaxVelocitySize=50, DamageValue=60); (MinVelocitySize=50, MaxVelocitySize=60, DamageValue=90); (MinVelocitySize=60, MaxVelocitySize=200, DamageValue=120))","(EditorCurveData=(Keys=, Orders=, DefaultValue=3.4028235e+38, PreInfinityExtrap=RCCE_Constant, PostInfinityExtrap=RCCE_Constant), ExternalCurve=)",500,"(Infos=(MinVelocitySize=0, MaxVelocitySize=10, DamageValue=0); (MinVelocitySize=10, MaxVelocitySize=50, DamageValue=10); (MinVelocitySize=50, MaxVelocitySize=200, DamageValue=10); (MinVelocitySize=200, MaxVelocitySize=500, DamageValue=50))",False,False,,None
轮式突击炮,1101004,1000,EGPVehicleArmorType::FSV,2,1812106,1,1,1812045,1981004,"(Infos=(MinVelocitySize=0, MaxVelocitySize=5, DamageValue=0); (MinVelocitySize=5, MaxVelocitySize=200, DamageValue=200))",False,(Infos=),120,140,1,"(Infos=(MinVelocitySize=0, MaxVelocitySize=45, DamageValue=0); (MinVelocitySize=45, MaxVelocitySize=55, DamageValue=5); (MinVelocitySize=55, MaxVelocitySize=100, DamageValue=10))","(EditorCurveData=(Keys=, Orders=, DefaultValue=3.4028235e+38, PreInfinityExtrap=RCCE_Constant, PostInfinityExtrap=RCCE_Constant), ExternalCurve=)",500,"(Infos=(MinVelocitySize=0, MaxVelocitySize=10, DamageValue=0); (MinVelocitySize=10, MaxVelocitySize=100, DamageValue=20); (MinVelocitySize=100, MaxVelocitySize=200, DamageValue=100); (MinVelocitySize=200, MaxVelocitySize=500, DamageValue=350))",False,False,,None
MH-33D侦察直升机,1301005,1000,EGPVehicleArmorType::LittleBird,2,1812106,1,1,1812044,1981004,"(Infos=(MinVelocitySize=0, MaxVelocitySize=10, DamageValue=0); (MinVelocitySize=10, MaxVelocitySize=200, DamageValue=200))",False,(Infos=),120,140,1,"(Infos=(MinVelocitySize=0, MaxVelocitySize=50, DamageValue=0); (MinVelocitySize=50, MaxVelocitySize=150, DamageValue=300); (MinVelocitySize=150, MaxVelocitySize=500, DamageValue=1000))","(EditorCurveData=(Keys=, Orders=, DefaultValue=3.4028235e+38, PreInfinityExtrap=RCCE_Constant, PostInfinityExtrap=RCCE_Constant), ExternalCurve=)",500,"(Infos=(MinVelocitySize=0, MaxVelocitySize=10, DamageValue=0); (MinVelocitySize=10, MaxVelocitySize=50, DamageValue=10); (MinVelocitySize=50, MaxVelocitySize=100, DamageValue=20); (MinVelocitySize=100, MaxVelocitySize=300, DamageValue=100); (MinVelocitySize=300, MaxVelocitySize=500, DamageValue=200))",False,False,"(SeatName=Point_Seat_03, AbilityTypeArray=EVehicleAbilityType::EVAT_USESkillCommon); (SeatName=Point_Seat_04, AbilityTypeArray=EVehicleAbilityType::EVAT_USESkillCommon)",None
UH60,1301006,1000,EGPVehicleArmorType::Light,2,1812105,1,1,1812044,1981004,"(Infos=(MinVelocitySize=0, MaxVelocitySize=10, DamageValue=0); (MinVelocitySize=10, MaxVelocitySize=200, DamageValue=200))",False,(Infos=),120,140,1,"(Infos=(MinVelocitySize=0, MaxVelocitySize=50, DamageValue=0); (MinVelocitySize=50, MaxVelocitySize=150, DamageValue=300); (MinVelocitySize=150, MaxVelocitySize=500, DamageValue=1000))","(EditorCurveData=(Keys=, Orders=, DefaultValue=3.4028235e+38, PreInfinityExtrap=RCCE_Constant, PostInfinityExtrap=RCCE_Constant), ExternalCurve=)",500,"(Infos=(MinVelocitySize=0, MaxVelocitySize=10, DamageValue=0); (MinVelocitySize=10, MaxVelocitySize=50, DamageValue=10); (MinVelocitySize=50, MaxVelocitySize=100, DamageValue=20))",False,False,,None
F35,1301007,1000,EGPVehicleArmorType::LittleBird,2,1812105,1,1,1812142,1981004,"(Infos=(MinVelocitySize=0, MaxVelocitySize=10, DamageValue=0); (MinVelocitySize=10, MaxVelocitySize=200, DamageValue=200))",False,(Infos=),120,140,10,"(Infos=(MinVelocitySize=0, MaxVelocitySize=30, DamageValue=0); (MinVelocitySize=30, MaxVelocitySize=70, DamageValue=250); (MinVelocitySize=70, MaxVelocitySize=150, DamageValue=350); (MinVelocitySize=150, MaxVelocitySize=200, DamageValue=700); (MinVelocitySize=200, MaxVelocitySize=20000, DamageValue=1000))","(EditorCurveData=(Keys=(); (); (); (); (); (); (); (); (), Orders=0; 8; 1; 2; 4; 6; 3; 5; 7, DefaultValue=3.4028235e+38, PreInfinityExtrap=RCCE_Constant, PostInfinityExtrap=RCCE_Constant), ExternalCurve=)",500,"(Infos=(MinVelocitySize=0, MaxVelocitySize=10, DamageValue=0); (MinVelocitySize=10, MaxVelocitySize=50, DamageValue=50); (MinVelocitySize=50, MaxVelocitySize=100, DamageValue=100); (MinVelocitySize=100, MaxVelocitySize=200, DamageValue=200); (MinVelocitySize=200, MaxVelocitySize=300, DamageValue=500); (MinVelocitySize=300, MaxVelocitySize=500, DamageValue=1000))",True,False,,None
GTQ35轻型坦克,1101005,1000,EGPVehicleArmorType::GTQ35,2,1812105,1,1,1812046,1981004,"(Infos=(MinVelocitySize=0, MaxVelocitySize=5, DamageValue=0); (MinVelocitySize=5, MaxVelocitySize=200, DamageValue=200))",False,(Infos=),120,140,1,"(Infos=(MinVelocitySize=0, MaxVelocitySize=10000, DamageValue=0))","(EditorCurveData=(Keys=, Orders=, DefaultValue=3.4028235e+38, PreInfinityExtrap=RCCE_Constant, PostInfinityExtrap=RCCE_Constant), ExternalCurve=)",500,"(Infos=(MinVelocitySize=0, MaxVelocitySize=5, DamageValue=0); (MinVelocitySize=5, MaxVelocitySize=100, DamageValue=30); (MinVelocitySize=100, MaxVelocitySize=200, DamageValue=100); (MinVelocitySize=200, MaxVelocitySize=500, DamageValue=500))",False,False,,None
摩托艇,1201002,1000,EGPVehicleArmorType::Default,1,1812107,1,1,1812044,1981002,"(Infos=(MinVelocitySize=0, MaxVelocitySize=10, DamageValue=0); (MinVelocitySize=10, MaxVelocitySize=200, DamageValue=200))",False,(Infos=),120,140,1,"(Infos=(MinVelocitySize=0, MaxVelocitySize=40, DamageValue=0); (MinVelocitySize=40, MaxVelocitySize=50, DamageValue=60); (MinVelocitySize=50, MaxVelocitySize=65, DamageValue=90); (MinVelocitySize=65, MaxVelocitySize=200, DamageValue=120))","(EditorCurveData=(Keys=, Orders=, DefaultValue=3.4028235e+38, PreInfinityExtrap=RCCE_Constant, PostInfinityExtrap=RCCE_Constant), ExternalCurve=)",500,"(Infos=(MinVelocitySize=0, MaxVelocitySize=10, DamageValue=0); (MinVelocitySize=10, MaxVelocitySize=50, DamageValue=10); (MinVelocitySize=50, MaxVelocitySize=200, DamageValue=10); (MinVelocitySize=200, MaxVelocitySize=300, DamageValue=50); (MinVelocitySize=300, MaxVelocitySize=500, DamageValue=50))",False,False,"(SeatName=Point_Seat_02, AbilityTypeArray=EVehicleAbilityType::EVAT_USESkillCommon; EVehicleAbilityType::ESVT_NumMax)",None
