RowName,ExchangeID,ItemID,PageId,PagePropTypes,Level,Name,ItemIcon,AttachPosition,ConsumeMerit,Quality,ItemIDInBP,RowDescription
101002,101002,10010000012,5,1001,3,AKM标准预设,"(AssetPath=None, SubPath=)",112,40,3,"(Category=1001000, Sequence=12)",None
101032,101032,10010000012,5,1001,3,AKM标准预设（Test）,"(AssetPath=None, SubPath=)",112,40,3,"(Category=1001000, Sequence=12)",None
101033,101033,11050002001,4,1105,2,3M防弹衣,"(AssetPath=None, SubPath=)",105,10,2,"(Category=1105000, Sequence=2001)",None
101034,101034,11050002002,4,1105,2,黑色光环防弹衣,"(AssetPath=None, SubPath=)",105,10,2,"(Category=1105000, Sequence=2002)",None
101035,101035,11050004001,4,1105,3,穿山甲防弹衣,"(AssetPath=None, SubPath=)",105,20,3,"(Category=1105000, Sequence=4001)",None
101036,101036,11050002002,4,1105,3,王一博防弹衣,"(AssetPath=None, SubPath=)",105,20,3,"(Category=1105000, Sequence=2002)",None
101037,101037,11050003002,4,1105,5,三角洲特种部队防弹衣,"(AssetPath=None, SubPath=)",105,50,5,"(Category=1105000, Sequence=3002)",None
101038,101038,11050003001,4,1105,4,2004B防弹衣,"(AssetPath=None, SubPath=)",105,30,4,"(Category=1105000, Sequence=3001)",None
101039,101039,11050004002,4,1105,3,LBT防弹衣,"(AssetPath=None, SubPath=)",105,30,3,"(Category=1105000, Sequence=4002)",None
101040,101040,11050006001,4,1105,6,IOTV防弹衣,"(AssetPath=None, SubPath=)",105,80,6,"(Category=1105000, Sequence=6001)",None
101041,101041,11070001001,4,1107,1,D3胸挂,"(AssetPath=None, SubPath=)",107,10,1,"(Category=1107000, Sequence=1001)",None
101042,101042,11070002001,4,1107,2,黑色光环胸挂,"(AssetPath=None, SubPath=)",107,20,2,"(Category=1107000, Sequence=2001)",None
101043,101043,11070003001,4,1107,3,王一博胸挂,"(AssetPath=None, SubPath=)",107,20,3,"(Category=1107000, Sequence=3001)",None
101044,101044,11070003002,4,1107,4,15武警通用胸挂,"(AssetPath=None, SubPath=)",107,50,4,"(Category=1107000, Sequence=3002)",None
101045,101045,11070004001,4,1107,5,JPC防弹胸挂,"(AssetPath=None, SubPath=)",107,30,5,"(Category=1107000, Sequence=4001)",None
101046,101046,11070005001,4,1107,6,三角洲特种部队胸挂,"(AssetPath=None, SubPath=)",107,30,6,"(Category=1107000, Sequence=5001)",None
101047,101047,11070006001,4,1107,6,LBT胸挂,"(AssetPath=None, SubPath=)",107,80,6,"(Category=1107000, Sequence=6001)",None
101048,101048,10010000043,3,1001,1,M4A1（Lv1）,"(AssetPath=None, SubPath=)",112,10,1,"(Category=1001000, Sequence=43)",None
101049,101049,10010000044,3,1001,2,M4A1（Lv2）,"(AssetPath=None, SubPath=)",112,30,2,"(Category=1001000, Sequence=44)",None
101050,101050,10010000045,3,1001,3,M4A1（Lv3）,"(AssetPath=None, SubPath=)",112,60,3,"(Category=1001000, Sequence=45)",None
101051,101051,10010000046,3,1001,4,M4A1（Lv4）,"(AssetPath=None, SubPath=)",112,70,4,"(Category=1001000, Sequence=46)",None
101052,101052,10010000047,3,1001,5,M4A1（Lv5）,"(AssetPath=None, SubPath=)",112,80,5,"(Category=1001000, Sequence=47)",None
101053,101053,10010000048,3,1001,6,M4A1（Lv6）,"(AssetPath=None, SubPath=)",112,90,6,"(Category=1001000, Sequence=48)",None
101054,101054,10010000049,3,1001,1,AKM（Lv1）,"(AssetPath=None, SubPath=)",112,10,1,"(Category=1001000, Sequence=49)",None
101055,101055,10010000050,3,1001,2,AKM（Lv2）,"(AssetPath=None, SubPath=)",112,30,2,"(Category=1001000, Sequence=50)",None
101056,101056,10010000051,3,1001,3,AKM（Lv3）,"(AssetPath=None, SubPath=)",112,60,3,"(Category=1001000, Sequence=51)",None
101057,101057,10010000052,3,1001,4,AKM（Lv4）,"(AssetPath=None, SubPath=)",112,70,4,"(Category=1001000, Sequence=52)",None
101058,101058,10010000053,3,1001,5,AKM（Lv5）,"(AssetPath=None, SubPath=)",112,80,5,"(Category=1001000, Sequence=53)",None
101059,101059,10010000054,3,1001,6,AKM（Lv6）,"(AssetPath=None, SubPath=)",112,90,6,"(Category=1001000, Sequence=54)",None
101060,101060,10010000055,3,1001,1,AK-74U（Lv1）,"(AssetPath=None, SubPath=)",112,10,1,"(Category=1001000, Sequence=55)",None
101061,101061,10010000056,3,1001,2,AK-74U（Lv2）,"(AssetPath=None, SubPath=)",112,30,2,"(Category=1001000, Sequence=56)",None
101062,101062,10010000057,3,1001,3,AK-74U（Lv3）,"(AssetPath=None, SubPath=)",112,60,3,"(Category=1001000, Sequence=57)",None
101063,101063,10010000058,3,1001,4,AK-74U（Lv4）,"(AssetPath=None, SubPath=)",112,70,4,"(Category=1001000, Sequence=58)",None
101064,101064,10010000059,3,1001,5,AK-74U（Lv5）,"(AssetPath=None, SubPath=)",112,80,5,"(Category=1001000, Sequence=59)",None
101065,101065,10010000060,3,1001,6,AK-74U（Lv6）,"(AssetPath=None, SubPath=)",112,90,6,"(Category=1001000, Sequence=60)",None
101066,101066,10010000061,3,1001,1,Ash-12（Lv1）,"(AssetPath=None, SubPath=)",112,10,1,"(Category=1001000, Sequence=61)",None
101067,101067,10010000062,3,1001,2,Ash-12（Lv2）,"(AssetPath=None, SubPath=)",112,30,2,"(Category=1001000, Sequence=62)",None
101068,101068,10010000063,3,1001,3,Ash-12（Lv3）,"(AssetPath=None, SubPath=)",112,60,3,"(Category=1001000, Sequence=63)",None
101069,101069,10010000064,3,1001,4,Ash-12（Lv4）,"(AssetPath=None, SubPath=)",112,70,4,"(Category=1001000, Sequence=64)",None
101070,101070,10010000065,3,1001,5,Ash-12（Lv5）,"(AssetPath=None, SubPath=)",112,80,5,"(Category=1001000, Sequence=65)",None
101071,101071,10010000066,3,1001,6,Ash-12（Lv6）,"(AssetPath=None, SubPath=)",112,90,6,"(Category=1001000, Sequence=66)",None
101072,101072,10010000067,3,1001,1,QBZ97A（Lv1）,"(AssetPath=None, SubPath=)",112,10,1,"(Category=1001000, Sequence=67)",None
101073,101073,10010000068,3,1001,2,QBZ97A（Lv2）,"(AssetPath=None, SubPath=)",112,30,2,"(Category=1001000, Sequence=68)",None
101074,101074,10010000069,3,1001,3,QBZ97A（Lv3）,"(AssetPath=None, SubPath=)",112,60,3,"(Category=1001000, Sequence=69)",None
101075,101075,10010000070,3,1001,4,QBZ97A（Lv4）,"(AssetPath=None, SubPath=)",112,70,4,"(Category=1001000, Sequence=70)",None
101076,101076,10010000071,3,1001,5,QBZ97A（Lv5）,"(AssetPath=None, SubPath=)",112,80,5,"(Category=1001000, Sequence=71)",None
101077,101077,10010000072,3,1001,6,QBZ97A（Lv6）,"(AssetPath=None, SubPath=)",112,90,6,"(Category=1001000, Sequence=72)",None
101078,101078,10010000073,3,1001,1,CS/LR17（Lv1）,"(AssetPath=None, SubPath=)",112,10,1,"(Category=1001000, Sequence=73)",None
101079,101079,10010000074,3,1001,2,CS/LR17（Lv2）,"(AssetPath=None, SubPath=)",112,30,2,"(Category=1001000, Sequence=74)",None
101080,101080,10010000075,3,1001,3,CS/LR17（Lv3）,"(AssetPath=None, SubPath=)",112,60,3,"(Category=1001000, Sequence=75)",None
101081,101081,10010000076,3,1001,4,CS/LR17（Lv4）,"(AssetPath=None, SubPath=)",112,70,4,"(Category=1001000, Sequence=76)",None
101082,101082,10010000077,3,1001,5,CS/LR17（Lv5）,"(AssetPath=None, SubPath=)",112,80,5,"(Category=1001000, Sequence=77)",None
101083,101083,10010000078,3,1001,6,CS/LR17（Lv6）,"(AssetPath=None, SubPath=)",112,90,6,"(Category=1001000, Sequence=78)",None
101084,101084,10020000081,3,1002,1,MP5（Lv1）,"(AssetPath=None, SubPath=)",112,10,1,"(Category=1002000, Sequence=81)",None
101085,101085,10020000082,3,1002,2,MP5（Lv2）,"(AssetPath=None, SubPath=)",112,30,2,"(Category=1002000, Sequence=82)",None
101086,101086,10020000083,3,1002,3,MP5（Lv3）,"(AssetPath=None, SubPath=)",112,60,3,"(Category=1002000, Sequence=83)",None
101087,101087,10020000084,3,1002,4,MP5（Lv4）,"(AssetPath=None, SubPath=)",112,70,4,"(Category=1002000, Sequence=84)",None
101088,101088,10020000085,3,1002,5,MP5（Lv5）,"(AssetPath=None, SubPath=)",112,80,5,"(Category=1002000, Sequence=85)",None
101089,101089,10020000086,3,1002,6,MP5（Lv6）,"(AssetPath=None, SubPath=)",112,90,6,"(Category=1002000, Sequence=86)",None
101090,101090,10020000088,3,1002,1,P90（Lv1）,"(AssetPath=None, SubPath=)",112,10,1,"(Category=1002000, Sequence=88)",None
101091,101091,10020000089,3,1002,2,P90（Lv2）,"(AssetPath=None, SubPath=)",112,30,2,"(Category=1002000, Sequence=89)",None
101092,101092,10020000091,3,1002,3,P90（Lv3）,"(AssetPath=None, SubPath=)",112,60,3,"(Category=1002000, Sequence=91)",None
101093,101093,10020000093,3,1002,1,Vector（Lv1）,"(AssetPath=None, SubPath=)",112,10,1,"(Category=1002000, Sequence=93)",None
101094,101094,10020000094,3,1002,2,Vector（Lv2）,"(AssetPath=None, SubPath=)",112,30,2,"(Category=1002000, Sequence=94)",None
101095,101095,10020000095,3,1002,3,Vector（Lv3）,"(AssetPath=None, SubPath=)",112,60,3,"(Category=1002000, Sequence=95)",None
101096,101096,10020000096,3,1002,4,Vector（Lv4）,"(AssetPath=None, SubPath=)",112,70,4,"(Category=1002000, Sequence=96)",None
101097,101097,10020000097,3,1002,5,Vector（Lv5）,"(AssetPath=None, SubPath=)",112,80,5,"(Category=1002000, Sequence=97)",None
101098,101098,10020000098,3,1002,6,Vector（Lv6）,"(AssetPath=None, SubPath=)",112,90,6,"(Category=1002000, Sequence=98)",None
101099,101099,10030000100,3,1003,1,伯奈利M4（Lv1）,"(AssetPath=None, SubPath=)",112,10,1,"(Category=1003000, Sequence=100)",None
101100,101100,10030000101,3,1003,2,伯奈利M4（Lv2）,"(AssetPath=None, SubPath=)",112,30,2,"(Category=1003000, Sequence=101)",None
101101,101101,10030000102,3,1003,3,伯奈利M4（Lv3）,"(AssetPath=None, SubPath=)",112,60,3,"(Category=1003000, Sequence=102)",None
101102,101102,10030000103,3,1003,4,伯奈利M4（Lv4）,"(AssetPath=None, SubPath=)",112,70,4,"(Category=1003000, Sequence=103)",None
101103,101103,10030000104,3,1003,5,伯奈利M4（Lv5）,"(AssetPath=None, SubPath=)",112,80,5,"(Category=1003000, Sequence=104)",None
101104,101104,10030000106,3,1003,6,伯奈利M4（Lv6）,"(AssetPath=None, SubPath=)",112,90,6,"(Category=1003000, Sequence=106)",None
101105,101105,10030000108,3,1004,1,S12K（Lv1）,"(AssetPath=None, SubPath=)",112,10,1,"(Category=1003000, Sequence=108)",None
101106,101106,10030000109,3,1004,2,S12K（Lv2）,"(AssetPath=None, SubPath=)",112,30,2,"(Category=1003000, Sequence=109)",None
101107,101107,10030000110,3,1004,3,S12K（Lv3）,"(AssetPath=None, SubPath=)",112,60,3,"(Category=1003000, Sequence=110)",None
101108,101108,10030000111,3,1004,4,S12K（Lv4）,"(AssetPath=None, SubPath=)",112,70,4,"(Category=1003000, Sequence=111)",None
101109,101109,10030000113,3,1004,5,S12K（Lv5）,"(AssetPath=None, SubPath=)",112,80,5,"(Category=1003000, Sequence=113)",None
101110,101110,10030000114,3,1004,6,S12K（Lv6）,"(AssetPath=None, SubPath=)",112,90,6,"(Category=1003000, Sequence=114)",None
101111,101111,10040000116,3,1004,1,PKM（Lv1）,"(AssetPath=None, SubPath=)",112,10,1,"(Category=1004000, Sequence=116)",None
101112,101112,10040000117,3,1004,2,PKM（Lv2）,"(AssetPath=None, SubPath=)",112,30,2,"(Category=1004000, Sequence=117)",None
101113,101113,10040000118,3,1004,3,PKM（Lv3）,"(AssetPath=None, SubPath=)",112,60,3,"(Category=1004000, Sequence=118)",None
101114,101114,10040000119,3,1004,4,PKM（Lv4）,"(AssetPath=None, SubPath=)",112,70,4,"(Category=1004000, Sequence=119)",None
101115,101115,10040000120,3,1004,5,PKM（Lv5）,"(AssetPath=None, SubPath=)",112,80,5,"(Category=1004000, Sequence=120)",None
101116,101116,10050000003,3,1005,1,SKS（Lv1）,"(AssetPath=None, SubPath=)",112,10,1,"(Category=1005000, Sequence=3)",None
101117,101117,10050000004,3,1005,2,SKS（Lv2）,"(AssetPath=None, SubPath=)",112,30,2,"(Category=1005000, Sequence=4)",None
101118,101118,10050000005,3,1005,3,SKS（Lv3）,"(AssetPath=None, SubPath=)",112,60,3,"(Category=1005000, Sequence=5)",None
101119,101119,10050000006,3,1005,4,SKS（Lv4）,"(AssetPath=None, SubPath=)",112,70,4,"(Category=1005000, Sequence=6)",None
101120,101120,10050000007,3,1005,5,SKS（Lv5）,"(AssetPath=None, SubPath=)",112,80,5,"(Category=1005000, Sequence=7)",None
101121,101121,10050000008,3,1005,6,SKS（Lv6）,"(AssetPath=None, SubPath=)",112,90,6,"(Category=1005000, Sequence=8)",None
101122,101122,10060000010,3,1006,1,CS/LR5（Lv1）,"(AssetPath=None, SubPath=)",112,10,1,"(Category=1006000, Sequence=10)",None
101123,101123,10060000012,3,1006,2,CS/LR5（Lv2）,"(AssetPath=None, SubPath=)",112,30,2,"(Category=1006000, Sequence=12)",None
101124,101124,10060000015,3,1006,3,CS/LR5（Lv3）,"(AssetPath=None, SubPath=)",112,60,3,"(Category=1006000, Sequence=15)",None
101125,101125,10060000018,3,1006,1,SV98M（Lv1）,"(AssetPath=None, SubPath=)",112,10,1,"(Category=1006000, Sequence=18)",None
101126,101126,10060000019,3,1006,2,SV98M（Lv2）,"(AssetPath=None, SubPath=)",112,30,2,"(Category=1006000, Sequence=19)",None
101127,101127,10060000020,3,1006,3,SV98M（Lv3）,"(AssetPath=None, SubPath=)",112,60,3,"(Category=1006000, Sequence=20)",None
101128,101128,10060000021,3,1006,4,SV98M（Lv4）,"(AssetPath=None, SubPath=)",112,70,4,"(Category=1006000, Sequence=21)",None
101129,101129,10060000023,3,1006,5,SV98M（Lv5）,"(AssetPath=None, SubPath=)",112,80,5,"(Category=1006000, Sequence=23)",None
101130,101130,10060000024,3,1006,6,SV98M（Lv6）,"(AssetPath=None, SubPath=)",112,90,6,"(Category=1006000, Sequence=24)",None
101131,101131,10070000026,3,1007,1,MP443（Lv1）,"(AssetPath=None, SubPath=)",112,10,1,"(Category=1007000, Sequence=26)",None
101132,101132,10070000027,3,1007,2,MP443（Lv2）,"(AssetPath=None, SubPath=)",112,30,2,"(Category=1007000, Sequence=27)",None
101133,101133,10070000028,3,1007,3,MP443（Lv3）,"(AssetPath=None, SubPath=)",112,60,3,"(Category=1007000, Sequence=28)",None
101134,101134,10070000029,3,1007,4,MP443（Lv4）,"(AssetPath=None, SubPath=)",112,70,4,"(Category=1007000, Sequence=29)",None
101135,101135,10070000033,3,1007,1,CF98-A（Lv1）,"(AssetPath=None, SubPath=)",112,10,1,"(Category=1007000, Sequence=33)",None
101136,101136,10070000034,3,1007,2,CF98-A（Lv2）,"(AssetPath=None, SubPath=)",112,30,2,"(Category=1007000, Sequence=34)",None
101137,101137,10070000035,3,1007,3,CF98-A（Lv3）,"(AssetPath=None, SubPath=)",112,60,3,"(Category=1007000, Sequence=35)",None
101138,101138,10070000036,3,1007,4,CF98-A（Lv4）,"(AssetPath=None, SubPath=)",112,70,4,"(Category=1007000, Sequence=36)",None
101139,101139,10070000037,3,1007,5,CF98-A（Lv5）,"(AssetPath=None, SubPath=)",112,80,5,"(Category=1007000, Sequence=37)",None
101140,101140,10070000038,3,1007,6,CF98-A（Lv6）,"(AssetPath=None, SubPath=)",112,90,6,"(Category=1007000, Sequence=38)",None
101141,101141,10070000040,3,1007,1,柯尔特蟒蛇左轮（Lv1）,"(AssetPath=None, SubPath=)",112,10,1,"(Category=1007000, Sequence=40)",None
101142,101142,10070000041,3,1007,2,柯尔特蟒蛇左轮（Lv2）,"(AssetPath=None, SubPath=)",112,30,2,"(Category=1007000, Sequence=41)",None
101143,101143,10070000042,3,1007,3,柯尔特蟒蛇左轮（Lv3）,"(AssetPath=None, SubPath=)",112,60,3,"(Category=1007000, Sequence=42)",None
101144,101144,10080000042,3,1007,1,RPG-7（Lv1）,"(AssetPath=None, SubPath=)",112,70,1,"(Category=1008000, Sequence=42)",None
101145,101145,10080000043,3,1007,2,RPG-7（Lv2）,"(AssetPath=None, SubPath=)",112,80,2,"(Category=1008000, Sequence=43)",None
201047,201047,13990110000,5,1399,2,小口径步枪空尖弹,"(AssetPath=None, SubPath=)",0,1,1,"(Category=1399011, Sequence=0)",None
201048,201048,13990120000,5,1399,2,小口径步枪软尖弹,"(AssetPath=None, SubPath=)",0,2,2,"(Category=1399012, Sequence=0)",None
201049,201049,13990130000,5,1399,2,小口径步枪亚音速弹,"(AssetPath=None, SubPath=)",0,3,3,"(Category=1399013, Sequence=0)",None
201050,201050,13990140000,5,1399,2,小口径步枪被甲弹,"(AssetPath=None, SubPath=)",0,4,4,"(Category=1399014, Sequence=0)",None
201051,201051,13990150000,5,1399,2,小口径步枪钢芯弹,"(AssetPath=None, SubPath=)",0,5,5,"(Category=1399015, Sequence=0)",None
201052,201052,13990160000,5,1399,2,小口径步枪穿甲弹,"(AssetPath=None, SubPath=)",0,6,6,"(Category=1399016, Sequence=0)",None
201053,201053,13990210000,5,1399,2,.357马格南空尖弹,"(AssetPath=None, SubPath=)",0,1,1,"(Category=1399021, Sequence=0)",None
201054,201054,13990220000,5,1399,2,.357马格南软尖弹,"(AssetPath=None, SubPath=)",0,2,2,"(Category=1399022, Sequence=0)",None
201055,201055,13990230000,5,1399,2,.357马格南亚音速弹,"(AssetPath=None, SubPath=)",0,3,3,"(Category=1399023, Sequence=0)",None
201056,201056,13990240000,5,1399,2,.357马格南被甲弹,"(AssetPath=None, SubPath=)",0,4,4,"(Category=1399024, Sequence=0)",None
201057,201057,13990250000,5,1399,2,.357马格南钢芯弹,"(AssetPath=None, SubPath=)",0,5,5,"(Category=1399025, Sequence=0)",None
201058,201058,13990260000,5,1399,2,.357马格南穿甲弹,"(AssetPath=None, SubPath=)",0,6,6,"(Category=1399026, Sequence=0)",None
201059,201059,13990310000,5,1399,2,9mm手枪空尖弹,"(AssetPath=None, SubPath=)",0,1,1,"(Category=1399031, Sequence=0)",None
201060,201060,13990320000,5,1399,2,9mm手枪软尖弹,"(AssetPath=None, SubPath=)",0,2,2,"(Category=1399032, Sequence=0)",None
201061,201061,13990330000,5,1399,2,9mm手枪亚音速弹,"(AssetPath=None, SubPath=)",0,3,3,"(Category=1399033, Sequence=0)",None
201062,201062,13990340000,5,1399,2,9mm手枪被甲弹,"(AssetPath=None, SubPath=)",0,4,4,"(Category=1399034, Sequence=0)",None
201063,201063,13990350000,5,1399,2,9mm手枪钢芯弹,"(AssetPath=None, SubPath=)",0,5,5,"(Category=1399035, Sequence=0)",None
201064,201064,13990360000,5,1399,2,9mm手枪穿甲弹,"(AssetPath=None, SubPath=)",0,6,6,"(Category=1399036, Sequence=0)",None
201065,201065,13990410000,5,1399,2,12号鸟弹,"(AssetPath=None, SubPath=)",0,1,1,"(Category=1399041, Sequence=0)",None
201066,201066,13990420000,5,1399,2,12号鹿弹,"(AssetPath=None, SubPath=)",0,2,2,"(Category=1399042, Sequence=0)",None
201067,201067,13990430000,5,1399,2,12号四方鹿弹,"(AssetPath=None, SubPath=)",0,3,3,"(Category=1399043, Sequence=0)",None
201068,201068,13990440000,5,1399,2,12号霰弹（lv4）,"(AssetPath=None, SubPath=)",0,4,4,"(Category=1399044, Sequence=0)",None
201069,201069,13990450000,5,1399,2,12号霰弹（lv5）,"(AssetPath=None, SubPath=)",0,5,5,"(Category=1399045, Sequence=0)",None
201070,201070,13990460000,5,1399,2,12号霰弹（lv6）,"(AssetPath=None, SubPath=)",0,6,6,"(Category=1399046, Sequence=0)",None
201071,201071,13990510000,5,1399,2,标准步枪空尖弹,"(AssetPath=None, SubPath=)",0,1,1,"(Category=1399051, Sequence=0)",None
201072,201072,13990520000,5,1399,2,标准步枪软尖弹,"(AssetPath=None, SubPath=)",0,2,2,"(Category=1399052, Sequence=0)",None
201073,201073,13990530000,5,1399,2,标准步枪亚音速弹,"(AssetPath=None, SubPath=)",0,3,3,"(Category=1399053, Sequence=0)",None
201074,201074,13990540000,5,1399,2,标准步枪被甲弹,"(AssetPath=None, SubPath=)",0,4,4,"(Category=1399054, Sequence=0)",None
201075,201075,13990550000,5,1399,2,标准步枪钢芯弹,"(AssetPath=None, SubPath=)",0,5,5,"(Category=1399055, Sequence=0)",None
201076,201076,13990560000,5,1399,2,标准步枪穿甲弹,"(AssetPath=None, SubPath=)",0,6,6,"(Category=1399056, Sequence=0)",None
201077,201077,13990610000,5,1399,2,狙击步枪空尖弹,"(AssetPath=None, SubPath=)",0,1,1,"(Category=1399061, Sequence=0)",None
201078,201078,13990620000,5,1399,2,狙击步枪软尖弹,"(AssetPath=None, SubPath=)",0,2,2,"(Category=1399062, Sequence=0)",None
201079,201079,13990630000,5,1399,2,狙击步枪亚音速弹,"(AssetPath=None, SubPath=)",0,3,3,"(Category=1399063, Sequence=0)",None
201080,201080,13990640000,5,1399,2,狙击步枪被甲弹,"(AssetPath=None, SubPath=)",0,4,4,"(Category=1399064, Sequence=0)",None
201081,201081,13990650000,5,1399,2,狙击步枪钢芯弹,"(AssetPath=None, SubPath=)",0,5,5,"(Category=1399065, Sequence=0)",None
201082,201082,13990660000,5,1399,2,狙击步枪穿甲弹,"(AssetPath=None, SubPath=)",0,6,6,"(Category=1399066, Sequence=0)",None
201083,201083,13990710000,5,1399,2,PDW空尖弹,"(AssetPath=None, SubPath=)",0,1,1,"(Category=1399071, Sequence=0)",None
201084,201084,13990720000,5,1399,2,PDW软尖弹,"(AssetPath=None, SubPath=)",0,2,2,"(Category=1399072, Sequence=0)",None
201085,201085,13990730000,5,1399,2,PDW亚音速弹,"(AssetPath=None, SubPath=)",0,3,3,"(Category=1399073, Sequence=0)",None
201086,201086,13990740000,5,1399,2,PDW被甲弹,"(AssetPath=None, SubPath=)",0,4,4,"(Category=1399074, Sequence=0)",None
201087,201087,13990750000,5,1399,2,PDW钢芯弹,"(AssetPath=None, SubPath=)",0,5,5,"(Category=1399075, Sequence=0)",None
201088,201088,13990760000,5,1399,2,PDW穿甲弹,"(AssetPath=None, SubPath=)",0,6,6,"(Category=1399076, Sequence=0)",None
201089,201089,13990810000,5,1399,2,12.7毫米空尖弹,"(AssetPath=None, SubPath=)",0,1,1,"(Category=1399081, Sequence=0)",None
201090,201090,13990820000,5,1399,2,12.7毫米软尖弹,"(AssetPath=None, SubPath=)",0,2,2,"(Category=1399082, Sequence=0)",None
201091,201091,13990830000,5,1399,2,12.7毫米亚音速弹,"(AssetPath=None, SubPath=)",0,3,3,"(Category=1399083, Sequence=0)",None
201092,201092,13990840000,5,1399,2,12.7毫米被甲弹,"(AssetPath=None, SubPath=)",0,4,4,"(Category=1399084, Sequence=0)",None
201093,201093,13990850000,5,1399,2,12.7毫米钢芯弹,"(AssetPath=None, SubPath=)",0,5,5,"(Category=1399085, Sequence=0)",None
201094,201094,13990860000,5,1399,2,12.7毫米穿甲弹,"(AssetPath=None, SubPath=)",0,6,6,"(Category=1399086, Sequence=0)",None
