---,RuleKey,FunctionId,PartFunctionType,bNegative,PartFunctionDynamicType,Param1,Param2,Param3,Param4,Param5
81,81,110456,StaticAttributeModify,False,NONE,DisplayAttrValues.2,Mult_A,0.3,None,None
82,82,110427,StaticAttributeModify,False,NONE,DisplayAttrValues.2,Mult_A,0.06,None,None
83,83,110467,StaticAttributeModify,False,NONE,DisplayAttrValues.2,Mult_A,0.3,None,None
84,84,110439,StaticAttributeModify,False,NONE,DisplayAttrValues.2,Mult_A,0.3,None,None
85,85,110438,StaticAttributeModify,False,NONE,DisplayAttrValues.2,Mult_A,0.18,None,None
86,86,110437,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
87,87,110434,StaticAttributeModify,False,NONE,DisplayAttrValues.2,Mult_A,0.18,None,None
88,88,110348,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
89,89,110433,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
90,90,110320,StaticAttributeModify,False,NONE,DisplayAttrValues.2,Mult_A,0.18,None,None
91,91,110453,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
92,92,110448,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
93,93,110449,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
94,94,110450,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
95,95,110451,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
96,96,110231,StaticAttributeModify,False,NONE,DisplayAttrValues.2,Mult_A,0.18,None,None
97,97,110230,StaticAttributeModify,False,NONE,DisplayAttrValues.2,Mult_A,0.3,None,None
98,98,110291,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
99,99,110444,StaticAttributeModify,False,NONE,DisplayAttrValues.2,Mult_A,0.3,None,None
100,100,110428,StaticAttributeModify,False,NONE,DisplayAttrValues.2,Mult_A,0.06,None,None
101,101,110430,StaticAttributeModify,False,NONE,DisplayAttrValues.2,Mult_A,0.18,None,None
102,102,110429,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
103,103,110474,StaticAttributeModify,False,NONE,DisplayAttrValues.2,Mult_A,0.3,None,None
104,104,110347,StaticAttributeModify,False,NONE,DisplayAttrValues.2,Mult_A,0.18,None,None
105,105,110423,StaticAttributeModify,False,NONE,DisplayAttrValues.2,Mult_A,0.06,None,None
106,106,110424,StaticAttributeModify,False,NONE,DisplayAttrValues.2,Mult_A,0.3,None,None
107,107,110425,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
108,108,110388,StaticAttributeModify,False,NONE,DisplayAttrValues.2,Mult_A,0.3,None,None
109,109,110386,StaticAttributeModify,False,NONE,DisplayAttrValues.2,Mult_A,0.18,None,None
110,110,110387,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
111,111,110239,StaticAttributeModify,False,NONE,DisplayAttrValues.2,Mult_A,0.3,None,None
112,112,110311,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
113,113,110402,StaticAttributeModify,False,NONE,DisplayAttrValues.2,Mult_A,0.18,None,None
114,114,110372,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
115,115,110373,StaticAttributeModify,False,NONE,DisplayAttrValues.2,Mult_A,0.3,None,None
116,116,110414,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
117,117,110416,StaticAttributeModify,False,NONE,DisplayAttrValues.2,Mult_A,0.3,None,None
118,118,110391,StaticAttributeModify,False,NONE,DisplayAttrValues.2,Mult_A,0.06,None,None
119,119,110390,StaticAttributeModify,False,NONE,DisplayAttrValues.2,Mult_A,0.3,None,None
120,120,110392,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
121,121,110381,StaticAttributeModify,False,NONE,DisplayAttrValues.2,Mult_A,0.18,None,None
122,122,110383,StaticAttributeModify,False,NONE,DisplayAttrValues.2,Mult_A,0.3,None,None
123,123,110369,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
124,124,110370,StaticAttributeModify,False,NONE,DisplayAttrValues.2,Mult_A,0.3,None,None
125,125,110351,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
126,126,110350,StaticAttributeModify,False,NONE,DisplayAttrValues.2,Mult_A,0.18,None,None
127,127,110349,StaticAttributeModify,False,NONE,DisplayAttrValues.2,Mult_A,0.3,None,None
128,128,110356,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
129,129,110358,StaticAttributeModify,False,NONE,DisplayAttrValues.2,Mult_A,0.18,None,None
130,130,110357,StaticAttributeModify,False,NONE,DisplayAttrValues.2,Mult_A,0.3,None,None
131,131,110490,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
132,132,110491,StaticAttributeModify,False,NONE,DisplayAttrValues.2,Mult_A,0.3,None,None
133,133,110403,StaticAttributeModify,False,NONE,DisplayAttrValues.2,Mult_A,0.3,None,None
134,134,110473,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
135,135,110472,StaticAttributeModify,False,NONE,DisplayAttrValues.2,Mult_A,0.3,None,None
136,136,110364,StaticAttributeModify,False,NONE,DisplayAttrValues.2,Mult_A,0.06,None,None
137,137,110367,StaticAttributeModify,False,NONE,DisplayAttrValues.2,Mult_A,0.3,None,None
138,138,110366,StaticAttributeModify,False,NONE,DisplayAttrValues.2,Mult_A,0.18,None,None
139,139,110365,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
140,140,110419,StaticAttributeModify,False,NONE,DisplayAttrValues.2,Mult_A,0.06,None,None
141,141,110421,StaticAttributeModify,False,NONE,DisplayAttrValues.2,Mult_A,0.3,None,None
142,142,110420,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
143,143,110406,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
144,144,110407,StaticAttributeModify,False,NONE,DisplayAttrValues.2,Mult_A,0.3,None,None
145,145,110441,StaticAttributeModify,False,NONE,DisplayAttrValues.2,Mult_A,0.3,None,None
146,146,110379,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
147,147,110378,StaticAttributeModify,False,NONE,DisplayAttrValues.2,Mult_A,0.3,None,None
148,148,110360,StaticAttributeModify,False,NONE,DisplayAttrValues.2,Mult_A,0.06,None,None
149,149,110362,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
150,150,110492,StaticAttributeModify,False,NONE,DisplayAttrValues.2,Mult_A,0.18,None,None
151,151,110493,StaticAttributeModify,False,NONE,DisplayAttrValues.2,Mult_A,0.3,None,None
152,152,110410,StaticAttributeModify,False,NONE,DisplayAttrValues.2,Mult_A,0.3,None,None
153,153,110483,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
154,154,110394,StaticAttributeModify,False,NONE,DisplayAttrValues.2,Mult_A,0.18,None,None
155,155,110486,StaticAttributeModify,False,NONE,DisplayAttrValues.2,Mult_A,0.3,None,None
156,156,110487,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
157,157,110488,StaticAttributeModify,False,NONE,DisplayAttrValues.2,Mult_A,0.3,None,None
158,158,110443,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
159,159,110173,StaticAttributeModify,False,NONE,DisplayAttrValues.2,Mult_A,0.18,None,None
160,160,110489,StaticAttributeModify,False,NONE,DisplayAttrValues.2,Mult_A,0.3,None,None
161,161,110484,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0.36,None,None
162,162,110485,StaticAttributeModify,False,NONE,DisplayAttrValues.2,Mult_A,1,None,None
163,163,110494,StaticAttributeModify,False,NONE,DisplayAttrValues.2,Mult_A,0.3,None,None
164,164,110498,StaticAttributeModify,False,NONE,DisplayAttrValues.2,Mult_A,0.3,None,None
165,165,110499,StaticAttributeModify,False,NONE,DisplayAttrValues.2,Mult_A,0.06,None,None
166,166,110500,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
167,167,110505,StaticAttributeModify,False,NONE,DisplayAttrValues.2,Mult_A,0.06,None,None
168,168,110506,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
169,169,110507,StaticAttributeModify,False,NONE,DisplayAttrValues.2,Mult_A,0.3,None,None
170,170,110508,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
171,171,110355,StaticAttributeModify,False,NONE,DisplayAttrValues.2,Mult_A,0.06,None,None
172,172,110512,StaticAttributeModify,False,NONE,DisplayAttrValues.2,Mult_A,0.36,None,None
173,173,230155,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
174,174,230174,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
175,175,230178,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
176,176,230184,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
177,177,230186,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
178,178,230187,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
179,179,230189,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
180,180,230188,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
181,181,230190,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
182,182,230157,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
183,183,230158,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
184,184,230175,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
185,185,230159,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
186,186,230173,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
187,187,230176,StaticAttributeModify,False,NONE,DisplayAttrValues.2,Mult_A,0.18,None,None
188,188,230177,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
189,189,230180,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
190,190,230183,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
191,191,230192,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
192,192,230193,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
193,193,230195,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
194,194,230196,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
195,195,230164,StaticAttributeModify,False,NONE,DisplayAttrValues.2,Mult_A,0.18,None,None
196,196,230165,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
197,197,230167,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
198,198,230168,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
199,199,230172,StaticAttributeModify,False,NONE,DisplayAttrValues.2,Mult_A,0.3,None,None
200,200,230181,StaticAttributeModify,False,NONE,DisplayAttrValues.2,Mult_A,0.3,None,None
201,201,230182,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
202,202,230160,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
203,203,230166,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
204,204,230169,StaticAttributeModify,False,NONE,DisplayAttrValues.2,Mult_A,0.24,None,None
205,205,230201,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
206,206,230202,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
207,207,530006,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
208,208,130104,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
209,209,130106,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
210,210,130116,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
211,211,130127,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
212,212,130128,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
213,213,130138,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
214,214,130119,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
215,215,130172,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
216,216,130173,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
217,217,130091,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
218,218,130092,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
219,219,130105,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
220,220,130130,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
221,221,510001,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
222,222,510002,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
223,223,130114,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
224,224,130117,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
225,225,130129,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
226,226,130108,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
227,227,130109,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
228,228,130112,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
229,229,130113,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
230,230,130134,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
231,231,130006,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
232,232,130009,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
233,233,530002,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
234,234,130110,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
235,235,130118,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
236,236,130135,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
237,237,130007,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
238,238,530005,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
239,239,130111,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
240,240,130132,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
241,241,130133,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
242,242,130137,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
243,243,510003,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
244,244,130167,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
245,245,130123,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
246,246,120125,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
247,247,130121,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
248,248,130122,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
249,249,130139,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
250,250,130176,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
251,251,130107,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
252,252,130179,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
253,253,130178,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
254,254,130181,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
255,255,130182,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
256,256,130183,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
257,257,130184,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
258,258,130185,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
259,259,130189,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
260,260,130190,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
261,261,140191,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
262,262,140285,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
263,263,140280,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
264,264,140281,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
265,265,140233,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
266,266,140188,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
267,267,140181,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
268,268,140180,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
269,269,550001,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
270,270,140234,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
271,271,140306,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
272,272,140307,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
273,273,140308,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
274,274,140182,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
275,275,140186,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
276,276,140183,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
277,277,140250,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
278,278,280006,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
279,279,140178,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
280,280,140249,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
281,281,140254,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
282,282,140325,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
283,283,140328,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
284,284,640002,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
285,285,200046,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
286,286,200065,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
287,287,200040,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
288,288,200042,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
289,289,200062,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
290,290,200063,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
291,291,200043,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
292,292,200064,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
