RowName,RuleKey,AnimFunctionId,PartFunctionType,AccessoryAnimPoseArray,AccessoryAnimPoseMap,AccessoryTPPAnimPoseArray,AccessoryHallAnimPoseArray,AccessoryAnimRightPoseArray,AccessoryTPPAnimRightPoseArray,AccessoryHallAnimRightPoseArray,ForbidLeftHandIKRulerArray,PartAnimInstance,BipodDeployId,Param1,Param2,OverrideRuleCollects,RowDescription
NewRow_10,12,10009,EWeaponPartAnimFunctionType::IK_LeftHand,"(AssetPath=/Game/Models/Weapons/Guns/LMG/PKM/1p/LMG_M_PKM_1P_Idle.LMG_M_PKM_1P_Idle, SubPath=)",,"(AssetPath=/Game/Models/Weapons/Guns/LMG/PKM/3P/LMG_M_PKM_3P_IdlePose2.LMG_M_PKM_3P_IdlePose2, SubPath=)","(AssetPath=/Game/Models/Weapons/Guns/LMG/General/Male/UI/LMG_M_UI_Stand01.LMG_M_UI_Stand01, SubPath=); (AssetPath=/Game/Models/Weapons/Guns/LMG/PKM/3P/LMG_M_PKM_UI_idlepose.LMG_M_PKM_UI_idlepose, SubPath=)",,,,,"(AssetPath=None, SubPath=)",1,,,,None
NewRow_11,13,15001,EWeaponPartAnimFunctionType::IK_LeftHand,"(AssetPath=/Game/Models/Weapons/Guns/AR/Anims/Male/1P/Locomotion/AR_M_1P_Idle_Pose_2.AR_M_1P_Idle_Pose_2, SubPath=)",,,"(AssetPath=/Game/Models/Weapons/Guns/AR/General/Male/UI/AR_M_UI_SquareHandguard.AR_M_UI_SquareHandguard, SubPath=); (AssetPath=/Game/Models/Weapons/Guns/AR/M16A2/Male/3P/AR_M_M16A2_UI_Idleadditive.AR_M_M16A2_UI_Idleadditive, SubPath=)",,,,,"(AssetPath=None, SubPath=)",1,,,,None
NewRow_12,14,15002,EWeaponPartAnimFunctionType::IK_LeftHand,"(AssetPath=/Game/Models/Weapons/Guns/SR/CSLR5/1P/SR_M_1P_CSLR5_Idle.SR_M_1P_CSLR5_Idle, SubPath=)",,"(AssetPath=None, SubPath=)","(AssetPath=/Game/Models/Weapons/Guns/SR/General/Male/UI/SR_M_UI_Stand01.SR_M_UI_Stand01, SubPath=); (AssetPath=/Game/Models/Weapons/Parts/FroG/AdditivePose/SR_M_CSLR5_UI_FroGPose.SR_M_CSLR5_UI_FroGPose, SubPath=)",,,"(AssetPath=/Game/Models/Weapons/Guns/SR/General/Male/UI/SR_M_UI_Stand01.SR_M_UI_Stand01, SubPath=)",,"(AssetPath=None, SubPath=)",1,,,,None
NewRow_13,15,15003,EWeaponPartAnimFunctionType::IK_LeftHand,"(AssetPath=/Game/Models/Weapons/Guns/SR/Anims/1P/SR_M_1P_Idle01.SR_M_1P_Idle01, SubPath=)",,"(AssetPath=/Game/Models/Weapons/Guns/SR/Anims/3P/SR_M_SV98_3P_idleBase.SR_M_SV98_3P_idleBase, SubPath=)","(AssetPath=/Game/Models/Weapons/Guns/AR/QBZ95/Anims/UI/QBZ_M_UI_Stand01.QBZ_M_UI_Stand01, SubPath=); (AssetPath=/Game/Models/Weapons/Guns/SR/Anims/3P/SR_M_SV98_UI_idlePose.SR_M_SV98_UI_idlePose, SubPath=)",,,"(AssetPath=/Game/Models/Weapons/Guns/SR/General/Male/UI/SR_M_UI_Stand01.SR_M_UI_Stand01, SubPath=)",,"(AssetPath=None, SubPath=)",1,,,,None
NewRow_14,16,15004,EWeaponPartAnimFunctionType::IK_LeftHand,"(AssetPath=/Game/Models/Weapons/Guns/SMG/SMG45/1P/SMG_M_1P_SMG45_Idle.SMG_M_1P_SMG45_Idle, SubPath=)",,"(AssetPath=/Game/Models/Weapons/Guns/SMG/SMG45/3P/SMG_M_3P_SMG45_IdleBase.SMG_M_3P_SMG45_IdleBase, SubPath=)","(AssetPath=/Game/Models/Weapons/Guns/SMG/General/Male/UI/SMG_M_UI_Stand01.SMG_M_UI_Stand01, SubPath=); (AssetPath=/Game/Models/Weapons/Guns/SMG/SMG45/3P/SMG_M_UI_SMG45_additive.SMG_M_UI_SMG45_additive, SubPath=)",,,"(AssetPath=/Game/Models/Weapons/Guns/SMG/General/Male/UI/SMG_M_UI_Stand01.SMG_M_UI_Stand01, SubPath=)",,"(AssetPath=None, SubPath=)",1,,,,None
NewRow_34,0,15024,EWeaponPartAnimFunctionType::IK_LeftHand,"(AssetPath=/Game/Models/Weapons/Guns/DMR/SVD/1P/DMR_M_1P_SVD_Idle.DMR_M_1P_SVD_Idle, SubPath=)",,"(AssetPath=/Game/Models/Weapons/Guns/DMR/SVD/3P/DMR_M_3P_SVD_Idle_IKPOSE.DMR_M_3P_SVD_Idle_IKPOSE, SubPath=)","(AssetPath=/Game/Models/Weapons/Guns/AR/General/Male/UI/AR_M_UI_Stand01.AR_M_UI_Stand01, SubPath=); (AssetPath=/Game/Models/Weapons/Guns/DMR/SVD/3P/DMR_M_UI_SVD_IdleAdditive.DMR_M_UI_SVD_IdleAdditive, SubPath=)",,,"(AssetPath=/Game/Models/Weapons/Guns/SR/General/Male/UI/SR_M_UI_Stand01.SR_M_UI_Stand01, SubPath=)",,"(AssetPath=None, SubPath=)",1,,,,None
NewRow_15,0,15005,EWeaponPartAnimFunctionType::IK_LeftHand,"(AssetPath=/Game/Models/Weapons/Guns/AR/AK74/1P/AR_M_1P_AK74_Idle_Pose.AR_M_1P_AK74_Idle_Pose, SubPath=)",,,"(AssetPath=/Game/Models/Weapons/Guns/AR/QBZ95/Anims/UI/QBZ_M_UI_Stand01.QBZ_M_UI_Stand01, SubPath=); (AssetPath=/Game/Models/Weapons/Guns/AR/AK74/3P/AR_M_AK_UI_IdleAdditivepose.AR_M_AK_UI_IdleAdditivepose, SubPath=)",,,"(AssetPath=/Game/Models/Weapons/Guns/AR/QBZ95/Anims/UI/QBZ_M_UI_Stand01.QBZ_M_UI_Stand01, SubPath=); (AssetPath=None, SubPath=)",,"(AssetPath=None, SubPath=)",1,,,,None
NewRow_25,0,15015,EWeaponPartAnimFunctionType::IK_LeftHand,,,"(AssetPath=None, SubPath=)","(AssetPath=/Game/Models/Weapons/Guns/AR/General/Male/UI/AR_M_UI_SquareHandguard.AR_M_UI_SquareHandguard, SubPath=); (AssetPath=/Game/Models/Weapons/Guns/AR/HK416C/3P/AR_M_UI_HK416C_IdleAdditive.AR_M_UI_HK416C_IdleAdditive, SubPath=)",,,"(AssetPath=/Game/Models/Weapons/Guns/AR/General/Male/UI/AR_M_UI_Stand01.AR_M_UI_Stand01, SubPath=); (AssetPath=/Game/Models/Weapons/Guns/AR/General/Male/UI/AR_M_UI_Stand01.AR_M_UI_Stand01, SubPath=)",,"(AssetPath=None, SubPath=)",1,,,,None
NewRow_26,0,15016,EWeaponPartAnimFunctionType::IK_LeftHand,"(AssetPath=/Game/Models/Weapons/Guns/SR/R93/Male/1P/SR_M_1P_R93_Idle.SR_M_1P_R93_Idle, SubPath=)",,"(AssetPath=/Game/Models/Weapons/Guns/SR/R93/Male/3P/SR_M_3P_r93_idlepose.SR_M_3P_r93_idlepose, SubPath=)","(AssetPath=/Game/Models/Weapons/Guns/AR/QBZ95/Anims/UI/QBZ_M_UI_Stand01.QBZ_M_UI_Stand01, SubPath=); (AssetPath=/Game/Models/Weapons/Guns/SR/R93/Male/3P/SR_M_UI_R93_IdleAdditive.SR_M_UI_R93_IdleAdditive, SubPath=)",,,"(AssetPath=/Game/Models/Weapons/Guns/SR/General/Male/UI/SR_M_UI_Stand01.SR_M_UI_Stand01, SubPath=)",,"(AssetPath=None, SubPath=)",1,,,,None
NewRow_27,0,15017,EWeaponPartAnimFunctionType::IK_LeftHand,"(AssetPath=/Game/Models/Weapons/Guns/AR/AUGA3/1P/AR_M_AUGA3_1P_Idle.AR_M_AUGA3_1P_Idle, SubPath=)",,"(AssetPath=/Game/Models/Weapons/Guns/AR/AUGA3/3P/AR_M_AUGA3_3P_IdleBase.AR_M_AUGA3_3P_IdleBase, SubPath=)","(AssetPath=/Game/Models/Weapons/Guns/AR/QBZ95/Anims/UI/QBZ_M_UI_Stand01.QBZ_M_UI_Stand01, SubPath=); (AssetPath=/Game/Models/Weapons/Guns/AR/AK74/3P/AR_M_AK_UI_IdleAdditivepose.AR_M_AK_UI_IdleAdditivepose, SubPath=)",,,"(AssetPath=/Game/Models/Weapons/Guns/AR/QBZ95/Anims/UI/QBZ_M_UI_Stand01.QBZ_M_UI_Stand01, SubPath=); (AssetPath=None, SubPath=)",,"(AssetPath=None, SubPath=)",1,,,,None
18020000005,0,15018,EWeaponPartAnimFunctionType::IK_LeftHand,"(AssetPath=/Game/Models/Weapons/Guns/SMG/PP19/Male/1P/SMG_M_PP19_1P_Idle.SMG_M_PP19_1P_Idle, SubPath=)",,"(AssetPath=/Game/Models/Weapons/Guns/SMG/PP19/Male/3P/SMG_M_PP19_3P_Idlebase.SMG_M_PP19_3P_Idlebase, SubPath=)","(AssetPath=/Game/Models/Weapons/Guns/SMG/General/Male/UI/MP_F_MVPL1_POSE.MP_F_MVPL1_POSE, SubPath=); (AssetPath=/Game/Models/Weapons/Guns/SR/CSLR5/3P/SR_M_CSLR5_UI_Atdditive.SR_M_CSLR5_UI_Atdditive, SubPath=)",,,"(AssetPath=/Game/Models/Weapons/Guns/SMG/General/Male/UI/SMG_M_UI_Stand01.SMG_M_UI_Stand01, SubPath=)",,"(AssetPath=None, SubPath=)",1,,,,None
NewRow_29,0,15019,EWeaponPartAnimFunctionType::IK_LeftHand,"(AssetPath=/Game/Models/Weapons/Guns/SR/VSS/Male/1P/SR_M_1P_VSS_Idle.SR_M_1P_VSS_Idle, SubPath=)",,,"(AssetPath=/Game/Models/Weapons/Guns/AR/General/Male/UI/AR_M_UI_Stand01.AR_M_UI_Stand01, SubPath=); (AssetPath=/Game/Models/Weapons/Guns/SR/VSS/Male/3P/SR_MUI_VSS_IdleAdditivePose.SR_MUI_VSS_IdleAdditivePose, SubPath=)",,,"(AssetPath=/Game/Models/Weapons/Guns/AR/General/Male/UI/AR_M_UI_Stand01.AR_M_UI_Stand01, SubPath=)",,"(AssetPath=None, SubPath=)",1,,,,None
NewRow_30,0,15020,EWeaponPartAnimFunctionType::IK_LeftHand,"(AssetPath=/Game/Models/Weapons/Guns/DMR/Mini14/1P/DMR_M_1P_Mini14_Idle.DMR_M_1P_Mini14_Idle, SubPath=)",,"(AssetPath=None, SubPath=)","(AssetPath=/Game/Models/Weapons/Guns/DMR/General/Female/DMR_F_UI_Stand01.DMR_F_UI_Stand01, SubPath=); (AssetPath=/Game/Models/Weapons/Guns/DMR/Mini14/3P/DMR_M_UI_Mini14_idle_pose1.DMR_M_UI_Mini14_idle_pose1, SubPath=)","(AssetPath=/Game/Models/Weapons/Guns/DMR/Mini14/1P/DMR_M_1P_Mini14_IDLE_POSE01.DMR_M_1P_Mini14_IDLE_POSE01, SubPath=); (AssetPath=/Game/Models/Weapons/Guns/DMR/Mini14/1P/DMR_M_1P_Mini14_IDLE_POSE02.DMR_M_1P_Mini14_IDLE_POSE02, SubPath=)","(AssetPath=None, SubPath=)","(AssetPath=/Game/Models/Weapons/Guns/DMR/General/Male/DMR_M_UI_Stand01.DMR_M_UI_Stand01, SubPath=)",,"(AssetPath=None, SubPath=)",1,,,,None
NewRow_31,0,15021,EWeaponPartAnimFunctionType::IK_LeftHand,"(AssetPath=/Game/Models/Weapons/Guns/SMG/UZI/1P/SMG_M_UZI_1P_Idle.SMG_M_UZI_1P_Idle, SubPath=)",,,"(AssetPath=/Game/Models/Weapons/Guns/SMG/General/Male/UI/MP_F_MVPL1_POSE.MP_F_MVPL1_POSE, SubPath=); (AssetPath=/Game/Models/Weapons/Guns/AR/AK74/3P/AR_M_AK_UI_IdleAdditivepose.AR_M_AK_UI_IdleAdditivepose, SubPath=)",,,"(AssetPath=/Game/Models/Weapons/Guns/SMG/General/Male/UI/SMG_M_UI_Stand01.SMG_M_UI_Stand01, SubPath=)",,"(AssetPath=None, SubPath=)",1,,,,None
NewRow_32,0,15022,EWeaponPartAnimFunctionType::IK_LeftHand,"(AssetPath=/Game/Models/Weapons/Guns/AR/MCX/1P/AR_M_1P_MCX_Idle_IKPOSE.AR_M_1P_MCX_Idle_IKPOSE, SubPath=)",,"(AssetPath=/Game/Models/Weapons/Guns/AR/MCX/3P/AR_M_3P_MCX_IdleBase.AR_M_3P_MCX_IdleBase, SubPath=)","(AssetPath=/Game/Models/Weapons/Guns/AR/QBZ95/Anims/UI/QBZ_M_UI_Stand01.QBZ_M_UI_Stand01, SubPath=); (AssetPath=/Game/Models/Weapons/Guns/AR/MCX/3P/AR_M_UI_MCX_Idle.AR_M_UI_MCX_Idle, SubPath=)",,,"(AssetPath=/Game/Models/Weapons/Guns/AR/General/Male/UI/AR_M_UI_Stand01.AR_M_UI_Stand01, SubPath=)",,"(AssetPath=None, SubPath=)",1,,,,None
NewRow_33,0,15023,EWeaponPartAnimFunctionType::IK_LeftHand,"(AssetPath=/Game/Models/Weapons/Guns/DMR/M14/1P/DMR_M_1P_M14_Idle.DMR_M_1P_M14_Idle, SubPath=)",,"(AssetPath=/Game/Models/Weapons/Guns/DMR/M14/3P/DMR_M_3P_M14_IdleBase.DMR_M_3P_M14_IdleBase, SubPath=)","(AssetPath=/Game/Models/Weapons/Guns/DMR/General/Female/DMR_F_UI_Stand01.DMR_F_UI_Stand01, SubPath=); (AssetPath=/Game/Models/Weapons/Guns/DMR/M14/3P/DMR_M_UI_M14_Idle.DMR_M_UI_M14_Idle, SubPath=)","(AssetPath=/Game/Models/Weapons/Guns/DMR/Mini14/1P/DMR_M_1P_Mini14_IDLE_POSE02.DMR_M_1P_Mini14_IDLE_POSE02, SubPath=)",,"(AssetPath=/Game/Models/Weapons/Guns/DMR/General/Male/DMR_M_UI_Stand01.DMR_M_UI_Stand01, SubPath=)",,"(AssetPath=None, SubPath=)",1,,,,None
NewRow_16,0,15006,EWeaponPartAnimFunctionType::IK_LeftHand,"(AssetPath=/Game/Models/Weapons/Guns/AR/CSLR17/1P/AR_M_CSLR17_1P_Idle.AR_M_CSLR17_1P_Idle, SubPath=)",,,"(AssetPath=/Game/Models/Weapons/Guns/AR/General/Male/UI/AR_M_UI_SquareHandguard.AR_M_UI_SquareHandguard, SubPath=); (AssetPath=/Game/Models/Weapons/Guns/AR/CSLR17/3P/AR_M_CSLR17_UI_idle.AR_M_CSLR17_UI_idle, SubPath=)",,,,,"(AssetPath=None, SubPath=)",1,,,,None
NewRow_17,0,15007,EWeaponPartAnimFunctionType::IK_LeftHand,"(AssetPath=/Game/Models/Weapons/Guns/SMG/P90/1P/SMG_M_P90_1P_Idle.SMG_M_P90_1P_Idle, SubPath=)",,,"(AssetPath=/Game/Models/Weapons/Guns/SMG/General/Male/UI/MP_F_MVPL1_POSE.MP_F_MVPL1_POSE, SubPath=); (AssetPath=/Game/Models/Weapons/Guns/SMG/P90/3P/SMG_M_P90_UI_IdlePose.SMG_M_P90_UI_IdlePose, SubPath=)",,,"(AssetPath=/Game/Models/Weapons/Guns/SMG/P90/UI/SMG_M_UI_P90_IdleAdditive.SMG_M_UI_P90_IdleAdditive, SubPath=)",,"(AssetPath=None, SubPath=)",1,,,,None
NewRow_18,0,15008,EWeaponPartAnimFunctionType::IK_LeftHand,"(AssetPath=/Game/Models/Weapons/Guns/SMG/Vector/1P/SMG_M_VECTOR_1P_Idle.SMG_M_VECTOR_1P_Idle, SubPath=)",,"(AssetPath=/Game/Models/Weapons/Guns/SMG/Vector/3P/SMG_M_3P_Vector_IdleBase.SMG_M_3P_Vector_IdleBase, SubPath=)","(AssetPath=/Game/Models/Weapons/Guns/SMG/Vector/General/Female/VECTOR_F_UI_Stand01.VECTOR_F_UI_Stand01, SubPath=); (AssetPath=/Game/Models/Weapons/Guns/SMG/Vector/3P/SMG_M_UI_Vector_Pose.SMG_M_UI_Vector_Pose, SubPath=)",,,"(AssetPath=/Game/Models/Weapons/Guns/SMG/Vector/General/Female/VECTOR_F_UI_Stand01.VECTOR_F_UI_Stand01, SubPath=)",,"(AssetPath=None, SubPath=)",1,,,,None
NewRow_19,0,15009,EWeaponPartAnimFunctionType::IK_LeftHand,"(AssetPath=/Game/Models/Weapons/Guns/SG/Saiga12K/1P/SG_M_Saiga12K_1P_Idle.SG_M_Saiga12K_1P_Idle, SubPath=)",,,"(AssetPath=/Game/Models/Weapons/Guns/AR/General/Male/UI/AR_M_UI_SquareHandguard.AR_M_UI_SquareHandguard, SubPath=); (AssetPath=/Game/Models/Weapons/Guns/SG/Saiga12K/3P/SG_M_Saiga12K_UI_Idle.SG_M_Saiga12K_UI_Idle, SubPath=)","(AssetPath=/Game/Models/Weapons/Guns/SG/Saiga12K/1P/SG_M_Saiga12K_1P_Idle.SG_M_Saiga12K_1P_Idle, SubPath=)",,,,"(AssetPath=None, SubPath=)",1,,,,None
NewRow_20,0,15010,EWeaponPartAnimFunctionType::IK_LeftHand,"(AssetPath=None, SubPath=)",,,"(AssetPath=/Game/Models/Weapons/Guns/PT/General/Male/UI/PT_M_UI_Stand01.PT_M_UI_Stand01, SubPath=); (AssetPath=/Game/Models/Weapons/Guns/SR/SKS/3p/SR_M_UI_sks_Idle_additive.SR_M_UI_sks_Idle_additive, SubPath=)","(AssetPath=None, SubPath=)",,"(AssetPath=/Game/Models/Weapons/Guns/DMR/General/Male/DMR_M_UI_Stand01.DMR_M_UI_Stand01, SubPath=)",,"(AssetPath=None, SubPath=)",1,,,,None
NewRow_21,0,15011,EWeaponPartAnimFunctionType::IK_LeftHand,"(AssetPath=/Game/Models/Weapons/Guns/PT/CF98A/PT_M_CF98A_1P_Idle.PT_M_CF98A_1P_Idle, SubPath=)",,,"(AssetPath=/Game/Models/Weapons/Guns/PT/General/Male/UI/PT_M_UI_Stand01.PT_M_UI_Stand01, SubPath=)",,,,,"(AssetPath=None, SubPath=)",1,,,,None
NewRow_22,0,15012,EWeaponPartAnimFunctionType::IK_LeftHand,"(AssetPath=/Game/Models/Weapons/Guns/PT/GLOCK18C/1P/PT_M_GLOCK18C_IP_Idle.PT_M_GLOCK18C_IP_Idle, SubPath=)",,,"(AssetPath=/Game/Models/Weapons/Guns/PT/General/Male/UI/PT_M_UI_Stand01.PT_M_UI_Stand01, SubPath=)",,,"(AssetPath=/Game/Models/Weapons/Guns/SMG/General/Femal/UI/SMG_F_UI_Stand01.SMG_F_UI_Stand01, SubPath=)",,"(AssetPath=None, SubPath=)",1,,,,None
NewRow_23,0,15013,EWeaponPartAnimFunctionType::IK_LeftHand,"(AssetPath=/Game/Models/Weapons/Guns/PT/Deagle/1P/PT_M_Deagle_1P_Idle.PT_M_Deagle_1P_Idle, SubPath=)",,,"(AssetPath=/Game/Models/Weapons/Guns/PT/General/Male/UI/PT_M_UI_Stand01.PT_M_UI_Stand01, SubPath=)",,,"(AssetPath=/Game/Models/Weapons/Guns/PT/General/Femal/UI/PT_F_UI_Stand01.PT_F_UI_Stand01, SubPath=)",,"(AssetPath=None, SubPath=)",1,,,,None
NewRow_24,0,15014,EWeaponPartAnimFunctionType::IK_LeftHand,"(AssetPath=/Game/Models/Weapons/Guns/AR/ASH12/1P/AR_M_ASH12_1P_Idle.AR_M_ASH12_1P_Idle, SubPath=)",,,"(AssetPath=/Game/Models/Weapons/Guns/AR/QBZ95/Anims/UI/QBZ_M_UI_Stand01.QBZ_M_UI_Stand01, SubPath=); (AssetPath=/Game/Models/Weapons/Guns/AR/ASH12/3P/AR_M_ASH12_UI_pose.AR_M_ASH12_UI_pose, SubPath=)",,,"(AssetPath=None, SubPath=)",,"(AssetPath=None, SubPath=)",1,,,,None
NewRow_7,0,10006,EWeaponPartAnimFunctionType::IK_LeftHand,"(AssetPath=/Game/Models/Weapons/Guns/AR/Anims/Male/1P/AR_M_1P_Idle01.AR_M_1P_Idle01, SubPath=)",,"(AssetPath=None, SubPath=)","(AssetPath=/Game/Models/Weapons/Guns/AR/General/Male/UI/AR_M_UI_SquareHandguard.AR_M_UI_SquareHandguard, SubPath=)",,,,,"(AssetPath=None, SubPath=)",1,,,,None
NewRow_35,0,15025,EWeaponPartAnimFunctionType::IK_LeftHand,"(AssetPath=/Game/Models/Weapons/Guns/LMG/FN-Minim/1P/LMG_M_FN-Minimi_1P_idle.LMG_M_FN-Minimi_1P_idle, SubPath=)",,,"(AssetPath=/Game/Models/Weapons/Parts/FroG/AdditivePose/AR_M_UI_TriangleGripPose.AR_M_UI_TriangleGripPose, SubPath=); (AssetPath=/Game/Models/Weapons/Guns/LMG/FN-Minim/3P/LMG_M_FN-Minim_UI_IdleAdditivepose.LMG_M_FN-Minim_UI_IdleAdditivepose, SubPath=)",,,"(AssetPath=/Game/Models/Weapons/Guns/LMG/General/Femal/UI/LMG_F_UI_Stand01.LMG_F_UI_Stand01, SubPath=)",,"(AssetPath=None, SubPath=)",1,,,,None
NewRow_36,0,15026,EWeaponPartAnimFunctionType::IK_LeftHand,"(AssetPath=/Game/Models/Weapons/Guns/AR/QBZ95/Anims/1P/AR_M_1P_QBZ95_Idle_pose.AR_M_1P_QBZ95_Idle_pose, SubPath=)",,,"(AssetPath=/Game/Models/Weapons/Guns/AR/General/Femal/UI/AR_F_UI_Stand01.AR_F_UI_Stand01, SubPath=); (AssetPath=/Game/Models/Weapons/Guns/AR/QBZ95/Anims/3P/AR_M_UI_QBZ95_IdleAdditivePose1.AR_M_UI_QBZ95_IdleAdditivePose1, SubPath=)",,,"(AssetPath=/Game/Models/Weapons/Guns/AR/QBZ95/Anims/UI/QBZ_M_UI_Stand01.QBZ_M_UI_Stand01, SubPath=)",,"(AssetPath=None, SubPath=)",1,,,,None
