RowName,WeaponId,WeaponDisplayName,IsWeaponUseVehicleMesh,IsWeaponShouldPlayAnimInFPPView,IsWeaponUseVehicleMeshWithVehicle,IsWeaponShouldPlayAnimInFPPViewWithVehicle,IsFixed,FixedRotationLerpValue,MaxDistance,bOverrideWeaponTraceDistance,OverridedWeaponTraceDistance,FixedFireStartPos,RotAudioId,RotLerpValue,RotLerpThreshold,WeaponRotYawSpeed,WeaponRotPitchSpeed,WeaponMaxPitch,WeaponMinPitch,WeaponPitchRange,FireWindEffectInfo,IsNeedFireEffect,FireEffectRaycastDistance,FireForcePos,FireVelocityValue,FireAngularVelocityValue,FiredDustEffect,FiredDustRaycastDistance,FPPUpAdditiveAnim,FPPDownAdditiveAnim,HideSockets,CrossHairName,WeaponUIIcon,WeaponTypeIcon,WeaponGunMesh,WeaponGunLocalTransform,WeaponGunModificationEffect,AnotherWeaponGunMesh,AnotherWeaponGunLocalTransform,AnotherWeaponGunModificationEffect,WeaponRootMesh,WeaponRootModificationEffect,RowDescription
武直空地导弹,18120000006,,False,True,,,True,20,20000,False,20000,"(X=0, Y=0, Z=0)",0,10,10,1000,1000,"(EditorCurveData=(Keys=, Orders=, DefaultValue=3.4028235e+38, PreInfinityExtrap=RCCE_Constant, PostInfinityExtrap=RCCE_Constant), ExternalCurve=)","(EditorCurveData=(Keys=, Orders=, DefaultValue=3.4028235e+38, PreInfinityExtrap=RCCE_Constant, PostInfinityExtrap=RCCE_Constant), ExternalCurve=)","(X=-10, Y=30, Z=0)","(bPlayFireWindEffect=False, bUseCustomWineEffectBlueprint=False, WindEffectBlueprint=(), LocalOffset=(X=0, Y=0, Z=0), WindEffectRadius=0, WindEffectStrength=0, WindEffectDuration=0)",False,100,"(X=0, Y=0, Z=0)",0,0,None,500,(),(),,None,(),(),(),"(Rotation=(), Translation=(X=-21, Y=-161.85, Z=107.240005), Scale3D=(X=1, Y=1, Z=1))","(EffectId=None, b13PUseSeparateId=False, EffectId3P=None, EffectTransform=(Rotation=(), Translation=(X=0, Y=0, Z=0), Scale3D=(X=1, Y=1, Z=1)), SocketName=None, EffectsParamEvaluators=)",(),"(Rotation=(), Translation=(X=-21, Y=161.85, Z=107.240005), Scale3D=(X=1, Y=1, Z=1))","(EffectId=None, b13PUseSeparateId=False, EffectId3P=None, EffectTransform=(Rotation=(), Translation=(X=0, Y=0, Z=0), Scale3D=(X=1, Y=1, Z=1)), SocketName=None, EffectsParamEvaluators=)",(),"(EffectId=None, b13PUseSeparateId=False, EffectId3P=None, EffectTransform=(Rotation=(), Translation=(X=0, Y=0, Z=0), Scale3D=(X=1, Y=1, Z=1)), SocketName=None, EffectsParamEvaluators=)",None
武直30mm机炮,18120000005,,False,True,,,False,20,20000,False,20000,"(X=0, Y=0, Z=0)",0,10,10,360,90,"(EditorCurveData=(Keys=, Orders=, DefaultValue=3.4028235e+38, PreInfinityExtrap=RCCE_Constant, PostInfinityExtrap=RCCE_Constant), ExternalCurve=)","(EditorCurveData=(Keys=, Orders=, DefaultValue=3.4028235e+38, PreInfinityExtrap=RCCE_Constant, PostInfinityExtrap=RCCE_Constant), ExternalCurve=)","(X=-70, Y=0, Z=0)","(bPlayFireWindEffect=False, bUseCustomWineEffectBlueprint=False, WindEffectBlueprint=(), LocalOffset=(X=0, Y=0, Z=0), WindEffectRadius=0, WindEffectStrength=0, WindEffectDuration=0)",False,100,"(X=0, Y=0, Z=0)",0,0,None,500,(),(),,None,(),(),(),"(Rotation=(), Translation=(X=0, Y=0, Z=0), Scale3D=(X=1, Y=1, Z=1))","(EffectId=None, b13PUseSeparateId=False, EffectId3P=None, EffectTransform=(Rotation=(), Translation=(X=0, Y=0, Z=0), Scale3D=(X=1, Y=1, Z=1)), SocketName=None, EffectsParamEvaluators=)",(),"(Rotation=(), Translation=(X=0, Y=0, Z=0), Scale3D=(X=1, Y=1, Z=1))","(EffectId=None, b13PUseSeparateId=False, EffectId3P=None, EffectTransform=(Rotation=(), Translation=(X=0, Y=0, Z=0), Scale3D=(X=1, Y=1, Z=1)), SocketName=None, EffectsParamEvaluators=)",(),"(EffectId=None, b13PUseSeparateId=False, EffectId3P=None, EffectTransform=(Rotation=(), Translation=(X=0, Y=0, Z=0), Scale3D=(X=1, Y=1, Z=1)), SocketName=None, EffectsParamEvaluators=)",None
武器站-轻机枪,18120000009,,False,True,,,False,20,20000,False,20000,"(X=0, Y=0, Z=0)",1200,10,10,360,90,"(EditorCurveData=(Keys=, Orders=, DefaultValue=3.4028235e+38, PreInfinityExtrap=RCCE_Constant, PostInfinityExtrap=RCCE_Constant), ExternalCurve=)","(EditorCurveData=(Keys=, Orders=, DefaultValue=3.4028235e+38, PreInfinityExtrap=RCCE_Constant, PostInfinityExtrap=RCCE_Constant), ExternalCurve=)","(X=-30, Y=50, Z=0)","(bPlayFireWindEffect=False, bUseCustomWineEffectBlueprint=False, WindEffectBlueprint=(), LocalOffset=(X=0, Y=0, Z=0), WindEffectRadius=0, WindEffectStrength=0, WindEffectDuration=0)",False,100,"(X=0, Y=0, Z=0)",0,0,None,500,(),(),,None,(),(),(),"(Rotation=(), Translation=(X=0, Y=0, Z=0), Scale3D=(X=1, Y=1, Z=1))","(EffectId=None, b13PUseSeparateId=False, EffectId3P=None, EffectTransform=(Rotation=(), Translation=(X=0, Y=0, Z=0), Scale3D=(X=1, Y=1, Z=1)), SocketName=None, EffectsParamEvaluators=)",(),"(Rotation=(), Translation=(X=0, Y=0, Z=0), Scale3D=(X=1, Y=1, Z=1))","(EffectId=None, b13PUseSeparateId=False, EffectId3P=None, EffectTransform=(Rotation=(), Translation=(X=0, Y=0, Z=0), Scale3D=(X=1, Y=1, Z=1)), SocketName=None, EffectsParamEvaluators=)",(),"(EffectId=None, b13PUseSeparateId=False, EffectId3P=None, EffectTransform=(Rotation=(), Translation=(X=0, Y=0, Z=0), Scale3D=(X=1, Y=1, Z=1)), SocketName=None, EffectsParamEvaluators=)",None
武器站-30mm机炮,18120000015,,False,True,,,False,20,20000,False,20000,"(X=0, Y=0, Z=0)",1200,10,10,360,90,"(EditorCurveData=(Keys=, Orders=, DefaultValue=3.4028235e+38, PreInfinityExtrap=RCCE_Constant, PostInfinityExtrap=RCCE_Constant), ExternalCurve=)","(EditorCurveData=(Keys=, Orders=, DefaultValue=3.4028235e+38, PreInfinityExtrap=RCCE_Constant, PostInfinityExtrap=RCCE_Constant), ExternalCurve=)","(X=-30, Y=50, Z=0)","(bPlayFireWindEffect=False, bUseCustomWineEffectBlueprint=False, WindEffectBlueprint=(), LocalOffset=(X=0, Y=0, Z=0), WindEffectRadius=0, WindEffectStrength=0, WindEffectDuration=0)",False,100,"(X=0, Y=0, Z=0)",0,0,None,500,(),(),,None,(),(),(),"(Rotation=(), Translation=(X=0, Y=0, Z=0), Scale3D=(X=1, Y=1, Z=1))","(EffectId=None, b13PUseSeparateId=False, EffectId3P=None, EffectTransform=(Rotation=(), Translation=(X=0, Y=0, Z=0), Scale3D=(X=1, Y=1, Z=1)), SocketName=None, EffectsParamEvaluators=)",(),"(Rotation=(), Translation=(X=0, Y=0, Z=0), Scale3D=(X=1, Y=1, Z=1))","(EffectId=None, b13PUseSeparateId=False, EffectId3P=None, EffectTransform=(Rotation=(), Translation=(X=0, Y=0, Z=0), Scale3D=(X=1, Y=1, Z=1)), SocketName=None, EffectsParamEvaluators=)",(),"(EffectId=None, b13PUseSeparateId=False, EffectId3P=None, EffectTransform=(Rotation=(), Translation=(X=0, Y=0, Z=0), Scale3D=(X=1, Y=1, Z=1)), SocketName=None, EffectsParamEvaluators=)",None
武器站-火箭武器舱,18120000014,,False,True,,,False,20,20000,False,20000,"(X=0, Y=0, Z=0)",1200,10,10,360,90,"(EditorCurveData=(Keys=, Orders=, DefaultValue=3.4028235e+38, PreInfinityExtrap=RCCE_Constant, PostInfinityExtrap=RCCE_Constant), ExternalCurve=)","(EditorCurveData=(Keys=, Orders=, DefaultValue=3.4028235e+38, PreInfinityExtrap=RCCE_Constant, PostInfinityExtrap=RCCE_Constant), ExternalCurve=)","(X=-30, Y=45, Z=0)","(bPlayFireWindEffect=False, bUseCustomWineEffectBlueprint=False, WindEffectBlueprint=(), LocalOffset=(X=0, Y=0, Z=0), WindEffectRadius=0, WindEffectStrength=0, WindEffectDuration=0)",False,100,"(X=0, Y=0, Z=0)",0,0,None,500,(),(),,WBP_Vehicle_Rocket,(),(),(),"(Rotation=(), Translation=(X=0, Y=0, Z=30), Scale3D=(X=1, Y=1, Z=1))","(EffectId=None, b13PUseSeparateId=False, EffectId3P=None, EffectTransform=(Rotation=(), Translation=(X=0, Y=0, Z=0), Scale3D=(X=1, Y=1, Z=1)), SocketName=None, EffectsParamEvaluators=)",(),"(Rotation=(), Translation=(X=0, Y=0, Z=0), Scale3D=(X=1, Y=1, Z=1))","(EffectId=None, b13PUseSeparateId=False, EffectId3P=None, EffectTransform=(Rotation=(), Translation=(X=0, Y=0, Z=0), Scale3D=(X=1, Y=1, Z=1)), SocketName=None, EffectsParamEvaluators=)",(),"(EffectId=None, b13PUseSeparateId=False, EffectId3P=None, EffectTransform=(Rotation=(), Translation=(X=0, Y=0, Z=0), Scale3D=(X=1, Y=1, Z=1)), SocketName=None, EffectsParamEvaluators=)",None
阿帕奇反步兵火箭弹,18120000017,,False,True,,,True,20,20000,False,20000,"(X=0, Y=0, Z=0)",0,10,10,1000,1000,"(EditorCurveData=(Keys=, Orders=, DefaultValue=3.4028235e+38, PreInfinityExtrap=RCCE_Constant, PostInfinityExtrap=RCCE_Constant), ExternalCurve=)","(EditorCurveData=(Keys=, Orders=, DefaultValue=3.4028235e+38, PreInfinityExtrap=RCCE_Constant, PostInfinityExtrap=RCCE_Constant), ExternalCurve=)","(X=-10, Y=20, Z=0)","(bPlayFireWindEffect=False, bUseCustomWineEffectBlueprint=False, WindEffectBlueprint=(), LocalOffset=(X=0, Y=0, Z=0), WindEffectRadius=0, WindEffectStrength=0, WindEffectDuration=0)",False,100,"(X=0, Y=0, Z=0)",0,0,None,500,(),(),,aimroot,(),(),(),"(Rotation=(), Translation=(X=-88.72, Y=-241.85, Z=116.240005), Scale3D=(X=1, Y=1, Z=1))","(EffectId=None, b13PUseSeparateId=False, EffectId3P=None, EffectTransform=(Rotation=(), Translation=(X=0, Y=0, Z=0), Scale3D=(X=1, Y=1, Z=1)), SocketName=None, EffectsParamEvaluators=)",(),"(Rotation=(), Translation=(X=-88.72, Y=241.85, Z=116.240005), Scale3D=(X=1, Y=1, Z=1))","(EffectId=None, b13PUseSeparateId=False, EffectId3P=None, EffectTransform=(Rotation=(), Translation=(X=0, Y=0, Z=0), Scale3D=(X=1, Y=1, Z=1)), SocketName=None, EffectsParamEvaluators=)",(),"(EffectId=None, b13PUseSeparateId=False, EffectId3P=None, EffectTransform=(Rotation=(), Translation=(X=0, Y=0, Z=0), Scale3D=(X=1, Y=1, Z=1)), SocketName=None, EffectsParamEvaluators=)",None
阿帕奇机炮,18120000018,,False,True,,,False,20,20000,False,20000,"(X=0, Y=0, Z=0)",0,10,10,360,90,"(EditorCurveData=(Keys=, Orders=, DefaultValue=3.4028235e+38, PreInfinityExtrap=RCCE_Constant, PostInfinityExtrap=RCCE_Constant), ExternalCurve=)","(EditorCurveData=(Keys=, Orders=, DefaultValue=3.4028235e+38, PreInfinityExtrap=RCCE_Constant, PostInfinityExtrap=RCCE_Constant), ExternalCurve=)","(X=-70, Y=0, Z=0)","(bPlayFireWindEffect=False, bUseCustomWineEffectBlueprint=False, WindEffectBlueprint=(), LocalOffset=(X=0, Y=0, Z=0), WindEffectRadius=0, WindEffectStrength=0, WindEffectDuration=0)",False,100,"(X=0, Y=0, Z=0)",0,0,None,500,(),(),,None,(),(),(),"(Rotation=(), Translation=(X=0, Y=0, Z=0), Scale3D=(X=1, Y=1, Z=1))","(EffectId=None, b13PUseSeparateId=False, EffectId3P=None, EffectTransform=(Rotation=(), Translation=(X=0, Y=0, Z=0), Scale3D=(X=1, Y=1, Z=1)), SocketName=None, EffectsParamEvaluators=)",(),"(Rotation=(), Translation=(X=0, Y=0, Z=0), Scale3D=(X=1, Y=1, Z=1))","(EffectId=None, b13PUseSeparateId=False, EffectId3P=None, EffectTransform=(Rotation=(), Translation=(X=0, Y=0, Z=0), Scale3D=(X=1, Y=1, Z=1)), SocketName=None, EffectsParamEvaluators=)",(),"(EffectId=None, b13PUseSeparateId=False, EffectId3P=None, EffectTransform=(Rotation=(), Translation=(X=0, Y=0, Z=0), Scale3D=(X=1, Y=1, Z=1)), SocketName=None, EffectsParamEvaluators=)",None
阿帕奇空地导弹,18120000019,,False,True,,,True,20,20000,False,20000,"(X=0, Y=0, Z=0)",0,10,10,1000,1000,"(EditorCurveData=(Keys=, Orders=, DefaultValue=3.4028235e+38, PreInfinityExtrap=RCCE_Constant, PostInfinityExtrap=RCCE_Constant), ExternalCurve=)","(EditorCurveData=(Keys=, Orders=, DefaultValue=3.4028235e+38, PreInfinityExtrap=RCCE_Constant, PostInfinityExtrap=RCCE_Constant), ExternalCurve=)","(X=-10, Y=30, Z=0)","(bPlayFireWindEffect=False, bUseCustomWineEffectBlueprint=False, WindEffectBlueprint=(), LocalOffset=(X=0, Y=0, Z=0), WindEffectRadius=0, WindEffectStrength=0, WindEffectDuration=0)",False,100,"(X=0, Y=0, Z=0)",0,0,None,500,(),(),,TargetSecondAimRoot,(),(),(),"(Rotation=(), Translation=(X=0, Y=0, Z=0), Scale3D=(X=1, Y=1, Z=1))","(EffectId=None, b13PUseSeparateId=False, EffectId3P=None, EffectTransform=(Rotation=(), Translation=(X=0, Y=0, Z=0), Scale3D=(X=1, Y=1, Z=1)), SocketName=None, EffectsParamEvaluators=)",(),"(Rotation=(), Translation=(X=0, Y=0, Z=0), Scale3D=(X=1, Y=1, Z=1))","(EffectId=None, b13PUseSeparateId=False, EffectId3P=None, EffectTransform=(Rotation=(), Translation=(X=0, Y=0, Z=0), Scale3D=(X=1, Y=1, Z=1)), SocketName=None, EffectsParamEvaluators=)",(),"(EffectId=None, b13PUseSeparateId=False, EffectId3P=None, EffectTransform=(Rotation=(), Translation=(X=0, Y=0, Z=0), Scale3D=(X=1, Y=1, Z=1)), SocketName=None, EffectsParamEvaluators=)",None
坦克高爆弹,18120000020,,False,True,,,False,20,20000,False,20000,"(X=0, Y=0, Z=0)",1000,10,10,156,60,"(EditorCurveData=(Keys=, Orders=, DefaultValue=3.4028235e+38, PreInfinityExtrap=RCCE_Constant, PostInfinityExtrap=RCCE_Constant), ExternalCurve=)","(EditorCurveData=(Keys=, Orders=, DefaultValue=3.4028235e+38, PreInfinityExtrap=RCCE_Constant, PostInfinityExtrap=RCCE_Constant), ExternalCurve=)","(X=-10, Y=20, Z=0)","(bPlayFireWindEffect=True, bUseCustomWineEffectBlueprint=False, WindEffectBlueprint=(), LocalOffset=(X=0, Y=0, Z=0), WindEffectRadius=1500, WindEffectStrength=1, WindEffectDuration=5)",True,100,"(X=0, Y=0, Z=0)",225,0.5,None,500,(),(),,None,(),(),(),"(Rotation=(), Translation=(X=0, Y=0, Z=0), Scale3D=(X=1, Y=1, Z=1))","(EffectId=None, b13PUseSeparateId=False, EffectId3P=None, EffectTransform=(Rotation=(), Translation=(X=0, Y=0, Z=0), Scale3D=(X=1, Y=1, Z=1)), SocketName=None, EffectsParamEvaluators=)",(),"(Rotation=(), Translation=(X=0, Y=0, Z=0), Scale3D=(X=1, Y=1, Z=1))","(EffectId=None, b13PUseSeparateId=False, EffectId3P=None, EffectTransform=(Rotation=(), Translation=(X=0, Y=0, Z=0), Scale3D=(X=1, Y=1, Z=1)), SocketName=None, EffectsParamEvaluators=)",(),"(EffectId=None, b13PUseSeparateId=False, EffectId3P=None, EffectTransform=(Rotation=(), Translation=(X=0, Y=0, Z=0), Scale3D=(X=1, Y=1, Z=1)), SocketName=None, EffectsParamEvaluators=)",None
坦克尾翼稳定脱壳穿甲弹,18120000021,,False,True,,,False,20,20000,False,20000,"(X=0, Y=0, Z=0)",1000,10,10,100,60,"(EditorCurveData=(Keys=, Orders=, DefaultValue=3.4028235e+38, PreInfinityExtrap=RCCE_Constant, PostInfinityExtrap=RCCE_Constant), ExternalCurve=)","(EditorCurveData=(Keys=, Orders=, DefaultValue=3.4028235e+38, PreInfinityExtrap=RCCE_Constant, PostInfinityExtrap=RCCE_Constant), ExternalCurve=)","(X=-10, Y=20, Z=0)","(bPlayFireWindEffect=True, bUseCustomWineEffectBlueprint=False, WindEffectBlueprint=(), LocalOffset=(X=0, Y=0, Z=0), WindEffectRadius=1500, WindEffectStrength=1, WindEffectDuration=5)",True,100,"(X=0, Y=0, Z=0)",225,0.5,None,500,(),(),,None,(),(),(),"(Rotation=(), Translation=(X=0, Y=0, Z=0), Scale3D=(X=1, Y=1, Z=1))","(EffectId=None, b13PUseSeparateId=False, EffectId3P=None, EffectTransform=(Rotation=(), Translation=(X=0, Y=0, Z=0), Scale3D=(X=1, Y=1, Z=1)), SocketName=None, EffectsParamEvaluators=)",(),"(Rotation=(), Translation=(X=0, Y=0, Z=0), Scale3D=(X=1, Y=1, Z=1))","(EffectId=None, b13PUseSeparateId=False, EffectId3P=None, EffectTransform=(Rotation=(), Translation=(X=0, Y=0, Z=0), Scale3D=(X=1, Y=1, Z=1)), SocketName=None, EffectsParamEvaluators=)",(),"(EffectId=None, b13PUseSeparateId=False, EffectId3P=None, EffectTransform=(Rotation=(), Translation=(X=0, Y=0, Z=0), Scale3D=(X=1, Y=1, Z=1)), SocketName=None, EffectsParamEvaluators=)",None
坦克同轴轻机枪,18120000022,,False,True,,,False,20,20000,False,20000,"(X=0, Y=0, Z=0)",1100,10,10,100,60,"(EditorCurveData=(Keys=, Orders=, DefaultValue=3.4028235e+38, PreInfinityExtrap=RCCE_Constant, PostInfinityExtrap=RCCE_Constant), ExternalCurve=)","(EditorCurveData=(Keys=, Orders=, DefaultValue=3.4028235e+38, PreInfinityExtrap=RCCE_Constant, PostInfinityExtrap=RCCE_Constant), ExternalCurve=)","(X=-10, Y=20, Z=0)","(bPlayFireWindEffect=False, bUseCustomWineEffectBlueprint=False, WindEffectBlueprint=(), LocalOffset=(X=0, Y=0, Z=0), WindEffectRadius=0, WindEffectStrength=0, WindEffectDuration=0)",False,100,"(X=0, Y=0, Z=0)",0,0,None,500,(),(),,None,(),(),(),"(Rotation=(), Translation=(X=0, Y=0, Z=0), Scale3D=(X=1, Y=1, Z=1))","(EffectId=None, b13PUseSeparateId=False, EffectId3P=None, EffectTransform=(Rotation=(), Translation=(X=0, Y=0, Z=0), Scale3D=(X=1, Y=1, Z=1)), SocketName=None, EffectsParamEvaluators=)",(),"(Rotation=(), Translation=(X=0, Y=0, Z=0), Scale3D=(X=1, Y=1, Z=1))","(EffectId=None, b13PUseSeparateId=False, EffectId3P=None, EffectTransform=(Rotation=(), Translation=(X=0, Y=0, Z=0), Scale3D=(X=1, Y=1, Z=1)), SocketName=None, EffectsParamEvaluators=)",(),"(EffectId=None, b13PUseSeparateId=False, EffectId3P=None, EffectTransform=(Rotation=(), Translation=(X=0, Y=0, Z=0), Scale3D=(X=1, Y=1, Z=1)), SocketName=None, EffectsParamEvaluators=)",None
坦克同轴重机枪,18120000023,,False,True,,,False,20,20000,False,20000,"(X=0, Y=0, Z=0)",1100,10,10,100,60,"(EditorCurveData=(Keys=, Orders=, DefaultValue=3.4028235e+38, PreInfinityExtrap=RCCE_Constant, PostInfinityExtrap=RCCE_Constant), ExternalCurve=)","(EditorCurveData=(Keys=, Orders=, DefaultValue=3.4028235e+38, PreInfinityExtrap=RCCE_Constant, PostInfinityExtrap=RCCE_Constant), ExternalCurve=)","(X=-10, Y=20, Z=0)","(bPlayFireWindEffect=False, bUseCustomWineEffectBlueprint=False, WindEffectBlueprint=(), LocalOffset=(X=0, Y=0, Z=0), WindEffectRadius=0, WindEffectStrength=0, WindEffectDuration=0)",False,100,"(X=0, Y=0, Z=0)",0,0,None,500,(),(),,None,(),(),(),"(Rotation=(), Translation=(X=0, Y=0, Z=0), Scale3D=(X=1, Y=1, Z=1))","(EffectId=None, b13PUseSeparateId=False, EffectId3P=None, EffectTransform=(Rotation=(), Translation=(X=0, Y=0, Z=0), Scale3D=(X=1, Y=1, Z=1)), SocketName=None, EffectsParamEvaluators=)",(),"(Rotation=(), Translation=(X=0, Y=0, Z=0), Scale3D=(X=1, Y=1, Z=1))","(EffectId=None, b13PUseSeparateId=False, EffectId3P=None, EffectTransform=(Rotation=(), Translation=(X=0, Y=0, Z=0), Scale3D=(X=1, Y=1, Z=1)), SocketName=None, EffectsParamEvaluators=)",(),"(EffectId=None, b13PUseSeparateId=False, EffectId3P=None, EffectTransform=(Rotation=(), Translation=(X=0, Y=0, Z=0), Scale3D=(X=1, Y=1, Z=1)), SocketName=None, EffectsParamEvaluators=)",None
武器站-高射舱,18120000024,,False,True,,,False,20,20000,False,20000,"(X=0, Y=0, Z=0)",1200,10,10,360,90,"(EditorCurveData=(Keys=, Orders=, DefaultValue=3.4028235e+38, PreInfinityExtrap=RCCE_Constant, PostInfinityExtrap=RCCE_Constant), ExternalCurve=)","(EditorCurveData=(Keys=, Orders=, DefaultValue=3.4028235e+38, PreInfinityExtrap=RCCE_Constant, PostInfinityExtrap=RCCE_Constant), ExternalCurve=)","(X=-30, Y=70, Z=0)","(bPlayFireWindEffect=False, bUseCustomWineEffectBlueprint=False, WindEffectBlueprint=(), LocalOffset=(X=0, Y=0, Z=0), WindEffectRadius=0, WindEffectStrength=0, WindEffectDuration=0)",False,100,"(X=0, Y=0, Z=0)",0,0,None,500,(),(),,WBP_Vehicle_Shot,(),(),(),"(Rotation=(), Translation=(X=0, Y=-8, Z=20), Scale3D=(X=1, Y=1, Z=1))","(EffectId=None, b13PUseSeparateId=False, EffectId3P=None, EffectTransform=(Rotation=(), Translation=(X=0, Y=0, Z=0), Scale3D=(X=1, Y=1, Z=1)), SocketName=None, EffectsParamEvaluators=)",(),"(Rotation=(), Translation=(X=0, Y=0, Z=0), Scale3D=(X=1, Y=1, Z=1))","(EffectId=None, b13PUseSeparateId=False, EffectId3P=None, EffectTransform=(Rotation=(), Translation=(X=0, Y=0, Z=0), Scale3D=(X=1, Y=1, Z=1)), SocketName=None, EffectsParamEvaluators=)",(),"(EffectId=None, b13PUseSeparateId=False, EffectId3P=None, EffectTransform=(Rotation=(), Translation=(X=0, Y=0, Z=0), Scale3D=(X=1, Y=1, Z=1)), SocketName=None, EffectsParamEvaluators=)",None
武器站-燃烧榴弹发射器,18120000025,,False,True,,,False,20,20000,False,20000,"(X=0, Y=0, Z=0)",1200,10,10,360,90,"(EditorCurveData=(Keys=, Orders=, DefaultValue=3.4028235e+38, PreInfinityExtrap=RCCE_Constant, PostInfinityExtrap=RCCE_Constant), ExternalCurve=)","(EditorCurveData=(Keys=, Orders=, DefaultValue=3.4028235e+38, PreInfinityExtrap=RCCE_Constant, PostInfinityExtrap=RCCE_Constant), ExternalCurve=)","(X=-30, Y=45, Z=0)","(bPlayFireWindEffect=False, bUseCustomWineEffectBlueprint=False, WindEffectBlueprint=(), LocalOffset=(X=0, Y=0, Z=0), WindEffectRadius=0, WindEffectStrength=0, WindEffectDuration=0)",False,100,"(X=0, Y=0, Z=0)",0,0,None,500,(),(),,WBP_Vehicle_SpecialGrenade,(),(),(),"(Rotation=(), Translation=(X=0, Y=0, Z=70), Scale3D=(X=1, Y=1, Z=1))","(EffectId=None, b13PUseSeparateId=False, EffectId3P=None, EffectTransform=(Rotation=(), Translation=(X=0, Y=0, Z=0), Scale3D=(X=1, Y=1, Z=1)), SocketName=None, EffectsParamEvaluators=)",(),"(Rotation=(), Translation=(X=0, Y=0, Z=0), Scale3D=(X=1, Y=1, Z=1))","(EffectId=None, b13PUseSeparateId=False, EffectId3P=None, EffectTransform=(Rotation=(), Translation=(X=0, Y=0, Z=0), Scale3D=(X=1, Y=1, Z=1)), SocketName=None, EffectsParamEvaluators=)",(),"(EffectId=None, b13PUseSeparateId=False, EffectId3P=None, EffectTransform=(Rotation=(), Translation=(X=0, Y=0, Z=0), Scale3D=(X=1, Y=1, Z=1)), SocketName=None, EffectsParamEvaluators=)",None
武器站-动能榴弹,18120000026,,False,True,,,False,20,20000,False,20000,"(X=0, Y=0, Z=0)",1200,10,10,360,90,"(EditorCurveData=(Keys=, Orders=, DefaultValue=3.4028235e+38, PreInfinityExtrap=RCCE_Constant, PostInfinityExtrap=RCCE_Constant), ExternalCurve=)","(EditorCurveData=(Keys=, Orders=, DefaultValue=3.4028235e+38, PreInfinityExtrap=RCCE_Constant, PostInfinityExtrap=RCCE_Constant), ExternalCurve=)","(X=-30, Y=45, Z=0)","(bPlayFireWindEffect=False, bUseCustomWineEffectBlueprint=False, WindEffectBlueprint=(), LocalOffset=(X=0, Y=0, Z=0), WindEffectRadius=0, WindEffectStrength=0, WindEffectDuration=0)",False,100,"(X=0, Y=0, Z=0)",0,0,None,500,(),(),,WBP_Vehicle_Rocket,(),(),(),"(Rotation=(), Translation=(X=0, Y=0, Z=30), Scale3D=(X=1, Y=1, Z=1))","(EffectId=None, b13PUseSeparateId=False, EffectId3P=None, EffectTransform=(Rotation=(), Translation=(X=0, Y=0, Z=0), Scale3D=(X=1, Y=1, Z=1)), SocketName=None, EffectsParamEvaluators=)",(),"(Rotation=(), Translation=(X=0, Y=0, Z=0), Scale3D=(X=1, Y=1, Z=1))","(EffectId=None, b13PUseSeparateId=False, EffectId3P=None, EffectTransform=(Rotation=(), Translation=(X=0, Y=0, Z=0), Scale3D=(X=1, Y=1, Z=1)), SocketName=None, EffectsParamEvaluators=)",(),"(EffectId=None, b13PUseSeparateId=False, EffectId3P=None, EffectTransform=(Rotation=(), Translation=(X=0, Y=0, Z=0), Scale3D=(X=1, Y=1, Z=1)), SocketName=None, EffectsParamEvaluators=)",None
武直智能火箭弹,18120000027,,False,True,,,True,20,20000,False,20000,"(X=0, Y=0, Z=0)",0,10,10,1000,1000,"(EditorCurveData=(Keys=, Orders=, DefaultValue=3.4028235e+38, PreInfinityExtrap=RCCE_Constant, PostInfinityExtrap=RCCE_Constant), ExternalCurve=)","(EditorCurveData=(Keys=, Orders=, DefaultValue=3.4028235e+38, PreInfinityExtrap=RCCE_Constant, PostInfinityExtrap=RCCE_Constant), ExternalCurve=)","(X=-10, Y=20, Z=0)","(bPlayFireWindEffect=False, bUseCustomWineEffectBlueprint=False, WindEffectBlueprint=(), LocalOffset=(X=0, Y=0, Z=0), WindEffectRadius=0, WindEffectStrength=0, WindEffectDuration=0)",False,100,"(X=0, Y=0, Z=0)",0,0,None,500,(),(),,aimroot,(),(),(),"(Rotation=(), Translation=(X=5.279999, Y=241.85, Z=137.24), Scale3D=(X=1, Y=1, Z=1))","(EffectId=None, b13PUseSeparateId=False, EffectId3P=None, EffectTransform=(Rotation=(), Translation=(X=0, Y=0, Z=0), Scale3D=(X=1, Y=1, Z=1)), SocketName=None, EffectsParamEvaluators=)",(),"(Rotation=(), Translation=(X=5.279999, Y=-241.8501, Z=137.24), Scale3D=(X=1, Y=1, Z=1))","(EffectId=None, b13PUseSeparateId=False, EffectId3P=None, EffectTransform=(Rotation=(), Translation=(X=0, Y=0, Z=0), Scale3D=(X=1, Y=1, Z=1)), SocketName=None, EffectsParamEvaluators=)",(),"(EffectId=None, b13PUseSeparateId=False, EffectId3P=None, EffectTransform=(Rotation=(), Translation=(X=0, Y=0, Z=0), Scale3D=(X=1, Y=1, Z=1)), SocketName=None, EffectsParamEvaluators=)",None
