---,ItemId,Type,AmmoName,PenetrateLevel,AttackGroupId,BuffId,DamageRate,ArmorDamageRate,LimbsDamageRate,bEnablePerPartDamageRate,ThrowBlockingDamageRate,BlastShieldGlassDamageRate,WoundRate,DizzyRate,ProjectileNum,WaistShootSpreadId,AimShootSpreadId,WaistCrosshairId,AimCrosshairId,WeaponBulletId,CBowId,bAvailable,AmmoCaliber,CameraSwayHitScale,GunSwayHitScale,AmmoDamageType,AmmoArmorLevelDiff,PenetrateAttenuationRatio,PenetrateAttenuationType,PenetrateAmmoLevelDecrease,AmmoTypeRTPCValue,FireAudioAttenuationCoefficient,bEnableBulletCrackAudio,bEnableBulletFlyByAudio
14,37040300001,4,3级机枪穿甲,3,0,0,1,1,1,False,1,1,0,0,1,0,0,0,0,0,0,False,,1,1,PassHand,0,0,Never,0,0,1,True,True
15,37040400001,4,4级机枪穿甲,4,0,0,1,1.1,1,False,1.1,1,0,0,1,0,0,0,0,0,0,False,,1,1,PassHand,0,0,Never,0,0,1,True,True
16,37040500001,4,5级机枪穿甲,5,0,0,1,1.3,1,False,1.2,1,0,0,1,0,0,0,0,0,0,False,,1,1,PassHand,0,0,Never,0,0,1,True,True
17,37050200001,5,2级穿甲射手步枪弹,2,0,0,1,0.8,1,False,0.9,1,0.1,0,1,0,0,0,0,0,0,False,,1,1,PassHand,0,0,Never,0,0,1,True,True
18,37050300001,5,3级高穿射手步枪弹,3,0,0,1,0.9,1,False,1,1,0.1,0,1,0,0,0,0,0,0,False,,1,1,PassHand,0,0,Never,0,0,1,True,True
19,37050400001,5,4级穿甲射手步枪弹,4,0,0,1,1.1,1,False,1.1,1,0.1,0,1,0,0,0,0,0,0,False,,1,1,PassHand,0,0,Never,0,0,1,True,True
20,37050500001,5,5级穿甲射手步枪弹,5,0,0,1,1.1,1,False,1.2,1,0,0,1,0,0,0,0,0,0,False,,1,1,PassHand,0,0,Never,0,0,1,True,True
21,37050600001,5,6级穿甲射手步枪弹,6,0,0,1,1.1,1,False,1.6,1,0,0,1,0,0,0,0,0,0,False,,1,1,PassHand,0,0,Never,0,0,1,True,True
22,37060300001,6,3级狙击枪穿甲弹,3,0,0,1,1,1,False,1,1,0.1,0,1,0,0,0,0,0,0,False,,1,1,PassHand,0,0,Never,0,0,1,True,True
23,37060400001,6,4级狙击枪穿甲弹,4,0,0,1,1,1,False,1.1,1,0.1,0,1,0,0,0,0,0,0,False,,1,1,PassHand,0,0,Never,0,0,1,True,True
24,37060500001,6,5级狙击枪穿甲弹,5,0,0,1.1,1,1,False,1.2,1,0,0,1,0,0,0,0,0,0,False,,1,1,PassHand,0,0,Never,0,0,1,True,True
25,37060600001,6,6级狙击枪穿甲弹（通用）,6,0,0,1,1,1,False,1.6,1,0.2,0,1,0,0,0,0,0,0,False,,1,1,PassHand,0,0,Never,0,0,1,True,True
26,37060600002,6,6级狙击枪穿甲弹（稀有）,6,0,0,1.1,1,1,False,1.6,1,0.2,0,1,0,0,0,0,0,0,False,,1,1,PassHand,0,0,Never,0,0,1,True,True
27,37030000001,3,霰弹枪鹿弹,0,0,0,0.8,0.2,1,False,1,1,0.2,0,8,0,0,0,0,0,0,False,,1,1,PassHand,0,0,Never,0,0,1,True,True
28,37030100001,3,1级霰弹枪鹿弹,1,0,0,1,0.5,1,False,0.5,1,0.1,0,8,0,0,0,0,0,0,False,,1,1,PassHand,0,0,Never,0,0,1,True,True
29,37030200002,3,2级霰弹枪鹿弹,2,0,0,1,0.7,1,False,0.6,1,0,0,8,0,0,0,0,0,0,False,,1,1,PassHand,0,0,Never,0,0,1,True,True
30,37030300002,3,3级穿甲鹿弹,3,0,0,1,1,1,False,0.7,1,0.4,0,8,0,0,0,0,0,0,False,,1,1,PassHand,0,0,Never,0,0,1,True,True
31,37070000001,7,手枪达姆弹,0,0,0,1.4,0.2,1,False,0.9,0.7,0.4,0,1,0,0,0,0,0,0,False,,1,1,PassHand_IncludeHand,0,0.6,Never,0,0,1,True,True
32,37070000002,7,手枪肉弹,0,0,0,1.1,0.4,1,False,1,1,0.2,0,1,0,0,0,0,0,0,False,,1,1,PassHand,0,0,Never,0,0,1,True,True
33,37070100001,7,1级手枪穿甲弹,1,0,0,1,0.9,1,False,0.8,1,0.2,0,1,0,0,0,0,0,0,False,,1,1,PassHand,0,0,Never,0,0,1,True,True
34,37070200001,7,2级手枪穿甲弹,2,0,0,1,1,1,False,0.9,1,0.1,0,1,0,0,0,0,0,0,False,,1,1,PassHand,0,0,Never,0,0,1,True,True
35,37070300001,7,3级手枪穿甲弹,3,0,0,1,1.2,1,False,1,1,0,0,1,0,0,0,0,0,0,False,,1,1,PassHand,0,0,Never,0,0,1,True,True
36,37070400001,7,4级手枪穿甲弹,4,0,0,1,1.3,1,False,1.1,1,0,0,1,0,0,0,0,0,0,False,,1,1,PassHand,0,0,Never,0,0,1,True,True
37,37100100001,10,5.56x45mm1级弹,1,11,9015,1.1,1,1,False,0.8,0.91,0.25,0,1,0,0,0,0,0,0,True,,1,1,PassHand,0,0,Never,0,0,1,True,True
38,37100200001,10,5.56x45mm2级弹,2,12,0,1.1,1,1,False,0.9,0.91,0.2,0,1,0,0,0,0,0,0,True,,1,1,PassHand,0,0,Never,0,0,1,True,True
39,37100300001,10,5.56x45mm3级弹,3,13,0,1,1,1,False,1,1,0.15,0,1,0,0,0,0,0,0,True,,1,1,PassHand,0,0,Never,0,0,1,True,True
40,37100400001,10,5.56x45mm4级弹,4,14,0,1,1,1,False,1.1,1,0.1,0,1,0,0,0,0,0,0,True,,1,1,PassHand,0,0,Never,0,0,1,True,True
41,37100500001,10,5.56x45mm5级弹,5,15,0,1,1,1,False,1.2,1,0.1,0,1,0,0,0,0,0,0,True,,1,1,PassHand,0,0,Never,1,0,1,True,True
42,37110100001,11,7.62x39mm1级弹,1,11,0,1.1,1,1,False,0.8,0.91,0.25,0,1,0,0,0,0,0,0,True,,1,1,PassHand,0,0,Never,0,0,1,True,True
43,37110200001,11,7.62x39mm2级弹,2,12,0,1.1,1,1,False,0.9,0.91,0.2,0,1,0,0,0,0,0,0,True,,1,1,PassHand,0,0,Never,0,0,1,True,True
44,37110300001,11,7.62x39mm3级弹,3,13,0,1,1,1,False,1,1,0.15,0,1,0,0,0,0,0,0,True,,1,1,PassHand,0,0,Never,0,0,1,True,True
45,37110400001,11,7.62x39mm4级弹,4,14,0,1,1,1,False,1.1,1,0.1,0,1,0,0,0,0,0,0,True,,1,1,PassHand,0,0,Never,0,0,1,True,True
46,37110500001,11,7.62x39mm5级弹,5,15,0,1,1,1,False,1.2,1,0.1,0,1,0,0,0,0,0,0,True,,1,1,PassHand,0,0,Never,0,0,1,True,True
47,37120100001,12,5.45x39mm1级弹,1,11,0,1.1,1,1,False,0.8,0.91,0.25,0,1,0,0,0,0,0,0,True,,1,1,PassHand,0,0,Never,0,0,1,True,True
48,37120200001,12,5.45x39mm2级弹,2,12,0,1.1,1,1,False,0.9,0.91,0.2,0,1,0,0,0,0,0,0,True,,1,1,PassHand,0,0,Never,0,0,1,True,True
49,37120300001,12,5.45x39mm3级弹,3,13,0,1,1,1,False,1,1,0.15,0,1,0,0,0,0,0,0,True,,1,1,PassHand,0,0,Never,0,0,1,True,True
50,37120400001,12,5.45x39mm4级弹,4,14,0,1,1,1,False,1.1,1,0.1,0,1,0,0,0,0,0,0,True,,1,1,PassHand,0,0,Never,0,0,1,True,True
51,37120500001,12,5.45x39mm5级弹,5,15,0,1,1,1,False,1.2,1,0.1,0,1,0,0,0,0,0,0,True,,1,1,PassHand,0,0,Never,0,0,1,True,True
NewRow,37130200001,13,5.8x42mm2级弹,2,12,0,1.1,1,1,False,0.9,0.91,0.2,0,1,0,0,0,0,0,0,True,,1,1,PassHand,0,0,Never,0,0,1,True,True
52,37130300001,13,5.8x42mm3级弹,3,13,0,1,1,1,False,1,1,0.15,0,1,0,0,0,0,0,0,True,,1,1,PassHand,0,0,Never,0,0,1,True,True
53,37130400001,13,5.8x42mm4级弹,4,14,0,1,1,1,False,1.1,1,0.1,0,1,0,0,0,0,0,0,True,,1,1,PassHand,0,0,Never,0,0,1,True,True
54,37130500001,13,5.8x42mm5级弹,5,15,0,1,1,1,False,1.2,1,0.1,0,1,0,0,0,0,0,0,True,,1,1,PassHand,0,0,Never,0,0,1,True,True
55,37140300001,14,9x39mm3级弹,3,33,0,1,1,1,False,1,1,0.15,0,1,0,0,0,0,0,0,True,,1,1,PassHand,0,0,Never,0,0,1,True,True
142,37140300002,1,9x39mm3级易伤弹,3,33,0,0.85,1,1,False,1,1,0.15,0,1,0,0,0,0,0,0,True,,1,1,PassHand,0,0,Never,0,0,1,True,True
56,37140400001,14,9x39mm4级弹,4,34,0,1,1,1,False,1.1,1,0.15,0,1,0,0,0,0,0,0,True,,1,1,PassHand,0,0,Never,0,0,1,True,True
141,37140400002,1,9x39mm4级易伤弹,4,34,0,0.85,1,1,False,1.1,1,0.15,0,1,0,0,0,0,0,0,True,,1,1,PassHand,0,0,Never,0,0,1,True,True
57,37140500001,14,9x39mm5级弹,5,35,0,1,1,1,False,1.2,1,0.1,0,1,0,0,0,0,0,0,True,,1,1,PassHand,0,0,Never,0,0,1,True,True
58,37150400001,15,6.8x51mm4级弹,4,14,0,1,1,1,False,1.1,1,0.1,0,1,0,0,0,0,0,0,True,,1,1,PassHand,0,0,Never,0,0,1,True,True
59,37150500001,15,6.8x51mm5级弹,5,15,0,1,1,1,False,1.2,1,0.1,0,1,0,0,0,0,0,0,True,,1,1,PassHand,0,0,Never,0,0,1,True,True
60,37150600001,15,6.8x51mm6级弹,6,16,0,1,1,1,False,1.6,1,0.1,0,1,0,0,0,0,0,0,True,,1,1,PassHand,0,0,Never,0,0,1,True,True
62,37160300001,16,12.7x55mm3级弹,3,73,0,1,1,1,False,1,1,0.15,0,1,0,0,0,0,0,0,True,,1,1,PassHand,0,0,Never,0,0,1,True,True
63,37160400001,16,12.7x55mm4级弹,4,74,0,1,1,1,False,1.1,1,0.1,0,1,0,0,0,0,0,0,True,,1,1,PassHand,0,0,Never,0,0,1,True,True
NewRow_0,37160500001,16,12.7x55mm5级弹,5,75,0,1,1,1,False,1.2,1,0.1,0,1,0,0,0,0,0,0,True,,1,1,PassHand,0,0,Never,0,0,1,True,True
63_0,37160400002,16,12.7x55mm4级双头弹,4,76,0,0.661,0.1,1,False,1.1,1,0.3,0,2,0,18058,0,0,0,0,True,,1,1,PassHand,0,0,Never,0,0,1,True,True
64_0,37170200001,17,7.62x51mm2级弹,2,62,0,1.1,1,1,False,0.9,0.91,0.2,0,1,0,0,0,0,0,0,True,,1,1,PassHand,0,0,Never,0,0,1,True,True
64,37170300001,17,7.62x51mm3级弹,3,63,0,1,1,1,False,1,1,0.15,0,1,0,0,0,0,0,0,True,,1,1,PassHand,0,0,Never,0,0,1,True,True
65,37170400001,17,7.62x51mm4级弹,4,64,0,1,1,1,False,1.1,1,0.1,0,1,0,0,0,0,0,0,True,,1,1,PassHand,0,0,Never,0,0,1,True,True
66,37170500001,17,7.62x51mm5级弹,5,65,0,1,1,1,False,1.2,1,0.1,0,1,0,0,0,0,0,0,True,,1,1,PassHand,0,0,Never,0,0,1,True,True
67,37170600001,17,7.62x51mm6级弹,6,66,0,1,1,1,False,1.6,1,0.1,0,1,0,0,0,0,0,0,True,,1,1,PassHand,0,0,Never,0,0,1,True,True
68,37180300001,18,7.62x54R3级弹,3,53,0,1,1,1,False,1,1,0.15,0,1,0,0,0,0,0,0,True,,1,1,PassHand,0,0,Never,0,0,1,True,True
69,37180400001,18,7.62x54R4级弹,4,54,0,1,1,1,False,1.1,1,0.1,0,1,0,0,0,0,0,0,True,,1,1,PassHand,0,0,Never,0,0,1,True,True
70,37180500001,18,7.62x54R5级弹,5,55,0,1,1,1,False,1.2,1,0.1,0,1,0,0,0,0,0,0,True,,1,1,PassHand,0,0,Never,0,0,1,True,True
71,37180600001,18,7.62x54R6级弹,6,56,0,1,1,1,False,1.6,1,0.1,0,1,0,0,0,0,0,0,True,,1,1,PassHand,0,0,Never,0,0,1,True,True
73,37190000001,19,.45 ACP0级弹,0,10,0,1.35,1,1,False,1,0.74,0.3,0,1,0,0,0,0,0,0,True,,1,1,PassHand_IncludeHand,0,0.6,Never,0,0,1,True,True
74,37190100001,19,.45 ACP1级弹,1,11,0,1.1,1,1,False,0.8,0.91,0.25,0,1,0,0,0,0,0,0,True,,1,1,PassHand,0,0,Never,0,0,1,True,True
75,37190200001,19,.45 ACP2级弹,2,12,0,1.1,1,1,False,0.9,0.91,0.2,0,1,0,0,0,0,0,0,True,,1,1,PassHand,0,0,Never,0,0,1,True,True
76,37190300001,19,.45 ACP3级弹,3,13,0,1,1,1,False,1,1,0.15,0,1,0,0,0,0,0,0,True,,1,1,PassHand,0,0,Never,0,0,1,True,True
77,37190400001,19,.45 ACP4级弹,4,14,0,1,1,1,False,1.1,1,0.15,0,1,0,0,0,0,0,0,True,,1,1,PassHand,0,0,Never,0,0,1,True,True
45五级弹,37190500001,19,.45 ACP5级弹,5,90,0,0.85,1,1,False,1.2,1,0.15,0,1,0,0,0,0,0,0,True,,1,1,PassHand,0,0,Never,0,0,1,True,True
78,37200000001,20,9x19mm0级弹,0,40,0,1.4,1,1,False,1,0.71,0.3,0,1,0,0,0,0,0,0,True,,1,1,PassHand_IncludeHand,0,0.6,Never,0,0,1,True,True
79,37200100001,20,9x19mm1级弹,1,41,0,1.1,1,1,False,0.8,0.91,0.25,0,1,0,0,0,0,0,0,True,,1,1,PassHand,0,0,Never,0,0,1,True,True
80,37200200001,20,9x19mm2级弹,2,42,0,1.1,1,1,False,0.9,0.91,0.2,0,1,0,0,0,0,0,0,True,,1,1,PassHand,0,0,Never,0,0,1,True,True
81,37200300001,20,9x19mm3级弹,3,43,0,1,1,1,False,1,1,0.15,0,1,0,0,0,0,0,0,True,,1,1,PassHand,0,0,Never,0,0,1,True,True
82,37200400001,20,9x19mm4级弹,4,44,0,1,1,1,False,1.1,1,0.15,0,1,0,0,0,0,0,0,True,,1,1,PassHand,0,0,Never,0,0,1,True,True
NewRow_2,37200500001,20,9x19mm5级弹,5,45,0,1,1,1,False,1.2,1,0.15,0,1,0,0,0,0,0,0,True,,1,1,PassHand,0,0,Never,0,0,1,True,True
83,37210000001,21,5.7x28mm0级弹,0,10,0,1.4,1,1,False,1,0.71,0.3,0,1,0,0,0,0,0,0,True,,1,1,PassHand_IncludeHand,0,0.6,Never,0,0,1,True,True
84,37210100001,21,5.7x28mm1级弹,1,11,0,1.2,1,1,False,0.8,0.833,0.25,0,1,0,0,0,0,0,0,True,,1,1,PassHand,0,0,Never,0,0,1,True,True
85,37210200001,21,5.7x28mm2级弹,2,12,0,1.2,1,1,False,0.9,0.833,0.2,0,1,0,0,0,0,0,0,True,,1,1,PassHand,0,0,Never,0,0,1,True,True
86,37210300001,21,5.7x28mm3级弹,3,13,0,1,1,1,False,1,1,0.15,0,1,0,0,0,0,0,0,True,,1,1,PassHand,0,0,Never,0,0,1,True,True
87,37210400001,21,5.7x28mm4级弹,4,14,0,1,1,1,False,1.1,1,0.15,0,1,0,0,0,0,0,0,True,,1,1,PassHand,0,0,Never,0,0,1,True,True
88,37210500001,21,5.7x28mm5级弹,5,15,0,1,1,1,False,1.2,1,0.1,0,1,0,0,0,0,0,0,True,,1,1,PassHand,0,0,Never,0,0,1,True,True
92_0,37220000001,22,.357 Magnum 0级霰弹,0,20,0,0.4,0.41,1,False,1.1,1,0.3,0,8,18060,18059,0,0,3002,0,True,,1,1,PassHand_IncludeHand,0,0.6,Never,0,0,1,True,True
90,37220200001,22,.357 Magnum2级弹,2,12,0,1.1,1,1,False,0.9,0.91,0.25,0,1,0,0,0,0,0,0,True,,1,1,PassHand,0,0,Never,0,0,1,True,True
91,37220300001,22,.357 Magnum3级弹,3,13,0,1,1,1,False,1,1,0.2,0,1,0,0,0,0,0,0,True,,1,1,PassHand,0,0,Never,0,0,1,True,True
92,37220400001,22,.357 Magnum4级弹,4,14,0,1,1,1,False,1.1,1,0.15,0,1,0,0,0,0,0,0,True,,1,1,PassHand,0,0,Never,0,0,1,True,True
93,37230200001,23,.502级弹,2,12,0,1.1,1,1,False,0.9,0.91,0.25,0,1,0,0,0,0,0,0,True,,1,1,PassHand,0,0,Never,0,0,1,True,True
94,37230300001,23,.503级弹,3,13,0,1,1,1,False,1,1,0.2,0,1,0,0,0,0,0,0,True,,1,1,PassHand,0,0,Never,0,0,1,True,True
95,37230400001,23,.504级弹,4,14,0,1,1,1,False,1.1,1,0.15,0,1,0,0,0,0,0,0,True,,1,1,PassHand,0,0,Never,0,0,1,True,True
NewRow_1,37240700001,24,.338 Lap Mag7级弹,7,17,0,1,1,1,False,3,3,0.1,0,1,0,0,0,0,0,0,True,,1,1,PassHand,0,0,Never,0,0,1,True,True
99,37250000001,25,12 Gauge0级弹,0,20,0,1.3,1,1,False,1,0.77,0.15,0,8,0,0,0,0,0,0,True,,1,1,PassHand_IncludeHand,0,0.6,Never,0,0,1,True,True
100,37250100001,25,12 Gauge1级弹,1,21,0,1.05,1,1,False,1,0.95,0.15,0,8,0,0,0,0,0,0,True,,1,1,PassHand,0,0,Never,0,0,1,True,True
101,37250300001,25,12 Gauge3级弹,3,23,0,0.85,1,1,False,1,1.17,0.1,0,8,0,0,0,0,3001,0,True,,1,1,PassHand,0,0,Never,0,0,1,True,True
102,37250000002,25,12 Gauge独头0级弹,0,10,0,5.5,3.5,1,False,1,1.24,0.3,0,1,23020,23021,0,0,0,0,True,,1,1,PassHand_IncludeHand,0,0.6,Never,0,0,1,True,True
104,37250200002,25,12 Gauge独头2级弹,2,12,0,4.8,3.5,1,False,0.9,1.42,0.2,0,1,23020,23021,0,0,0,0,True,,1,1,PassHand,0,0,Never,0,0,1,True,True
105,37250300002,25,12 Gauge独头3级弹,3,13,0,4.8,3.5,1,False,1,1.42,0.15,0,1,23020,23021,0,0,0,0,True,,1,1,PassHand,0,0,Never,0,0,1,True,True
106,37250400002,25,12 Gauge独头4级弹,4,14,0,4.8,3.5,1,False,1.1,1.42,0.15,0,1,23020,23021,0,0,0,0,True,,1,1,PassHand,0,0,Never,0,0,1,True,True
106_0,37250400003,25,12 Gauge龙熄4级弹,0,24,140064,1.1,1,1,False,1.1,0.91,0,0,8,0,0,0,0,0,0,True,,1,1,PassHand,0,0,Never,0,0,1,True,True
107_1,37260300001,26,4.6x30mm 3级弹,3,63,0,1,1,1,False,1,1,0.15,0,1,0,0,0,0,0,0,True,,1,1,PassHand,0,0,Never,0,0,1,True,True
107_2,37260400001,26,4.6x30mm 4级弹,4,64,0,1,1,1,False,1.1,1,0.1,0,1,0,0,0,0,0,0,True,,1,1,PassHand,0,0,Never,0,0,1,True,True
107_3,37260500001,26,4.6x30mm 5级弹,5,65,0,1,1,1,False,1,1,0.1,0,1,0,0,0,0,0,0,True,,1,1,PassHand,0,0,Never,0,0,1,True,True
107_4,37280300001,27,.300 Blackout V-Max 3级弹,3,63,0,1,1,1,False,1,1,0.15,0,1,0,0,0,0,0,0,True,,1,1,PassHand,0,0,Never,0,0,1,True,True
107_5,37280400001,27,.300 Blackout BCP FMJ 4级弹,4,64,0,1,1,1,False,1.1,1,0.1,0,1,0,0,0,0,0,0,True,,1,1,PassHand,0,0,Never,0,0,1,True,True
107_6,37280500001,27,.300 Blackout TAC-TX  5级弹,5,65,0,1,1,1,False,1,1,0.1,0,1,0,0,0,0,0,0,True,,1,1,PassHand,0,0,Never,0,0,1,True,True
68_0,37270300001,28,三级穿甲箭矢,3,83,0,1,1,1,False,1,1,0.15,0,1,0,0,0,0,0,0,True,,1,1,PassHand_IncludeHand,0,0.55,Never,0,0,1,True,True
69_0,37270400001,28,四级穿甲箭矢,4,84,0,1,1,1,False,1.1,1,0.1,0,1,0,0,0,0,0,0,True,,1,1,PassHand_IncludeHand,0,0.55,Never,0,0,1,True,True
70_0,37270500001,28,五级穿甲箭矢,5,85,0,1,1,1,False,1.2,1,0.1,0,1,0,0,0,0,0,0,True,,1,1,PassHand_IncludeHand,0,0.55,Never,0,0,1,True,True
五级散发箭矢,37270500002,28,五级散发箭矢,5,85,0,0.3,0.32,1,False,1.2,1,0.1,0,3,115016,115017,0,115011,0,2,True,,1,1,PassHand_IncludeHand,0,0.55,Never,0,0,1,True,True
杠杠步枪三级穿甲弹,37290300001,29,45-70 RN 3级弹,0,86,0,1.5,1,1,False,1,0.71,0.3,0,1,0,0,0,0,0,0,True,,1,1,PassHand_IncludeHand,0,0.6,Never,0,0,1,True,True
杠杆步枪四级穿甲弹,37290400001,29,45-70 FMJ 4级弹,4,87,0,1,1,1,False,1.1,1,0.1,0,1,0,0,0,0,0,0,True,,1,1,PassHand,0,0,Never,0,0,1,True,True
杠杆步枪五级穿甲弹,37290500001,29,45-70 FTX 5级弹,5,88,0,1,1,1,False,1,1,0.1,0,1,0,0,0,0,0,0,True,,1,1,PassHand,0,0,Never,0,0,1,True,True
545超压弹,37120500002,231,5.45x39mm超压弹,5,92,3700001,1,1,1,False,1.2,1,0.1,0,1,0,0,0,0,0,0,True,,1.2,1.2,PassHand,0,0,Never,0,0,1,True,True
58打腿肉弹,37130000001,231,5.8x42mm打腿肉弹,0,93,3700002,1.5,1,1,False,1.2,1,0.1,0,1,0,0,0,0,0,0,True,,1,1,PassHand,0,0,Never,0,0,1,True,True
46六级弹,37260600001,231,4.6x30mm 6级弹,6,89,0,1,1,1,False,1.6,1,0.1,0,1,0,0,0,0,0,0,True,,1,1,PassHand,0,0,Never,0,0,1,True,True
50五级弹,37230500001,23,.50 5级弹,5,91,0,1,1,1,False,1.1,1,0.15,0,1,0,0,0,0,0,0,True,,1,1,PassHand,0,0,Never,0,0,1,True,True
126,37250500002,231,12 Gauge独头5级弹,5,15,0,4.8,3.5,1,False,1.1,1.42,0.15,0,1,23020,23021,0,0,0,0,True,,1,1,PassHand,0,0,Never,0,0,1,True,True
127,37120400002,12,5.45x39mm 4级超压弹,4,94,3700001,1.1,1,1,False,1.2,1,0.1,0,1,0,0,0,0,0,0,True,,1.5,1.5,PassHand,0,0,Never,0,0,1,True,True
128,37250400004,25,12 Gauge独头4级弹【SHE4限定】,4,95,0,5.3,3.5,1,False,1.1,1.42,0.15,0,1,23020,23022,0,0,0,0,True,,1,1,PassHand,0,0,Never,0,0,1,True,True
129,37280300002,27,.300 Blackout 三级亚音速弹,3,13,0,1.05,1,1,False,1,1,0.15,0,1,0,0,0,0,0,0,True,,1,1,PassHand,0,0,Never,0,1,0.5,False,True
130,37280400002,27,.300 Blackout 四级亚音速弹,4,14,0,1.05,1,1,False,1,1,0.15,0,1,0,0,0,0,0,0,True,,1,1,PassHand,0,0,Never,0,1,0.5,False,True
131,37110500002,11,76239五级亚音速弹,5,15,0,1.05,0.95,1,False,1,1,0.15,0,1,0,0,0,0,0,0,True,,1,1,PassHand,0,0,Never,0,1,0.5,False,True
132,37110400002,11,76239四级亚音速弹,4,14,0,1.05,1,1,False,1.1,1,0.1,0,1,0,0,0,0,0,0,True,,1,1,PassHand,0,0,Never,0,1,0.5,False,True
133,37300500001,231,.50 BMG FMJ 5级弹【测试用】,5,99,0,1,1,1,False,1,1,0,0,1,0,0,0,0,0,0,True,,1,1,PassHand,0,0,Never,0,0,1,True,True
134,37300600001,30,.50 BMG FMJ 6级重伤弹,6,104,90010005,0.7,5,1,False,3,3,0.1,0,1,0,0,0,0,0,0,True,,1,1,PassHand,0,0,Never,0,0,1,True,True
135,37300600002,30,.50 BMG FMJ 6级减速弹,6,105,3700001,0.7,5,1,False,3,3,0.1,0,1,0,0,0,0,0,0,True,,3,1.5,PassHand,0,0,Never,0,0,1,True,True
136,37300700001,30,.50 BMG FMJ 7级穿甲弹,7,103,0,1,1,1,False,3,3,0.1,0,1,0,0,0,0,0,0,True,,1,1,PassHand,0,0,Never,0,0,1,True,True
137,37120400003,12,5.45x39 4级空尖弹（爆头）,4,144,0,1,1,1,True,1.1,1,0.1,0,1,0,0,0,0,0,0,True,,2,1.2,PassHand,0,0,Never,0,0,1,True,True
138,37120500003,12,5.45x39 5级空尖弹（爆头）,5,155,0,1,1,1,True,1.2,1,0.1,0,1,0,0,0,0,0,0,True,,2,1.2,PassHand,0,0,Never,0,0,1,True,True
139,37100300002,10,5.56x45 3级超压弹（洗甲）,3,113,0,1,1.15,1,False,1.1,1,0.1,0,1,0,0,0,0,0,0,True,,1,1,PassHand,0,0,Never,0,0,1,True,True
140,37100400002,10,5.56x45 4级超压弹（洗甲）,4,114,0,1.1,1.15,1,False,1.2,1,0.1,0,1,0,0,0,0,0,0,True,,1,1,PassHand,0,0,Never,1,0,1,True,True
