RowName,FashionList,bUseDefaultWeapons,bUseDefaultItems,DefaultItems,DefaultSkins,ArchiveItemID,RowDescription
Raid1_HS_Sniper_01,18000000009,True,True,11080004005; 11050005005; 10060000009,,None,None
Raid1_HS_Assaulter_01_Overkill,18000000008,True,True,10010000087; 11050006004; 11010004005,,None,None
Raid1_HS_Charger_01_Overkill,18000000008,True,True,11050002006; 11070004003; 11010005004; 10030000001,,None,None
Raid1_HS_Firebat_Overkill,1000135,True,False,,,None,None
Raid1_HS_Shield_01_Overkill,18000000008,True,True,10010000002; 11050006004; 11010006004,,None,None
Raid1_DT_Assaulter_01_SlowShoot,18000000006; 18000000010,True,False,,,None,None
SOL_DT_Psycho,1000144; 1000145; 1000165; 1000166; 1000167,False,True,,,None,None
SOL_DT_Assaulter,1000140,False,True,,,None,None
SOL_DT_Charger,1000147,False,True,,,None,None
SOL_DT_Sniper,1000146,False,True,,,None,None
SOL_HS_Assaulter,1000138,False,True,,,None,None
SOL_HS_Charger,1000137,False,True,,,None,None
SOL_HS_Sniper,1000150,False,True,,,None,None
SOL_HS_Paratrooper,1000186,False,True,,,None,None
SOL_DT_Shielder,18000000006,True,True,10070000002; 11050004004; 11010002006,,None,None
SOL_Boss_Reis,16,True,True,10030000010,,None,None
SOL_Boss_Reis_Accessin,1000152,False,True,11010004001; 11050004001,,None,None
SOL_Boss_Reis_Guard,1000152,True,True,10070000002; 11050004004; 11010002006,,None,None
safehouse_npc_01,88000000012,False,False,,,None,None
safehouse_npc_02,88000000013,False,False,,,None,None
safehouse_npc_03,88000000021,False,False,,,None,None
safehouse_npc_04,88000000016,False,True,,,None,None
safehouse_npc_05,88000000020,False,False,,,None,None
safehouse_npc_06,88000000019,False,False,,,None,None
safehouse_npc_07,88000000018,False,True,,,None,None
safehouse_npc_08,88000000017,False,False,,,None,None
safehouse_npc_09,1000127,False,False,,,None,None
safehouse_npc_10,18000000016,False,False,,,None,None
safehouse_npc_11,1000129,False,False,,,None,None
safehouse_npc_12,1000125,False,False,,,None,None
safehouse_npc_13,1000110,False,False,,,None,None
safehouse_npc_14,1000109,False,False,,,None,None
safehouse_npc_15,88000000009,False,False,,,None,None
safehouse_npc_16,88000000010,False,False,,,None,None
safehouse_npc_17,88000000011,False,False,,,None,None
safehouse_npc_18,88000000022,False,False,,,None,None
safehouse_npc_19,88000000023,False,False,,,None,None
safehouse_npc_20,18000000015,False,False,,,None,None
safehouse_npc_21,88000000001,False,True,11070005001; 11070006002,,None,None
safehouse_npc_22,18000000008,False,True,11070005003,,None,None
safehouse_npc_23,88000000013,False,True,,,None,None
Raid_DT_Charger_easy,1000145,True,True,10030000001; 11010005006; 11050005006; 11070004002; 11080005006,,None,None
Raid_DT_Charger_normal,1000145,True,True,10030000001; 11010005006; 11050005006; 11070004002; 11080005006,,None,None
Raid_DT_Charger_hard,1000147,True,True,10030000001; 11010005006; 11050005006; 11070004002; 11080005006,,None,None
Raid_DT_Assaulter_easy,1000140,True,True,10020000001,,None,None
Raid_DT_Assaulter_normal,1000140,True,True,10020000001,,None,None
Raid_DT_Assaulter_hard,1000140,True,True,10020000001,,None,None
Raid_DT_Sniper_easy,1000146,True,True,10060000009; 11050005006; 11070005006; 11080004002,,None,None
Raid_DT_Sniper_normal,1000146,True,True,10020000001; 11050005006; 11070005006; 11080004002,,None,None
Raid_DT_Sniper_hard,1000146,True,True,10020000001; 11050005006; 11070005006; 11080004002,,None,None
Raid_DT_Shield_easy,1000144,True,True,10070000002; 11050004004; 11010002006,,None,None
Raid_DT_Shield_normal,1000144,True,True,10070000002; 11050004004; 11010002006,,None,None
Raid_DT_Shield_hard,1000147,True,True,10070000002; 11050004004; 11010002006,,None,None
Raid_DT_Firebat_all,1000152,True,False,,,None,None
Raid_HS_Charger_easy,1000142,True,True,11050002006; 11070004003; 11010005004; 10030000001,,None,None
Raid_HS_Charger_normal,1000142,True,True,11050002006; 11070004003; 11010005004; 10030000001,,None,None
Raid_HS_Charger_hard,1000137,True,True,11050002006; 11070004003; 11010005004; 10030000001,,None,None
Raid_HS_Assaulter_easy,1000149,True,True,10010000087; 11050006004; 11010004005,,None,None
Raid_HS_Assaulter_normal,1000149,True,True,10010000087; 11050006004; 11010004005,,None,None
Raid_HS_Assaulter_hard,1000138,True,True,10010000087; 11050006004; 11010004005,,None,None
Raid_HS_Sniper_easy,1000134,True,True,11080004005; 11050005005; 10060000009,,None,None
Raid_HS_Sniper_normal,1000134,True,True,11080004005; 11050005005; 10060000009,,None,None
Raid_HS_Sniper_hard,1000134,True,True,11080004005; 11050005005; 10060000009,,None,None
Raid_HS_Shield_easy,1000134,True,True,10010000002; 11050006004; 11010006004,,None,None
Raid_HS_Shield_normal,1000134,True,True,10010000002; 11050006004; 11010006004,,None,None
Raid_HS_Shield_hard,1000134,True,True,10010000002; 11050006004; 11010006004,,None,None
Raid_HS_Firebat_all,1000135,True,False,,,None,None
Raid_DT_RPGer,1000156,True,True,10080000258,,None,None
MP_Red_Assaulter,1000140,False,True,10010000012,,None,None
MP_Blue_Assaulter,1000151,False,True,10010000012,,None,None
SOL_Boss_Maurice,1000154,False,True,,,None,None
SOL_DT_FireFlamer_01,1000152,False,True,,,None,None
SOL_HS_FireFlamer_01,1000155,False,True,,,None,None
SOL_DT_Shield_01,1000158,False,True,,,None,None
SOL_HS_Shield_01,1000157,False,True,,,None,None
SOL_DT_RPGer,1000156,True,True,10080000258,,None,None
SOL_DT_VIP,18000000014,False,True,,,None,None
SOL_HS_VIP,1000141; 1000142; 1000148; 1000149,False,True,11010004005; 11010004006; 11050004006; 11050004007,,None,None
Raid_DT_HeavyMachineGun,1000163,True,True,10040000854,,None,None
Raid_DT_MeleeAttack,18000000011,True,True,,,None,None
Raid1_npc_01,1000104,False,False,,,None,None
Raid1_npc_02,1000106,False,False,,,None,None
Raid1_npc_03,1000105,False,False,,,None,None
Raid1_npc_04,1000107,False,False,,,None,None
Raid1_npc_05,1000114,False,False,,,None,None
Raid1_npc_06,1000101,False,False,,,None,None
Raid1_npc_07,1000102,False,False,,,None,None
Raid1_npc_08,1000103,False,False,,,None,None
Raid1_npc_09,1000160,False,False,,,None,None
Raid1_Sergeant_Wilson,1000161,False,False,,,None,None
Raid1_DF_soldier,1000162,False,False,,,None,None
COD_Anim_Test,88000000066,True,True,10010000087,,None,None
SOL_DT_HeavyMachineGun,1000164,True,True,10040000854,,None,None
SOL_HS_HeavyMachineGun,1000163,True,True,10040000854,,None,None
1000152,1000146,False,True,11010004001; 11050004001,,None,None
SOL_Boss_Reis_Guard_Temp,1000152,False,True,11050004001,,None,None
SOL_Boss_Reis_Accessin_Temp,1000145,False,True,11050004001,,None,None
AINewAnimTest,1000176,True,True,10010000430; 11010002002; 11080004002,,None,None
Intro_DT_RPGer,1000156,True,True,10080000258; 11080009001; 11070004002; 11010004003,,None,None
Intro_Boss_Reis_Accessin,1000152,True,True,10020000521; 11010004001; 11050004001,,None,None
Intro_DT_Shield_01,1000158,True,True,10070000002; 11050004004; 11010002006,,None,None
SOL_DT_Basic_SMG_10,1000172,False,False,11050001001; 11010001001; 11080001003; 11070001003,,15110010005,None
SOL_DT_Basic_AR_10,1000172,False,False,11050002001; 11010001001; 11070002006,,15110010005,None
SOL_DT_Basic_Shotgun_10,1000172,False,False,11050001001; 11010002001; 11080001003; 11070001003,,15110010005,None
SOL_DT_Elite_SMG_10,1000174,False,False,11050002001; 11010002001; 11070001003,,15110010005,None
SOL_DT_Elite_AR_10,1000174,False,False,11050003001; 11010002001; 11080002006; 11070002006,,15110010005,None
SOL_DT_Elite_Shotgun_10,1000174,False,False,11050002001; 11010002001; 11070002006,,15110010005,None
SOL_DT_Shielder_01_10,1000158,False,True,,,15110010005,None
SOL_DT_Sniper_01_10,1000146,False,True,,,15110010005,None
SOL_DT_RPG_01_10,1000156,True,True,10080000258,,15110010005,None
SOL_DT_HeavyMachineGun_01_10,1000164,True,True,10040000854,,15110010005,None
SOL_DT_VIP_01_10,18000000014,False,False,11050003001; 11010003001; 11080003003; 11070002006,,15110010005,None
SOL_HS_Basic_SMG_10,1000176,False,False,11050001002; 11010001002; 11070002006,,15110010004,None
SOL_HS_Basic_AR_10,1000176,False,False,11050002002; 11010002002; 11070001003,,15110010004,None
SOL_HS_Basic_Shotgun_10,1000176,False,False,11050002002; 11010002002; 11080002006; 11070001003,,15110010004,None
SOL_HS_Elite_SMG_10,1000176,False,False,11050002002; 11010002002; 11080002006; 11070002006,,15110010004,None
SOL_HS_Elite_AR_10,1000176,False,False,11050003002; 11010002002; 11080002006; 11070001003,,15110010004,None
SOL_HS_Elite_Shotgun_10,1000176,False,False,11050002002; 11010003002; 11080001003; 11070002006,,15110010004,None
SOL_HS_Shielder_01_10,1000157,False,True,,,15110010004,None
SOL_HS_Sniper_01_10,1000150,False,True,,,15110010004,None
SOL_HS_HeavyMachineGun_01_10,1000163,True,True,10040000854,,15110010004,None
SOL_HS_Paratrooper_SMG_10,1000186,False,False,11050003002; 11010003002; 11080003003; 11070002006,,15110010004,None
SOL_HS_Paratrooper_AR_10,1000186,False,False,11050003002; 11010003002; 11080002006; 11070003003,,15110010004,None
SOL_HS_VIP_01_10,1000176,False,False,11050003002; 11010003002; 11080003003; 11070002006,,15110010004,None
SOL_Boss_Reis_10,16,False,True,11080003003; 11070003003,,15110010005,None
SOL_Boss_Assault_10,1000174,False,False,11050003001; 11010003001; 11080002006; 11070003003,,15110010005,None
SOL_BOSS_Guard_10,1000159,False,False,11080003003; 11070003003,,15110010005,None
SOL_Boss_Maurice_10,1000154,False,True,,,15110010005,None
SOL_DT_Basic_SMG_20,1000172,False,False,11050002001; 11010001001; 11080001003; 11070001003,,15110010005,None
SOL_DT_Basic_AR_20,1000172,False,False,11050002001; 11010002001; 11070002006,,15110010005,None
SOL_DT_Basic_Shotgun_20,1000172,False,False,11050003001; 11010002001; 11080001003; 11070001003,,15110010005,None
SOL_DT_Elite_SMG_20,1000174,False,False,11050003001; 11010003001; 11070001003,,15110010005,None
SOL_DT_Elite_AR_20,1000174,False,False,11050003001; 11010003001; 11080002006; 11070002006,,15110010005,None
SOL_DT_Elite_Shotgun_20,1000174,False,False,11050003001; 11010003001; 11070002006,,15110010005,None
SOL_DT_Shielder_01_20,1000158,False,True,,,15110010005,None
SOL_DT_Sniper_01_20,1000146,False,True,,,15110010005,None
SOL_DT_RPG_01_20,1000156,True,True,10080000258,,15110010005,None
SOL_DT_HeavyMachineGun_01_20,1000164,True,True,10040000854,,15110010005,None
SOL_DT_VIP_01_20,18000000014,False,False,11050004001; 11010003001; 11080003003; 11070002006,,15110010005,None
SOL_HS_Basic_SMG_20,1000176,False,False,11050003002; 11010002002; 11070002006,,15110010004,None
SOL_HS_Basic_AR_20,1000176,False,False,11050002002; 11010003002; 11070001003,,15110010004,None
SOL_HS_Basic_Shotgun_20,1000176,False,False,11050003002; 11010003002; 11080002006; 11070001003,,15110010004,None
SOL_HS_Elite_SMG_20,1000176,False,False,11050004002; 11010003002; 11080002006; 11070002006,,15110010004,None
SOL_HS_Elite_AR_20,1000176,False,False,11050003002; 11010004002; 11080002006; 11070001003,,15110010004,None
SOL_HS_Elite_Shotgun_20,1000176,False,False,11050004002; 11010003002; 11080001003; 11070002006,,15110010004,None
SOL_HS_Shielder_01_20,1000157,False,True,,,15110010004,None
SOL_HS_Sniper_01_20,1000150,False,True,,,15110010004,None
SOL_HS_HeavyMachineGun_01_20,1000163,True,True,10040000854,,15110010004,None
SOL_HS_Paratrooper_SMG_20,1000186,False,False,11050004002; 11010003002; 11080003003; 11070002006,,15110010004,None
SOL_HS_Paratrooper_AR_20,1000186,False,False,11050003002; 11010004002; 11080002006; 11070003003,,15110010004,None
SOL_HS_VIP_01_20,1000176,False,False,11050003002; 11010004002; 11080003003; 11070002006,,15110010004,None
SOL_Boss_Reis_20,16,False,True,11080003003; 11070003003,,15110010005,None
SOL_Boss_Assault_20,1000174,False,False,11050004001; 11010004001; 11080002006; 11070003003,,15110010005,None
SOL_BOSS_Guard_20,1000159,False,False,11080003003; 11070003003,,15110010005,None
SOL_Boss_Maurice_20,1000154,False,True,,,15110010005,None
SOL_DT_Basic_SMG_30,1000172,False,False,11050003001; 11010002001; 11070002006,,15110010005,None
SOL_DT_Basic_AR_30,1000172,False,False,11050004001; 11010003001; 11070001003,,15110010005,None
SOL_DT_Basic_Shotgun_30,1000172,False,False,11050003001; 11010004001; 11080002006; 11070002006,,15110010005,None
SOL_DT_Elite_SMG_30,1000174,False,False,11050003001; 11010004001; 11080002006; 11070001003,,15110010005,None
SOL_DT_Elite_AR_30,1000174,False,False,11050004001; 11010003001; 11080003003; 11070002006,,15110010005,None
SOL_DT_Elite_Shotgun_30,1000174,False,False,11050004001; 11010004001; 11080002006; 11070002006,,15110010005,None
SOL_DT_Shielder_01_30,1000158,False,True,,,15110010005,None
SOL_DT_Sniper_01_30,1000146,False,True,,,15110010005,None
SOL_DT_RPG_01_30,1000156,True,True,10080000258,,15110010005,None
SOL_DT_HeavyMachineGun_01_30,1000164,True,True,10040000854,,15110010005,None
SOL_DT_VIP_01_30,18000000014,False,False,11050005001; 11010004001; 11080003003; 11070002006,,15110010005,None
SOL_HS_Basic_SMG_30,1000176,False,False,11050004002; 11010003002; 11070005004,,15110010004,None
SOL_HS_Basic_AR_30,1000176,False,False,11050003002; 11010004002; 11070005004,,15110010004,None
SOL_HS_Basic_Shotgun_30,1000176,False,False,11050004002; 11010003002; 11080004003; 11070006005,,15110010004,None
SOL_HS_Elite_SMG_30,1000176,False,False,11050003002; 11010003002; 11080004003; 11070005004,,15110010004,None
SOL_HS_Elite_AR_30,1000176,False,False,11050005002; 11010003002; 11080004006; 11070005004,,15110010004,None
SOL_HS_Elite_Shotgun_30,1000176,False,False,11050004002; 11010004002; 11070004003,,15110010004,None
SOL_HS_Shielder_01_30,1000157,False,True,,,15110010004,None
SOL_HS_Sniper_01_30,1000150,False,True,,,15110010004,None
SOL_HS_HeavyMachineGun_01_30,1000163,True,True,10040000854,,15110010004,None
SOL_HS_Paratrooper_SMG_30,1000186,False,False,11050004002; 11010004002; 11080004003; 11070005004,,15110010004,None
SOL_HS_Paratrooper_AR_30,1000186,False,False,11050004002; 11010004002; 11080004003; 11070004003,,15110010004,None
SOL_HS_VIP_01_30,1000176,False,False,11050005002; 11010004002; 11080004006; 11070005004,,15110010004,None
SOL_DT_Normal_SMG_10,1000172,False,False,10050001001; 10010001001; 10080001003; 10070001003,,15110010005,None
SOL_DT_Normal_AR_10,1000172,False,False,10050002001; 10010001001; 10070002006,,15110010005,None
SOL_DT_Normal_Shotgun_10,1000172,False,False,10050001001; 10010002001; 10080001003; 10070001003,,15110010005,None
SOL_DT_Normal_SMG_20,1000172,False,False,10050002001; 10010001001; 10080001003; 10070001003,,15110010005,None
SOL_DT_Normal_AR_20,1000172,False,False,10050002001; 10010002001; 10070002006,,15110010005,None
SOL_DT_Normal_Shotgun_20,1000172,False,False,10050003001; 10010002001; 10080001003; 10070001003,,15110010005,None
SOL_DT_Normal_SMG_30,1000172,False,False,10050003001; 10010002001; 10070002006,,15110010005,None
SOL_DT_Normal_AR_30,1000172,False,False,10050004001; 10010003001; 10070001003,,15110010005,None
SOL_DT_Normal_Shotgun_30,1000172,False,False,10050003001; 10010004001; 10080002006; 10070002006,,15110010005,None
SOL_HS_Normal_SMG_10,1000176,False,False,10050001002; 10010001002; 10070002006,,15110010004,None
SOL_HS_Normal_AR_10,1000176,False,False,10050002002; 10010002002; 10070001003,,15110010004,None
SOL_HS_Normal_Shotgun_10,1000176,False,False,10050002002; 10010002002; 10080002006; 10070001003,,15110010004,None
SOL_HS_Normal_SMG_20,1000176,False,False,10050003002; 10010002002; 10070002006,,15110010004,None
SOL_HS_Normal_AR_20,1000176,False,False,10050002002; 10010003002; 10070001003,,15110010004,None
SOL_HS_Normal_Shotgun_20,1000176,False,False,10050003002; 10010003002; 10080002006; 10070001003,,15110010004,None
SOL_HS_Normal_SMG_30,1000176,False,False,10050004002; 10010003002; 10070005004,,15110010004,None
SOL_HS_Normal_AR_30,1000176,False,False,10050003002; 10010004002; 10070005004,,15110010004,None
SOL_HS_Normal_Shotgun_30,1000176,False,False,10050004002; 10010003002; 10080004003; 10070006005,,15110010004,None
SOL_Boss_Reis_30,16,False,True,,,15110010005,None
SOL_Boss_Assault_30,1000174,False,False,11050004001; 11010004001; 11080001003; 11070002006,,15110010005,None
SOL_BOSS_Guard_30,1000159,False,False,,,15110010005,None
SOL_Boss_Maurice_30,1000154,False,False,10040000006,,15110010005,None
SOL_Test_Flashlight,1000144,True,True,10020001227,,None,None
BHD_Test_Reb,1000172,True,True,,,None,None
BHD_Test_Civil_Bk,1000104; 1000105; 1000106; 1000107; 1000114; 1000101; 1000102; 1000103; 1000160,False,False,,,None,None
BHD_Test_Civil,18000000014,False,False,,,None,None
SOL_Tutorial_PlayerAi_Camp,88000000027,False,False,,,None,None
SOL_Tutorial_PlayerAi_Exist,88000000030,False,False,,,None,None
SOL_Crocodile,1000177,False,False,,,None,None
SOL_Boss_Anais,17,True,True,10060001486,,15110010005,None
SOL_DT_HeavyMachineGun_Adjutant,1000178,True,True,10040000854,,15110010005,None
SOL_DT_Shield_Adjutant,1000179,False,False,,,None,None
SOL_HS_FireFlamer_Adjutant,1000180,False,False,,,None,None
SOL_HS_HeavyMachineGun_Adjutant,1000181,True,True,10040000854,,None,None
SOL_HS_Shield_Adjutant,1000182,False,False,,,None,None
SOL_DT_AR_Adjutant,1000174,False,False,11050004001; 11010005001,,15110010005,None
SOL_DT_Sniper_Adjutant,1000146,False,False,11050003001; 11010004001,,None,None
SOL_HS_Sniper_Adjutant,1000150,False,False,11050004002; 11010005002,,None,None
Raid_DT_Base_10,1000172; 1000174,False,False,11050001001; 11010001001; 11080001003; 11070001003; ,,15110010005,None
Raid_DT_General_10,1000187; 1000188,False,False,11010001001; 11010002001; 11050001001; 11050002001; 11070001001; 11070002001,,15110010005,None
Raid_DT_General_20,1000188; 1000189,False,False,11010003001; 11010004001; 11050003001; 11050004001; 11070003001; 11070004001,,15110010005,None
Raid_DT_General_30,1000189; 1000190,False,False,11010003001; 11010004001; 11050003001; 11050004001; 11070003001; 11070004001,,15110010005,None
Raid_GTI_Driver,1000183,False,False,,,15110010005,None
SOL_Boss_Romytheus,1000184,True,True,10070001600,"(SkinID=28070640002, FancyColorID=0)",15110010005,None
SOL_Boss_Romytheus_Shielder,1000185,False,False,10060001486,,15110010005,None
SOL_Boss_Romytheus_Assaulter,1000186,False,False,10060001486,,15110010005,None
SOL_Boss_Romytheus_HelicopterGuard,1000186,True,True,11010003002; 11050004002; 10010001604,,15110010005,None
SOL_Boss_Romytheus_HelicopterPilot,1000186,True,True,11010003002; 11050004002,,15110010005,None
SOL_Boss_Raven,1000192,True,True,10070001719,"(SkinID=28070640002, FancyColorID=0)",15110010005,None
SOL_HS_Security,1000186,False,False,10060001486,,15110010004,None
SOL_HS_Security_Shielder,1000185,False,False,10060001486,,15110010004,None
SOL_Boss_05_Henc,1000191,False,False,11050005002; 11010005001; 10010000049,,15110010005,None
SOL_Boss_06_Warder,1000197,True,True,10010001775; 11050005002,,15110010005,None
SOL_DT_Prisoner,1000193,False,False,11070001002,,15110010005,None
SOL_DT_Prisoner_B,1000194,False,False,11050003002,,15110010005,None
SOL_HS_Security_Masked,1000195,False,False,,,15110010005,None
SOL_HS_Shielder_Masked,1000196,False,True,,,15110010005,None
SOL_Boss_Boss07,1000201,True,True,10010003132,,15110010005,None
SOL_Boss07_Guard,1000202,True,True,10010003121; 11080001003,,15110010005,None
SOL_Boss07_Guard_Car15,1000202,True,True,10010003133; 11080001003,,15110010005,None
SOL_Boss07_Guard_ScarH,1000202,True,True,10010003170; 11080001003,,15110010005,None
SOL_Boss_06_Warder_Attendant,1000198,False,False,10010001775; 11010004002; 11050005002; 11080001003; 11070002002,,15110010005,None
SOL_DT_Prisoner_Elite,1000194,False,False,,,15110010005,None
SOL_DT_Elite_AR_C501,1000501,False,False,11050003001; 11010002001; 11080002006; 11070002006,,15110010005,None
SOL_DT_HeavyMachineGun_C501,1000502,True,True,10040000854,,15110010005,None
SOL_DT_Shielder_C501,1000503,False,True,,,15110010005,None
SOL_Shark,1000200,False,False,,,None,None
SOL_DT_FireFlamer_C501,1000504,False,True,,,15110010005,None
C104AI_Dog,1040001,False,False,,,None,None
