RowName,BehaviorScoreName,ScoreName,ScoreNameExt,Category,ScoreBoardCategoryType,ScoreBoardContributionType,TLogCategoryType,bIsVoluntarily,ShowText,ShowTextColor,PlayerNameColor,Score,MedalScore,TournamentScore,Icon,IconColor,Audio,Condition,ScoreBoardType,Notation,IntValue1,IntValue2,IntValue3,FloatValue1,FloatValue2,FloatValue3,ScoreBoardCategoryTypeArray1,AvailableMode,AvailableWeapon,AnimName,WeaponUpgradeMultiplier,AccountUpgradeMultiplier,bCheckAntiBrush,AntiBrushDuration,AntiBrushCount,AntiBrushCD,bIsDifferentCamp,AttackerMultiplier,DefenderMultiplier,AILabType,RowDescription
Combat_Hit,Combat_Hit,EScoreName::EHitPlayerCharacter,None,战斗,EScoreBoardCategoryType::ENone,EScoreBoardContributionType::ENone,EBehaviorScoreTLogCategoryType::EKill,True,,"(R=1, G=1, B=1, A=1)","(R=1, G=1, B=1, A=1)",1,1,1,(),"(R=1, G=1, B=1, A=1)",UI_BF_MP_Score_Normal,玩家对敌人造成伤害每滴血,EScoreBoardType::ENone,仅敌人，载具有“命中载具”,0,0,0,0,0,0,,EDFMGamePlayMode::GamePlayMode_Breakthrough; EDFMGamePlayMode::GamePlayMode_Conquest,,None,1,1,False,0,0,0,False,1,1,3,None
KillEnemyPilot_1,None,EScoreName::EBreakEnemyContinueKill,None,战斗,EScoreBoardCategoryType::ENone,EScoreBoardContributionType::ENone,EBehaviorScoreTLogCategoryType::EKill,True,,"(R=1, G=1, B=1, A=1)","(R=1, G=1, B=1, A=1)",10,10,10,(),"(R=1, G=1, B=1, A=1)",,阻止连杀,EScoreBoardType::ENone,,2,0,0,0,0,0,,EDFMGamePlayMode::GamePlayMode_Breakthrough; EDFMGamePlayMode::GamePlayMode_Conquest,,None,1,1,False,0,0,0,False,1,1,9,None
Combat_Supportreward,None,EScoreName::EAid,None,战斗,EScoreBoardCategoryType::ENone,EScoreBoardContributionType::ENone,EBehaviorScoreTLogCategoryType::EKill,True,,"(R=1, G=1, B=1, A=1)","(R=1, G=1, B=1, A=1)",10,10,10,(),"(R=1, G=1, B=1, A=1)",UI_BF_MP_Score_Normal,击杀一个正在对队友造成伤害的敌人,EScoreBoardType::ENone,正在对队友造成伤害的时间区域判定,0,0,0,2,0,0,,EDFMGamePlayMode::GamePlayMode_Breakthrough; EDFMGamePlayMode::GamePlayMode_Conquest,,None,1,1,False,0,0,0,False,1,1,9,None
Combat_Revenge,None,EScoreName::ERevenge,None,战斗,EScoreBoardCategoryType::ENone,EScoreBoardContributionType::ENone,EBehaviorScoreTLogCategoryType::EKill,True,,"(R=1, G=1, B=1, A=1)","(R=1, G=1, B=1, A=1)",30,30,30,(),"(R=1, G=1, B=1, A=1)",UI_BF_MP_Score_Normal,杀死上一次杀死你的敌人,EScoreBoardType::ENone,,0,0,0,0,0,0,,EDFMGamePlayMode::GamePlayMode_Breakthrough; EDFMGamePlayMode::GamePlayMode_Conquest,,None,1,1,False,0,0,0,False,1,1,9,None
Combat_Squadrevenge,None,EScoreName::ESquadRevenge,None,战斗,EScoreBoardCategoryType::ENone,EScoreBoardContributionType::ENone,EBehaviorScoreTLogCategoryType::EKill,True,,"(R=1, G=1, B=1, A=1)","(R=1, G=1, B=1, A=1)",30,30,30,(),"(R=1, G=1, B=1, A=1)",,击杀在3秒钟内杀死你的队友的敌人,EScoreBoardType::ENone,时间配置,0,0,0,3,0,0,,EDFMGamePlayMode::GamePlayMode_Breakthrough; EDFMGamePlayMode::GamePlayMode_Conquest,,None,1,1,False,0,0,0,False,1,1,9,None
Combat_Longdistkill,Combat_Longdistkill,EScoreName::EFarGunKill,None,战斗,EScoreBoardCategoryType::ENone,EScoreBoardContributionType::ENone,EBehaviorScoreTLogCategoryType::EKillLongDistance,True,,"(R=1, G=1, B=1, A=1)","(R=1, G=1, B=1, A=1)",110,110,110,(),"(R=1, G=1, B=1, A=1)",UI_BF_MP_Score_Normal,在30m+杀死敌人,EScoreBoardType::EKill,远距离数值配置，大于等于该距离触发,0,0,0,30,0,0,,EDFMGamePlayMode::GamePlayMode_Breakthrough,,None,1,1,False,0,0,0,False,1,1,8,None
Combat_Longdistheadshot,Combat_Longdistheadshot,EScoreName::EFarHeadKill,None,战斗,EScoreBoardCategoryType::ENone,EScoreBoardContributionType::ENone,EBehaviorScoreTLogCategoryType::EKillLongDistance,True,,"(R=1, G=1, B=1, A=1)","(R=1, G=1, B=1, A=1)",130,130,130,(),"(R=1, G=0.423267, B=0.07036, A=1)",UI_BF_MP_Score_Normal,在30m+爆头杀死敌人,EScoreBoardType::EKill,远距离数值配置，大于等于该距离触发,0,0,0,30,0,0,,EDFMGamePlayMode::GamePlayMode_Breakthrough,,None,1.5,1,False,0,0,0,False,1,1,8,None
Vehicle_Hitvehicle,None,EScoreName::EVehicle_AttackVehicle,None,载具,EScoreBoardCategoryType::ENone,EScoreBoardContributionType::EBuildAndDestroyContrib,EBehaviorScoreTLogCategoryType::EToVehicle,True,,"(R=1, G=1, B=1, A=1)","(R=1, G=1, B=1, A=1)",1,1,1,(),"(R=1, G=1, B=1, A=1)",,玩家对敌方载具造成伤害每1%,EScoreBoardType::ENone,仅敌方载具,0,0,0,0,0,0,,EDFMGamePlayMode::GamePlayMode_Breakthrough; EDFMGamePlayMode::GamePlayMode_Conquest,,None,0,1,False,0,0,0,False,1,1,2,None
Vehicle_Destoryedvehicle_Common,None,EScoreName::EVehicle_DestroyVehicle,None,载具,EScoreBoardCategoryType::ENone,EScoreBoardContributionType::EBuildAndDestroyContrib,EBehaviorScoreTLogCategoryType::EToVehicle,True,,"(R=1, G=1, B=1, A=1)","(R=1, G=1, B=1, A=1)",0,0,0,(),"(R=1, G=0.423267, B=0.07036, A=1)",UI_BF_MP_Score_Normal,对敌方载具进行最后一击使其摧毁,EScoreBoardType::ENone,,0,0,0,0,0,0,,EDFMGamePlayMode::GamePlayMode_Breakthrough; EDFMGamePlayMode::GamePlayMode_Conquest,,None,0,1,False,0,0,0,False,1,1,11,None
Vehicle_Enginebroke,None,EScoreName::EVehicle_PartEngineDamage,None,载具,EScoreBoardCategoryType::ENone,EScoreBoardContributionType::EBuildAndDestroyContrib,EBehaviorScoreTLogCategoryType::EToVehicle,True,,"(R=1, G=1, B=1, A=1)","(R=1, G=1, B=1, A=1)",100,100,100,(),"(R=1, G=1, B=1, A=1)",,摧毁敌方载具引擎,EScoreBoardType::ENone,,0,0,0,0,0,0,,EDFMGamePlayMode::GamePlayMode_Breakthrough; EDFMGamePlayMode::GamePlayMode_Conquest,,None,0,1,False,0,0,0,False,1,1,2,None
Vehicle_Turretbroke,None,EScoreName::EVehicle_PartCannoDamage,None,载具,EScoreBoardCategoryType::ENone,EScoreBoardContributionType::EBuildAndDestroyContrib,EBehaviorScoreTLogCategoryType::EToVehicle,True,,"(R=1, G=1, B=1, A=1)","(R=1, G=1, B=1, A=1)",100,100,100,(),"(R=1, G=1, B=1, A=1)",,摧毁敌方载具炮塔,EScoreBoardType::ENone,,0,0,0,0,0,0,,EDFMGamePlayMode::GamePlayMode_Breakthrough; EDFMGamePlayMode::GamePlayMode_Conquest,,None,0,1,False,0,0,0,False,1,1,2,None
Vehicle_Crawlerbroke,None,EScoreName::EVehicle_PartTrackDamage,None,载具,EScoreBoardCategoryType::ENone,EScoreBoardContributionType::EBuildAndDestroyContrib,EBehaviorScoreTLogCategoryType::EToVehicle,True,,"(R=1, G=1, B=1, A=1)","(R=1, G=1, B=1, A=1)",100,100,100,(),"(R=1, G=1, B=1, A=1)",,摧毁敌方载具履带,EScoreBoardType::ENone,,0,0,0,0,0,0,,EDFMGamePlayMode::GamePlayMode_Breakthrough; EDFMGamePlayMode::GamePlayMode_Conquest,,None,0,1,False,0,0,0,False,1,1,2,None
Vehicle_Vehiclecriticalhit,None,EScoreName::EVehicle_HeavyDamage,None,载具,EScoreBoardCategoryType::ENone,EScoreBoardContributionType::EBuildAndDestroyContrib,EBehaviorScoreTLogCategoryType::EToVehicle,True,,"(R=1, G=1, B=1, A=1)","(R=1, G=1, B=1, A=1)",10,10,10,(),"(R=1, G=1, B=1, A=1)",,对载具造成暴击,EScoreBoardType::ENone,,0,0,0,0,0,0,,EDFMGamePlayMode::GamePlayMode_Breakthrough; EDFMGamePlayMode::GamePlayMode_Conquest,,None,0,1,False,0,0,0,False,1,1,2,None
Assit_Assithit,None,EScoreName::ENormalAssist,None,协助,EScoreBoardCategoryType::ENone,EScoreBoardContributionType::ENone,EBehaviorScoreTLogCategoryType::EKill,True,,"(R=1, G=1, B=1, A=1)","(R=1, G=1, B=1, A=1)",30,30,30,(),"(R=1, G=1, B=1, A=1)",UI_BF_MP_Score_Normal,玩家造成1~74伤害后被队友杀死；浮点数值3为获得助攻的时间限制,EScoreBoardType::EAssist,,0,0,0,1,74,10,,EDFMGamePlayMode::GamePlayMode_Breakthrough; EDFMGamePlayMode::GamePlayMode_Conquest,,None,1,1,False,0,0,0,False,1,1,1,None
Assit_Assitkill,None,EScoreName::EAssistKill,None,协助,EScoreBoardCategoryType::ENone,EScoreBoardContributionType::ENone,EBehaviorScoreTLogCategoryType::EKill,True,,"(R=1, G=1, B=1, A=1)","(R=1, G=1, B=1, A=1)",40,40,40,(),"(R=1, G=1, B=1, A=1)",UI_BF_MP_Score_Normal,玩家造成75~99伤害后被队友杀死；浮点数值3为获得助攻的时间限制,EScoreBoardType::EAssist,,0,0,0,75,99,10,,EDFMGamePlayMode::GamePlayMode_Breakthrough; EDFMGamePlayMode::GamePlayMode_Conquest,,None,1,1,False,0,0,0,False,1,1,1,None
Assit_Passengerassit,None,EScoreName::EVehicle_PassengerAssist,None,协助,EScoreBoardCategoryType::ENone,EScoreBoardContributionType::EBuildAndDestroyContrib,EBehaviorScoreTLogCategoryType::EVehicle,True,,"(R=1, G=1, B=1, A=1)","(R=1, G=1, B=1, A=1)",40,40,40,(),"(R=1, G=1, B=1, A=1)",,玩家是载具上乘客，载具上其他友军击杀敌人,EScoreBoardType::EAssist,,0,0,0,0,0,0,,EDFMGamePlayMode::GamePlayMode_Breakthrough; EDFMGamePlayMode::GamePlayMode_Conquest,,None,0,1,False,0,0,0,False,1,1,7,None
Assist_Driverassit,None,EScoreName::EVehicle_DriverAssist,None,协助,EScoreBoardCategoryType::ENone,EScoreBoardContributionType::EBuildAndDestroyContrib,EBehaviorScoreTLogCategoryType::EVehicle,True,,"(R=1, G=1, B=1, A=1)","(R=1, G=1, B=1, A=1)",40,40,40,(),"(R=1, G=1, B=1, A=1)",,玩家是载具驾驶员，载具上其他武器位友军/队友击杀了敌人,EScoreBoardType::EAssist,,0,0,0,0,0,0,,EDFMGamePlayMode::GamePlayMode_Breakthrough; EDFMGamePlayMode::GamePlayMode_Conquest,,None,0,1,False,0,0,0,False,1,1,7,None
Row_None_1,None,EScoreName::ERepairVehicleAssist,None,战斗,EScoreBoardCategoryType::ENone,EScoreBoardContributionType::EBuildAndDestroyContrib,EBehaviorScoreTLogCategoryType::EToVehicle,True,,"(R=1, G=1, B=1, A=1)","(R=1, G=1, B=1, A=1)",100,100,100,(),"(R=1, G=1, B=1, A=1)",,None,EScoreBoardType::ENone,浮点数值1为助攻时间限制,250,0,0,30,10,0.4,,EDFMGamePlayMode::GamePlayMode_Breakthrough; EDFMGamePlayMode::GamePlayMode_Conquest,,None,0,1,False,0,0,0,False,1,1,13,None
Row_None_2,None,EScoreName::ERepairSceneWeaponAssist,None,战斗,EScoreBoardCategoryType::ENone,EScoreBoardContributionType::EBuildAndDestroyContrib,EBehaviorScoreTLogCategoryType::EFortification,True,,"(R=1, G=1, B=1, A=1)","(R=1, G=1, B=1, A=1)",100,100,80,(),"(R=1, G=1, B=1, A=1)",,None,EScoreBoardType::ENone,浮点数值1为助攻时间限制,250,0,0,30,10,0.4,,EDFMGamePlayMode::GamePlayMode_Breakthrough; EDFMGamePlayMode::GamePlayMode_Conquest,,None,0,1,False,0,0,0,False,1,1,13,None
FireSuppressionAssistCamp,None,EScoreName::EFireSuppressionAssistCamp,None,协助,EScoreBoardCategoryType::ENone,EScoreBoardContributionType::ENone,EBehaviorScoreTLogCategoryType::EKill,True,,"(R=1, G=1, B=1, A=1)","(R=1, G=1, B=1, A=1)",10,10,10,(),"(R=1, G=1, B=1, A=1)",,压制敌人，让友军杀死他们（ 2s内，5米内子弹经过敌方（可配置））,EScoreBoardType::EAssist,整1为压制判定半径平方；整2为压制判定子弹数量；浮1为压制判定检测时间；浮2为压制状态持续时间；浮3为命中后，压制停止检测持续时间,250000,5,0,5,5,10,,EDFMGamePlayMode::GamePlayMode_Breakthrough; EDFMGamePlayMode::GamePlayMode_Conquest,,None,1,1,False,0,0,0,False,1,1,1,None
FireSuppressionAssistCamp_0,None,EScoreName::EFireSuppressionAssistTeam,None,协助,EScoreBoardCategoryType::ENone,EScoreBoardContributionType::ENone,EBehaviorScoreTLogCategoryType::EKill,True,,"(R=1, G=1, B=1, A=1)","(R=1, G=1, B=1, A=1)",15,15,15,(),"(R=1, G=1, B=1, A=1)",,压制敌人，让队友杀死他们（ 2s内，5米内子弹经过敌方（可配置））,EScoreBoardType::EAssist,整1为压制判定半径平方；整2为压制判定子弹数量；浮1为压制判定检测时间；浮2为压制状态持续时间；浮3为命中后，压制停止检测持续时间,250000,5,0,5,5,10,,EDFMGamePlayMode::GamePlayMode_Breakthrough; EDFMGamePlayMode::GamePlayMode_Conquest,,None,1,1,False,0,0,0,False,1,1,1,None
Row_None_9,None,EScoreName::ECampMarkAssist,None,战斗,EScoreBoardCategoryType::ENone,EScoreBoardContributionType::ETacticsContrib,EBehaviorScoreTLogCategoryType::EKill,True,,"(R=1, G=1, B=1, A=1)","(R=1, G=1, B=1, A=1)",10,10,10,(),"(R=1, G=1, B=1, A=1)",,None,EScoreBoardType::ENone,,0,0,0,10,0,0,,EDFMGamePlayMode::GamePlayMode_Breakthrough; EDFMGamePlayMode::GamePlayMode_Conquest,,None,0,1,True,30,20,60,False,1,1,1,None
Logistical_Rescue,jiuyuan,EScoreName::ERescue,None,后勤,EScoreBoardCategoryType::ENone,EScoreBoardContributionType::ERescueContrib,EBehaviorScoreTLogCategoryType::ERescue,True,,"(R=1, G=1, B=1, A=1)","(R=1, G=1, B=1, A=1)",100,100,100,(),"(R=1, G=1, B=1, A=1)",UI_Rescue_Confirm,救助同阵营友军,EScoreBoardType::ERescue,,0,0,0,0,0,0,,EDFMGamePlayMode::GamePlayMode_Breakthrough; EDFMGamePlayMode::GamePlayMode_Conquest,,None,0,1,False,30,10,20,False,1,1,5,None
Row_None_3,xiaoduijiuyuan,EScoreName::ERescueTeam,None,战斗,EScoreBoardCategoryType::ENone,EScoreBoardContributionType::ERescueContrib,EBehaviorScoreTLogCategoryType::ERescue,True,,"(R=1, G=1, B=1, A=1)","(R=1, G=1, B=1, A=1)",150,150,150,(),"(R=1, G=1, B=1, A=1)",UI_Rescue_Confirm,None,EScoreBoardType::ERescue,,0,0,0,0,0,0,,EDFMGamePlayMode::GamePlayMode_Breakthrough; EDFMGamePlayMode::GamePlayMode_Conquest,,None,0,1,False,30,10,20,False,1,1,5,None
Row_None_4,None,EScoreName::ERepairCamp,None,战斗,EScoreBoardCategoryType::ENone,EScoreBoardContributionType::EBuildAndDestroyContrib,EBehaviorScoreTLogCategoryType::EToVehicle,True,,"(R=1, G=1, B=1, A=1)","(R=1, G=1, B=1, A=1)",20,20,20,(),"(R=1, G=1, B=1, A=1)",,None,EScoreBoardType::ENone,,0,0,0,1,0,0,,EDFMGamePlayMode::GamePlayMode_Breakthrough; EDFMGamePlayMode::GamePlayMode_Conquest,,None,0,1,True,10,8,15,False,1,1,13,None
Row_None_5,None,EScoreName::ERepairTeam,None,战斗,EScoreBoardCategoryType::ENone,EScoreBoardContributionType::EBuildAndDestroyContrib,EBehaviorScoreTLogCategoryType::EToVehicle,True,,"(R=1, G=1, B=1, A=1)","(R=1, G=1, B=1, A=1)",40,40,40,(),"(R=1, G=1, B=1, A=1)",,None,EScoreBoardType::ENone,,0,0,0,1,0,0,,EDFMGamePlayMode::GamePlayMode_Breakthrough; EDFMGamePlayMode::GamePlayMode_Conquest,,None,0,1,True,10,8,15,False,1,1,13,None
Logistical_Squaddeploy,None,EScoreName::ERedeployOnPlayer,None,后勤,EScoreBoardCategoryType::ENone,EScoreBoardContributionType::ETacticsContrib,EBehaviorScoreTLogCategoryType::ELogistics,True,,"(R=1, G=1, B=1, A=1)","(R=1, G=1, B=1, A=1)",10,10,10,(),"(R=1, G=1, B=1, A=1)",,队友复活在玩家身上,EScoreBoardType::ENone,,0,0,0,0,0,0,,EDFMGamePlayMode::GamePlayMode_Breakthrough; EDFMGamePlayMode::GamePlayMode_Conquest,,None,0,1,False,0,0,0,False,1,1,12,None
