RowName,ID,ArmedForceID,ExpertID,MPWeaponList,SOLWeaponList,RowDescription
34,34,3,30008,18100000002; 18100000008; 18100000009; 18100000010; 18100000012; 18100000014; 18100000015; 18100000017; 18100000020; 18100000025; 18100000021; 18100000022; 18100000023; 18100000024; 18100000019; 18100000026,,None
35,35,3,30009,18010000015; 18010000010; 18010000012; 18010000016; 18050000005; 18010000021; 18010000023; 18040000002; 18040000001; 18040000003; 18030000002; 18030000001; 18030000004; 18070000005; 18070000003; 18070000004; 18070000006; 18070000010; 18070000002; 18010000014; 18010000031; 18040000004; 18070000033; 18030000005; 18010000008; 18010000018; 18010000043,,None
36,36,3,30009,18030000006,,None
37,37,3,30009,,,None
38,38,3,30009,18030000006,,None
39,39,3,30009,,,None
40,40,3,30009,18100000002; 18100000008; 18100000009; 18100000010; 18100000012; 18100000014; 18100000015; 18100000017; 18100000020; 18100000025; 18100000021; 18100000022; 18100000023; 18100000024; 18100000019; 18100000026,,None
41,41,3,30010,18010000015; 18010000010; 18010000012; 18010000016; 18050000005; 18010000021; 18010000023; 18040000002; 18040000001; 18040000003; 18030000002; 18030000001; 18030000004; 18070000005; 18070000003; 18070000004; 18070000006; 18070000010; 18070000002; 18010000014; 18010000031; 18040000004; 18070000033; 18030000005; 18010000008; 18010000018; 18010000043,,None
42,42,3,30010,18030000006,,None
43,43,3,30010,,,None
44,44,3,30010,18030000006,,None
45,45,3,30010,,,None
46,46,3,30010,18100000002; 18100000008; 18100000009; 18100000010; 18100000012; 18100000014; 18100000015; 18100000017; 18100000020; 18100000025; 18100000021; 18100000022; 18100000023; 18100000024; 18100000019; 18100000026,,None
47,47,3,30011,18010000015; 18010000010; 18010000012; 18010000016; 18050000005; 18010000021; 18010000023; 18040000002; 18040000001; 18040000003; 18030000002; 18030000001; 18030000004; 18070000005; 18070000003; 18070000004; 18070000006; 18070000010; 18070000002; 18010000014; 18010000031; 18040000004; 18070000033; 18030000005; 18010000008; 18010000018; 18010000043,,None
48,48,3,30011,18030000006,,None
49,49,3,30011,,,None
50,50,3,30011,18030000006,,None
51,51,3,30011,,,None
52,52,3,30011,18100000002; 18100000008; 18100000009; 18100000010; 18100000012; 18100000014; 18100000015; 18100000017; 18100000020; 18100000025; 18100000021; 18100000022; 18100000023; 18100000024; 18100000019; 18100000026,,None
53,53,4,40005,18050000031; 18010000031; 18010000014; 18010000010; 18050000007; 18050000004; 18050000003; 18050000002; 18050000006; 18030000004; 18070000005; 18070000003; 18070000004; 18070000006; 18070000010; 18070000002; 18020000006; 18020000004; 18010000021; 18010000015; 18050000008; 18070000033; 18010000008; 18010000024; 18150000001; 18050000032; 18030000006; 18010000044,,None
54,54,4,40005,18060000011; 18060000009; 18060000007; 18060000008; 18060000033,,None
55,55,4,40005,18020000005; 18010000017; 18030000006,,None
56,56,4,40005,18100000002; 18100000008; 18100000009; 18100000010; 18100000012; 18100000014; 18100000015; 18100000017; 18100000020; 18100000025; 18100000021; 18100000022; 18100000023; 18100000024; 18100000019; 18100000026,,None
57,57,4,40010,18050000031; 18010000031; 18010000014; 18010000010; 18050000007; 18050000004; 18050000003; 18050000002; 18050000006; 18030000004; 18070000005; 18070000003; 18070000004; 18070000006; 18070000010; 18070000002; 18020000006; 18020000004; 18010000021; 18010000015; 18050000008; 18070000033; 18010000008; 18010000024; 18150000001; 18050000032; 18030000006; 18010000044; 18010000013; 18030000002,,None
58,58,4,40010,18060000011; 18060000009; 18060000007; 18060000008; 18060000033,,None
59,59,4,40010,18020000005; 18010000017; 18030000006,,None
60,60,4,40010,18100000002; 18100000008; 18100000009; 18100000010; 18100000012; 18100000014; 18100000015; 18100000017; 18100000020; 18100000025; 18100000021; 18100000022; 18100000023; 18100000024; 18100000019; 18100000026,,None
61,61,4,40011,18050000031; 18010000031; 18010000014; 18010000010; 18050000007; 18050000004; 18050000003; 18050000002; 18050000006; 18030000004; 18070000005; 18070000003; 18070000004; 18070000006; 18070000010; 18070000002; 18020000006; 18020000004; 18010000021; 18010000015; 18050000008; 18070000033; 18010000008; 18010000024; 18150000001; 18050000032; 18030000006; 18010000044; 18010000013; 18030000002,,None
62,62,4,40011,18060000011; 18060000009; 18060000007; 18060000008; 18060000033,,None
63,63,4,40011,18020000005; 18010000017; 18030000006,,None
64,64,4,40011,18100000002; 18100000008; 18100000009; 18100000010; 18100000012; 18100000014; 18100000015; 18100000017; 18100000020; 18100000025; 18100000021; 18100000022; 18100000023; 18100000024; 18100000019; 18100000026,,None
65,65,4,40012,18050000031; 18010000031; 18010000014; 18010000010; 18050000007; 18050000004; 18050000003; 18050000002; 18050000006; 18030000004; 18070000005; 18070000003; 18070000004; 18070000006; 18070000010; 18070000002; 18020000006; 18020000004; 18010000021; 18010000015; 18050000008; 18070000033; 18010000008; 18010000024; 18150000001; 18050000032; 18030000006; 18010000044; 18010000013; 18030000002,,None
66,66,4,40012,18060000011; 18060000009; 18060000007; 18060000008; 18060000033,,None
67,67,4,40012,18020000005; 18010000017; 18030000006,,None
68,68,4,40012,18100000002; 18100000008; 18100000009; 18100000010; 18100000012; 18100000014; 18100000015; 18100000017; 18100000020; 18100000025; 18100000021; 18100000022; 18100000023; 18100000024; 18100000019; 18100000026,,None
