RowName,ConcentratedFireId,CheckInterval,CheckDelay,DisableCheckProgress,AttackerBehaviorScoreMultiplier,DefenderBehaviorScoreMultiplier,AttackerUnitTimeScoreMultiplierWhenActivated,DefenderUnitTimeScoreMultiplierWhenActivated,AttackerBalanceScoreForTriggerDetection,DefenderBalanceScoreForTriggerDetection,AttackerBalanceScoreForCompleteCommand,DefenderBalanceScoreForCompleteCommand,AttackerCommandTime,DefenderCommandTime,AttackerDoneCommanderScoreMultiplier,DefenderDoneCommanderScoreMultiplier,AttackerDoneCampScoreMultiplier,DefenderDoneCampScoreMultiplier,RowDescription
烬区PC围攻,烬区PC围攻,60,30,0.6,2,2,0.001,0.001,51,-200,-200,200,-1,-1,1,1,1,1,None
临界点PC围攻,临界点PC围攻,60,30,0.6,2,2,0.001,0.001,51,-200,-200,200,-1,-1,1,1,1,1,None
堑壕战PC围攻,堑壕战PC围攻,60,30,0.6,2,2,0.001,0.001,51,-200,-200,200,-1,-1,1,1,1,1,None
NewRow,None,0,0,0,0,0,0,0,0,0,0,0,-1,-1,1,1,1,1,None
NewRow_0,指挥官攀升PC攻防S1,60,30,0.6,1,1,0.002,0.002,0,-200,-200,200,120,120,1,1,0.25,0.25,None
NewRow_1,指挥官攀升PC攻防S2,60,30,0.6,1,1,0.002,0.002,25,-95,-200,-25,120,120,2,2,0.5,0.5,None
NewRow_2,指挥官攀升PC攻防S3,60,30,0.6,1,1,0.002,0.002,25,-85,-200,-25,120,120,2,2,0.5,0.5,None
NewRow_3,指挥官攀升PC攻防S4,60,30,0.6,1,1,0.002,0.002,51,-76,-200,-25,120,120,2,2,0.5,0.5,None
NewRow_30,指挥官攀升PC攻防S5,60,30,0.6,1,1,0.002,0.002,51,-76,-200,-25,120,120,2,2,0.5,0.5,None
NewRow_4,指挥官烬区PC攻防S1,60,30,0.6,1,1,0.002,0.002,0,-200,-200,200,120,120,1,1,0.25,0.25,None
NewRow_5,指挥官烬区PC攻防S2,60,30,0.6,1,1,0.002,0.002,25,-90,-200,-25,120,120,2,2,0.5,0.5,None
NewRow_6,指挥官烬区PC攻防S3,60,30,0.6,1,1,0.002,0.002,51,-76,-200,-25,120,120,2,2,0.5,0.5,None
NewRow_7,指挥官临界点PC攻防S1,60,30,0.6,1,1,0.002,0.002,0,-200,-200,200,120,120,1,1,0.25,0.25,None
NewRow_8,指挥官临界点PC攻防S2,60,30,0.6,1,1,0.002,0.002,25,-90,-200,-25,120,120,2,2,0.5,0.5,None
NewRow_9,指挥官临界点PC攻防S3,60,30,0.6,1,1,0.002,0.002,51,-76,-200,-25,120,120,2,2,0.5,0.5,None
NewRow_10,指挥官贯穿PC攻防S1,60,30,0.6,1,1,0.002,0.002,0,-200,-200,200,120,120,1,1,0.2,0.2,None
NewRow_11,指挥官贯穿PC攻防S2,60,30,0.6,1,1,0.002,0.002,25,-90,-200,-25,120,120,2.2,2.2,0.2,0.2,None
NewRow_12,指挥官贯穿PC攻防S3,60,30,0.6,1,1,0.002,0.002,51,-76,-200,-25,120,120,2.2,2.2,0.2,0.2,None
NewRow_13,指挥官堑壕战PC攻防S1,60,30,0.6,1,1,0.002,0.002,0,-200,-200,200,120,120,1,1,0.25,0.25,None
NewRow_14,指挥官堑壕战PC攻防S2,60,30,0.6,1,1,0.002,0.002,25,-95,-200,-25,120,120,2,2,0.5,0.5,None
NewRow_15,指挥官堑壕战PC攻防S3,60,30,0.6,1,1,0.002,0.002,25,-85,-200,-25,120,120,2,2,0.5,0.5,None
NewRow_16,指挥官堑壕战PC攻防S4,60,30,0.6,1,1,0.002,0.002,45,-85,-200,-25,120,120,2,2,0.5,0.5,None
NewRow_17,指挥官堑壕战PC攻防S5,60,30,0.6,1,1,0.002,0.002,65,-76,-200,-25,120,120,2,2,0.5,0.5,None
NewRow_18,指挥官断轨PC攻防S1,60,30,0.6,1,1,0.002,0.002,0,-200,-200,200,120,120,1,1,0.25,0.25,None
NewRow_19,指挥官断轨PC攻防S2,60,30,0.6,1,1,0.002,0.002,25,-95,-200,-25,120,120,2,2,0.5,0.5,None
NewRow_20,指挥官断轨PC攻防S3,60,30,0.6,1,1,0.002,0.002,25,-85,-200,-25,120,120,2,2,0.5,0.5,None
NewRow_21,指挥官断轨PC攻防S4,60,30,0.6,1,1,0.002,0.002,51,-76,-200,-25,120,120,2,2,0.5,0.5,None
NewRow_22,指挥官刀锋PC攻防S1,60,30,0.6,1,1,0.002,0.002,0,-200,-200,200,120,120,2.2,2.2,0.2,0.2,None
NewRow_23,指挥官刀锋PC攻防S2,60,30,0.6,1,1,0.002,0.002,25,-90,-200,-25,120,120,2.2,2.2,0.2,0.2,None
NewRow_24,指挥官刀锋PC攻防S3,60,30,0.6,1,1,0.002,0.002,51,-76,-200,-25,120,120,2.2,2.2,0.2,0.2,None
NewRow_74,指挥官风暴眼PC攻防S1,60,30,0.6,1,1,0.002,0.002,0,-200,-200,200,120,120,1,1,0.25,0.25,None
NewRow_73,指挥官风暴眼PC攻防,60,30,0.6,1,1,0.002,0.002,0,-200,-200,200,120,120,2,2,0.5,0.5,None
NewRow_75,CS1,60,30,0.6,1,1,0.002,0.002,0,-200,-200,200,120,120,1,1,0.25,0.25,None
NewRow_78,CSALL,60,30,0.6,1,1,0.002,0.002,0,-200,-200,200,120,120,2,2,0.5,0.5,None
NewRow_31,None,0,0,0,0,0,0,0,0,0,0,0,-1,-1,1,1,1,1,None
NewRow_37,S1,0,0,0,0,0,0,0,0,0,0,0,120,120,2.2,2.2,0.2,0.2,None
NewRow_38,S2,0,0,0,0,0,0,0,0,0,0,0,120,120,2.2,2.2,0.2,0.2,None
NewRow_39,S3,0,0,0,0,0,0,0,0,0,0,0,120,120,2.2,2.2,0.2,0.2,None
NewRow_40,S4,0,0,0,0,0,0,0,0,0,0,0,120,120,2.2,2.2,0.2,0.2,None
NewRow_41,S5,0,0,0,0,0,0,0,0,0,0,0,120,120,2.2,2.2,0.2,0.2,None
NewRow_42,S6,0,0,0,0,0,0,0,0,0,0,0,120,120,2.2,2.2,0.2,0.2,None
NewRow_43,S1,0,0,0,0,0,0,0,0,0,0,0,120,120,2.2,2.2,0.2,0.2,None
NewRow_44,S2,0,0,0,0,0,0,0,0,0,0,0,120,120,2.2,2.2,0.2,0.2,None
NewRow_45,S3,0,0,0,0,0,0,0,0,0,0,0,120,120,2.2,2.2,0.2,0.2,None
NewRow_46,S4,0,0,0,0,0,0,0,0,0,0,0,120,120,2.2,2.2,0.2,0.2,None
NewRow_47,S5,0,0,0,0,0,0,0,0,0,0,0,120,120,2.2,2.2,0.2,0.2,None
NewRow_49,S1,0,0,0,0,0,0,0,0,0,0,0,120,120,2.2,2.2,0.2,0.2,None
NewRow_50,S2,0,0,0,0,0,0,0,0,0,0,0,-1,-1,1,1,1,1,None
NewRow_51,S3,0,0,0,0,0,0,0,0,0,0,0,-1,-1,1,1,1,1,None
NewRow_52,S4,0,0,0,0,0,0,0,0,0,0,0,-1,-1,1,1,1,1,None
NewRow_53,S5,0,0,0,0,0,0,0,0,0,0,0,-1,-1,1,1,1,1,None
NewRow_54,S1,0,0,0,0,0,0,0,0,0,0,0,120,120,2.2,2.2,0.2,0.2,None
NewRow_55,S2,0,0,0,0,0,0,0,0,0,0,0,120,120,2.2,2.2,0.2,0.2,None
NewRow_56,S3,0,0,0,0,0,0,0,0,0,0,0,120,120,2.2,2.2,0.2,0.2,None
NewRow_57,S4,0,0,0,0,0,0,0,0,0,0,0,120,120,2.2,2.2,0.2,0.2,None
NewRow_58,S5,0,0,0,0,0,0,0,0,0,0,0,120,120,2.2,2.2,0.2,0.2,None
NewRow_32,S1,0,0,0,0,0,0,0,0,0,0,0,120,120,2.2,2.2,0.2,0.2,None
NewRow_33,S2,0,0,0,0,0,0,0,0,0,0,0,120,120,2.2,2.2,0.2,0.2,None
NewRow_34,S3,0,0,0,0,0,0,0,0,0,0,0,120,120,2.2,2.2,0.2,0.2,None
NewRow_35,S4,0,0,0,0,0,0,0,0,0,0,0,120,120,2.2,2.2,0.2,0.2,None
NewRow_36,S5,0,0,0,0,0,0,0,0,0,0,0,120,120,2.2,2.2,0.2,0.2,None
NewRow_61,S1,0,0,0,0,0,0,0,0,0,0,0,120,120,2.2,2.2,0.2,0.2,None
NewRow_60,S2,0,0,0,0,0,0,0,0,0,0,0,120,120,2.2,2.2,0.2,0.2,None
NewRow_59,S3,0,0,0,0,0,0,0,0,0,0,0,120,120,2.2,2.2,0.2,0.2,None
NewRow_62,S4,0,0,0,0,0,0,0,0,0,0,0,120,120,2.2,2.2,0.2,0.2,None
NewRow_63,S5,0,0,0,0,0,0,0,0,0,0,0,120,120,2.2,2.2,0.2,0.2,None
NewRow_64,S6,0,0,0,0,0,0,0,0,0,0,0,120,120,2.2,2.2,0.2,0.2,None
NewRow_66,指挥官占领老家据点,0,0,0,0,0,0,0,0,0,0,0,120,120,2.2,2.2,0.2,0.2,None
NewRow_65,指挥官占领基础据点,0,0,0,0,0,0,0,0,0,0,0,120,120,2.2,2.2,0.2,0.2,None
NewRow_67,指挥官占领机密据点,0,0,0,0,0,0,0,0,0,0,0,120,120,2.2,2.2,0.2,0.2,None
NewRow_68,None,0,0,0,0,0,0,0,0,0,0,0,-1,-1,1,1,1,1,None
