RowName,ID,VehicleItemID,VehicleID,VehicleName,SocketNum,SeatID,SocketType,SocketID,SocketName,PartItemID,PartID,PartName,AccessoryID,PartDescription,ModelPath,DefaultPart,UnlockType,UnlockPara,UnlockTask,UnlockDescription,SlotID,SortID,RowDescription
60,60,39001102001,1102001,,102010,,2,1,,40000310008,10008,,0,,,0,2,2,0,,3,60,None
61,61,39001102001,1102001,,102020,,2,2,,40000310001,10001,,0,,,1,1,1,0,,4,61,None
62,62,39001102001,1102001,,102030,,2,3,,40000310007,10007,,0,,,1,1,1,0,,8,62,None
63,63,39001102001,1102001,,201010,,1,0,,40120300009,18120000009,,0,,,1,1,1,0,,5,63,None
64,64,39001102001,1102001,,201010,,1,0,,40120300001,18120000001,,0,,,0,2,3,0,,5,64,None
65,65,39001102001,1102001,,201010,,1,0,,40121400009,18120000009,,40120000009,,,0,2,10,0,,5,65,None
66,66,39001102001,1102001,,201010,,1,0,,40121400001,18120000001,,40120000009,,,0,2,10,0,,5,66,None
67,67,39001102001,1102001,,201010,,1,0,,40120300010,18120000010,,0,,,0,2,5,0,,5,67,None
68,68,39001102001,1102001,,201010,,1,0,,40120300045,18120000045,,0,,,0,2,7,0,,5,68,None
69,69,39001102001,1102001,,201010,,1,0,,40120300046,18120000046,,0,,,0,2,9,0,,5,69,None
70,70,39001301002,1301002,,101010,,1,0,,40120400017,18120000017,,0,,,1,1,1,0,,1,70,None
71,71,39001301002,1301002,,101010,,1,0,,40120400027,18120000027,,0,,,0,2,3,0,,1,71,None
72,72,39001301002,1301002,,101010,,1,0,,40120400028,18120000028,,0,,,0,2,7,0,,1,72,None
73,73,39001301002,1301002,,101021,,1,1,,40120400019,18120000019,,0,,,1,1,1,0,,2,73,None
74,74,39001301002,1301002,,101021,,1,1,,40120400038,18120000038,,0,,,0,2,5,0,,2,74,None
75,75,39001301002,1301002,,101021,,1,1,,40120400070,18120000070,,0,,,0,2,5,0,,2,75,None
76,76,39001301002,1301002,,102010,,2,1,,40000410003,10003,,0,,,1,1,1,0,,3,76,None
77,77,39001301002,1301002,,102020,,2,2,,40000410001,10001,,0,,,1,1,1,0,,4,77,None
78,78,39001301002,1301002,,201010,,1,0,,40120400018,18120000018,,0,,,1,1,1,0,,5,78,None
79,79,39001101004,1101004,,101010,,1,0,,40120500032,18120000032,,0,,,1,1,1,0,,1,79,None
80,80,39001101004,1101004,,101010,,1,0,,40120500033,18120000033,,0,,,0,2,3,0,,1,80,None
81,81,39001101004,1101004,,101020,,1,1,,40120500039,18120000039,,0,,,1,1,1,0,,2,81,None
82,82,39001101004,1101004,,101020,,1,1,,40120500040,18120000040,,0,,,0,2,4,0,,2,82,None
83,83,39001101004,1101004,,102010,,2,1,,40000510002,10002,,0,,,1,1,1,0,,3,83,None
84,84,39001101004,1101004,,102010,,2,1,,40000510008,10008,,0,,,0,2,5,0,,3,84,None
85,85,39001101004,1101004,,102010,,2,1,,40000510009,10009,,0,,,0,2,7,0,,3,85,None
86,86,39001101004,1101004,,102010,,2,1,,40000510010,10010,,0,,,0,2,4,0,,3,86,None
87,87,39001101004,1101004,,102020,,2,2,,40000510001,10001,,0,,,1,1,1,0,,4,87,None
88,88,39001101004,1101004,,102020,,2,2,,40000510004,10004,,0,,,0,2,8,0,,4,88,None
89,89,39001101004,1101004,,201010,,1,0,,40120500009,18120000009,,0,,,1,1,1,0,,5,89,None
90,90,39001101004,1101004,,201010,,1,0,,40120500001,18120000001,,0,,,0,2,10,0,,5,90,None
91,91,39001101004,1101004,,201010,,1,0,,40121500009,18120000009,,40120000009,,,0,2,10,0,,5,91,None
92,92,39001101004,1101004,,201010,,1,0,,40121500001,18120000001,,40120000009,,,0,2,10,0,,5,92,None
93,93,39001101004,1101004,,201010,,1,0,,40120500010,18120000010,,0,,,0,2,6,0,,5,93,None
94,94,39001101004,1101004,,301010,,1,0,,40120500012,18120000012,,0,,,1,1,1,0,,6,94,None
95,95,39001101004,1101004,,301010,,1,0,,40120500024,18120000024,,0,,,0,2,2,0,,6,95,None
96,96,39001101004,1101004,,301010,,1,0,,40120500037,18120000037,,0,,,0,2,9,0,,6,96,None
97,97,39001101004,1101004,,401010,,1,0,,40120500048,18120000048,,0,,,1,1,1,0,,9,97,None
98,98,39001101004,1101004,,401020,,1,1,,40120500049,18120000049,,0,,,1,1,1,0,,10,98,None
99,99,39001301005,1301005,,101010,,1,0,,40120600041,18120000041,,0,,,1,1,1,0,,1,99,None
100,100,39001301005,1301005,,101010,,1,0,,40120600042,18120000042,,0,,,0,2,3,0,,1,100,None
101,101,39001301005,1301005,,101021,,1,1,,40120600043,18120000043,,0,,,1,1,1,0,,2,101,None
102,102,39001301005,1301005,,101021,,1,1,,40120600044,18120000044,,0,,,0,2,5,0,,2,102,None
103,103,39001301005,1301005,,102010,,2,1,,40120610003,10003,,0,,,1,1,1,0,,3,103,None
104,104,39001301005,1301005,,402010,,2,2,,40120610001,10001,,0,,,1,1,1,0,,4,104,None
105,105,39001301005,1301005,,102020,,2,4,,40120610006,10006,,0,,,1,1,1,0,,7,105,None
106,106,39001301005,1301005,,402020,,2,1,,40120610005,10005,,0,,,1,1,1,0,,11,106,None
107,107,39001101005,1101005,,101010,,1,0,,40120700058,18120000058,,0,,,1,1,1,0,,1,107,None
108,108,39001101005,1101005,,101010,,1,0,,40120700059,18120000059,,0,,,0,2,4,0,,1,108,None
109,109,39001101005,1101005,,101020,,1,1,,40120700060,18120000060,,0,,,1,1,1,0,,2,109,None
110,110,39001101005,1101005,,101020,,1,1,,40120700061,18120000061,,0,,,0,2,4,0,,2,110,None
111,111,39001101005,1101005,,102010,,2,1,,40120710002,10002,,0,,,1,1,1,0,,3,111,None
112,112,39001101005,1101005,,102010,,2,1,,40120710008,10008,,0,,,0,2,4,0,,3,112,None
113,113,39001101005,1101005,,102010,,2,1,,40120710014,10014,,0,,,0,2,4,0,,3,113,None
114,114,39001101005,1101005,,102010,,2,2,,40120710001,10001,,0,,,1,1,1,0,,4,114,None
115,115,39001101005,1101005,,102020,,2,2,,40120710004,10004,,0,,,0,2,3,0,,4,115,None
116,116,39001101005,1101005,,201010,,1,0,,40120700062,18120000062,,0,,,1,1,1,0,,5,116,None
117,117,39001101005,1101005,,201010,,1,1,,40120700063,18120000063,,0,,,1,1,1,0,,12,117,None
118,118,39001101005,1101005,,301010,,2,1,,40120710006,10006,,0,,,1,1,1,0,,7,118,None
119,119,39001101005,1101005,,301010,,2,2,,40120710013,10013,,0,,,1,1,1,0,,11,119,None
120,120,39001301007,1301007,,101010,,1,0,,40120800052,18120000052,,0,,,1,1,1,0,,1,120,None
121,121,39001301007,1301007,,101010,,1,0,,40120800053,18120000053,,0,,,0,2,3,0,,1,121,None
122,122,39001301007,1301007,,101021,,1,1,,40120800054,18120000054,,0,,,1,1,1,0,,2,122,None
123,123,39001301007,1301007,,101021,,1,1,,40120800055,18120000055,,0,,,0,1,1,0,,2,123,None
124,124,39001301007,1301007,,101021,,1,1,,40120800056,18120000056,,0,,,0,2,4,0,,2,124,None
125,125,39001301007,1301007,,101021,,1,1,,40120800057,18120000057,,0,,,0,2,5,0,,2,125,None
126,126,39001301007,1301007,,102010,,2,1,,40120810003,10003,,0,,,1,1,1,0,,3,126,None
127,127,39001301007,1301007,,102020,,2,2,,40120810001,10001,,0,,,1,1,1,0,,4,127,None
128,128,39001201003,1201003,,101010,,1,0,,40120900015,18120000015,,0,,,1,1,1,0,,1,128,None
129,129,39001201003,1201003,,101021,,1,1,,40120900047,18120000068,,0,,,1,1,1,0,,2,129,None
130,130,39001201003,1201003,,101021,,1,1,,40120900046,18120000046,,0,,,0,2,6,0,,2,130,None
131,131,39001201003,1201003,,101021,,1,1,,40120900069,18120000069,,0,,,0,2,8,0,,2,131,None
132,132,39001201003,1201003,,102010,,2,1,,40120910002,10002,,0,,,1,1,1,0,,3,132,None
133,133,39001201003,1201003,,102010,,2,1,,40120910008,10008,,0,,,0,2,2,0,,3,133,None
134,134,39001201003,1201003,,102020,,2,2,,40120910001,10001,,0,,,1,1,1,0,,4,134,None
135,135,39001201003,1201003,,102020,,2,2,,40120910004,10004,,0,,,0,2,4,0,,4,135,None
136,136,39001201003,1201003,,402010,,2,4,,40120910006,10006,,0,,,1,1,1,0,,7,136,None
137,137,39001201003,1201003,,402020,,2,1,,40120910005,10005,,0,,,1,1,1,0,,11,137,None
138,138,39001101006,1101006,,101010,,1,0,,40121000071,18120000071,,0,,,1,1,1,0,,1,138,None
139,139,39001101006,1101006,,101020,,1,1,,40121000072,18120000072,,0,,,1,1,1,0,,2,139,None
140,140,39001101006,1101006,,102010,,2,1,,40121010002,10002,,0,,,1,1,1,0,,3,140,None
141,141,39001101006,1101006,,102010,,2,1,,40121010008,10008,,0,,,0,2,2,0,,3,141,None
142,142,39001101006,1101006,,102010,,2,1,,40121010017,10017,,0,,,0,2,5,0,,3,142,None
143,143,39001101006,1101006,,102020,,2,2,,40121010018,10018,,0,,,1,1,1,0,,4,143,None
144,144,39001101006,1101006,,102030,,2,3,,40121010020,10020,,0,,,1,1,1,0,,8,144,None
145,145,39001101006,1101006,,301010,,1,0,,40121000073,18120000073,,0,,,1,1,1,0,,5,145,None
146,146,39001101006,1101006,,301010,,1,0,,40121000047,18120000047,,0,,,0,2,3,0,,5,146,None
147,147,39001101006,1101006,,301010,,1,0,,40121000076,18120000076,,0,,,0,2,6,0,,5,147,None
148,148,39001101006,1101006,,301010,,1,0,,40121000075,18120000075,,0,,,0,2,8,0,,5,148,None
149,149,39001101006,1101006,,201010,,1,0,,40121000012,18120000012,,0,,,1,1,1,0,,6,149,None
150,150,39001101006,1101006,,201010,,1,0,,40121000026,18120000026,,0,,,0,2,4,0,,6,150,None
151,151,39001101006,1101006,,201010,,1,0,,40121000024,18120000024,,0,,,0,2,7,0,,6,151,None
152,152,39001101006,1101006,,402010,,2,4,,40121010006,10006,,0,,,1,1,1,0,,7,152,None
153,153,39001101006,1101006,,402020,,2,1,,40121010012,10012,,0,,,1,1,1,0,,11,153,None
