---,RecoilId,RecoilType,Single_HorizontalRecoils,Single_HorizontalRandomMin,Single_HorizontalRandomMax,Single_HorizontalScale,Single_VerticalRecoils,Single_VerticalRandomMin,Single_VerticalRandomMax,Single_VerticalScale,SingleOrBurstResetTimeTolerant,Continue_HorizontalRecoils,Continue_HorizontalRandomMin,Continue_HorizontalRandomMax,Continue_HorizontalScale,Continue_VerticalRecoils,Continue_VerticalRandomMin,Continue_VerticalRandomMax,Continue_VerticalScale,ContinueLoop_HorizontalRecoils,ContinueLoop_HorizontalRandomMin,ContinueLoop_HorizontalRandomMax,ContinueLoop_HorizontalScale,ContinueLoop_VerticalRecoils,ContinueLoop_VerticalRandomMin,ContinueLoop_VerticalRandomMax,ContinueLoop_VerticalScale,RecoilShakePitch_WholeAmplitude,RecoilShakePitch_Frequency,RecoilShakePitch_ShiftMin,RecoilShakePitch_ShiftMax,RecoilShakePitch_InFireDamping,RecoilShakePitch_Duration,RecoilShakeYaw_WholeAmplitude,RecoilShakeYaw_Frequency,RecoilShakeYaw_ShiftMin,RecoilShakeYaw_ShiftMax,RecoilShakeYaw_InFireDamping,RecoilShakeYaw_Duration,RecoilShakePitchWithCurve_WholeAmplitude,RecoilShakeYawWithCurve_WholeAmplitude,bUseManualCurveEffect,bLimitRecoilEaseTime,RecoilEaseTime,PitchEaseType,YawEaseType,SideAimingRecoilFactor_Horizontal,SideAimingRecoilFactor_Vertical,SideAimingRecoilShakeFactor_Horizontal,SideAimingRecoilShakeFactor_Vertical,bEnableSpringGunKick,SpringYawMin,SpringYawMax,SpringPitchMin,SpringPitchMax,SpringTime,SpringRatio,RecoverStartTime,RecoverSpringTime,RecoverSpringRatio
突击步枪2-1,11080,WeaponRecoil_DFM,-0.4977,-0.15,0.15,1,2.8098,-0.4,0.4,1,0,"-0.711,1.071,-1.071,0.711,0.36,0.351,0.54,0.711,0.891,1.071,1.332,0.621,1.611,0.765,1.908,0.891,1.782,2.313,0.36,1.926,0.747,1.863,0.81,1.89,0.783,2.034,0.639,2.052,0.621																													",-0.15,0.15,1.15,"4.014,4.005,4.014,4.005,4.014,5.346,3.825,3.744,3.744,3.654,3.654,5.049,3.411,3.582,3.546,3.564,3.564,5.004,3.465,3.573,3.555,3.654,3.474,4.698,3.762,3.6,3.528,3.591,3.537																													",-0.3,0.3,1.3,"2.1,0.87,2.26,0.71,2.28,0.69",-0.15,0.15,1,"5.22,4.18,4,3.92,3.99,3.93",-0.3,0.3,1,1,0.5,0.1,0.3,0,0,1,1,0.5,0.8,0,0,0.8,0.8,True,True,0.0884,EaseOutQuad,EaseOutQuad,1.2,1.2,1,1,False,0,0,0,0,0,1,0.05,0,0.5
突击步枪2-4,11380,WeaponRecoil_DFM,-0.448,-0.1,0.1,1,2.506,-0.6,0.6,1,0,"-0.711,1.071,-1.071,0.711,0.36,0.351,0.54,0.711,0.891,1.071,1.332,0.621,1.611,0.765,1.908,0.891,1.782,2.313,0.36,1.926,0.747,1.863,0.81,1.89,0.783,2.034,0.639,2.052,0.621																													",-0.15,0.15,1.4,"4.014,4.005,4.014,4.005,4.014,5.346,3.825,3.744,3.744,3.654,3.654,5.049,3.411,3.582,3.546,3.564,3.564,5.004,3.465,3.573,3.555,3.654,3.474,4.698,3.762,3.6,3.528,3.591,3.537																													",-0.3,0.3,1.2,"2.1,0.87,2.26,0.71,2.28,0.69",-0.15,0.15,1.25,"5.22,4.18,4,3.92,3.99,3.93",-0.3,0.3,1.25,1,0.5,0.1,0.3,0,0,1,1,0.5,0.8,0,0,0.8,0.8,True,True,0.0682,EaseOutQuad,EaseOutQuad,1.2,1.2,1,1,False,0,0,0,0,0,1,0.05,0,0.5
突击步枪2-41,11381,WeaponRecoil_DFM,-0.448,-0.1,0.1,1,2.506,-0.6,0.6,1,0,"0.711,-1.071,1.071,-0.711,-0.36,-0.351,-0.54,-0.711,-0.891,-1.071",-0.15,0.15,3.5,"4.014,4.005,4.014,4.005,4.014,5.346,3.825,3.744,3.744,3.654",-0.3,0.3,1.5,"2.1,0.87,2.26,0.71,2.28,0.69",-0.15,0.15,1.8,"5.22,4.18,4,3.92,3.99,3.93",-0.3,0.3,1.5,1,0.5,0.1,0.3,0,0,1,1,0.5,0.8,0,0,0.5,0.6,True,True,0.0682,EaseOutQuad,EaseOutQuad,1.2,1.2,1,1,False,1,3,0.1,0.25,0.4,1,0.4,0.2,0.5
突击步枪2-12,11081,WeaponRecoil_DFM,-0.4977,-0.15,0.15,1,2.8098,-0.4,0.4,1,0,"-0.711,1.071,-1.071,0.711,0.36,0.351,0.54,0.711,0.891,1.071,1.332,0.621,1.611,0.765,1.908,0.891,1.782,2.313,0.36,1.926,0.747,1.863,0.81,1.89,0.783,2.034,0.639,2.052,0.621,-0.711,1.071,-1.071,0.711,0.36,0.351,0.54,0.711,0.891,1.071,1.332,0.621,1.611,0.765,1.908,0.891,1.782,2.313,0.36,1.926,0.747,1.863,0.81,1.89,0.783,2.034,0.639,2.052,0.621																													",-0.15,0.15,2.1,"4.014,4.005,4.014,4.005,4.014,5.346,3.825,3.744,3.744,3.654,3.654,5.049,3.411,3.582,3.546,3.564,3.564,5.004,3.465,3.573,3.555,3.654,3.474,4.698,3.762,3.6,3.528,3.591,3.537,4.014,4.005,4.014,4.005,4.014,5.346,3.825,3.744,3.744,3.654,3.654,5.049,3.411,3.582,3.546,3.564,3.564,5.004,3.465,3.573,3.555,3.654,3.474,4.698,3.762,3.6,3.528,3.591,3.537																													",-0.3,0.3,1.6,"2.1,0.87,2.26,0.71,2.28,0.69",-0.15,0.15,1.5,"5.22,4.18,4,3.92,3.99,3.93",-0.3,0.3,1.4,1,0.5,0.1,0.3,0,0,1,1,0.5,0.8,0,0,0.8,0.8,True,True,0.0884,EaseOutQuad,EaseOutQuad,1.2,1.2,1,1,False,0,0,0,0,0,1,0.05,0,0.5
突击步枪2-2,11170,WeaponRecoil_DFM,-1.336,-0.36,0.36,1,3.2,-1,1,1,0,"-1.67,-1.12,-1.3,0.68,-0.62,-0.43,1.42,1.43,1.05,1.12,1.18,1.55,1.55,1.42,0,0.68,0.87,-0.06,-0.93,-0.99,-1.12,-0.99,-1.8,0.75,0,0.37,-0.26,0,0.33",-0.2,0.2,1,"3.97,3.72,3.78,3.16,3.41,3.41,2.42,2.54,3.16,3.1,3.04,1.92,3.04,3.16,3.29,3.47,3.16,3.17,3.03,3.04,3.1,3.72,3.97,3.41,3.29,2.97,2.54,2.48,3.04",-0.3,0.3,1.5,"0.75,0,0.37,-0.26,0,0.33",-0.2,0.2,1,"3.41,3.29,2.97,2.54,2.48,3.04",-0.3,0.3,1,1,0.5,0.15,0.3,0,0.6,1,1,0.6,0.75,0,0.25,0.8,0.8,True,True,0.0662,EaseOutQuad,EaseOutQuad,1.2,1.2,1,1,False,0,0,0,0,0,1,0.05,0,0.5
突击步枪2-21,11171,WeaponRecoil_DFM,-1.336,-0.36,0.36,1,2.5,-1,1,1,0,"-1.67,-1.12,-1.3,0.68,-0.62,-0.43,1.42,1.43,1.05,1.12,1.18,1.55,1.55,1.42,0,0.68,0.87,-0.06,-0.93,-0.99,-1.12,-0.99,-1.8,0.75,0,0.37,-0.26,0,0.33",-0.2,0.2,0.9,"3.97,3.72,3.78,3.16,3.41,3.41,2.42,2.54,3.16,3.1,3.04,1.92,3.04,3.16,3.29,3.47,3.16,3.17,3.03,3.04,3.1,3.72,3.97,3.41,3.29,2.97,2.54,2.48,3.04",-0.3,0.3,0.9,"0.75,0,0.37,-0.26,0,0.33",-0.2,0.2,0.8,"3.41,3.29,2.97,2.54,2.48,3.04",-0.3,0.3,0.7,1,0.5,0.15,0.3,0,0.6,1,1,0.6,0.75,0,0.25,0.6,0.8,True,True,0.0662,EaseOutQuad,EaseOutQuad,1.2,1.2,1,1,False,0,0,0,0,0,1,0.05,0,0.5
突击步枪3-31_0,11243,WeaponRecoil_DFM,0.588,-0.1512,0.1512,1.5,2.394,-0.6156,0.6156,1.5,0,"1.14,1.13,1.14,0.72,0.51,0,-0.7,-1.9,-0.47,-0.95,-1.43,-1.9,-1.9,-1.9,-1.9,-1.9,-1.9,-1.23,-0.57,0,0,0.63,0.95,1.52,1.52,1.52,1.52,1.52,1.52",-0.13,0.13,1.5,"3.42,3.61,3.8,5.32,3.61,3.61,3.61,5.32,3.76,3.52,3.42,3.62,3.07,3.34,3.3,3.34,3.34,3.35,3.34,5.13,5.13,5.13,3.35,3.34,3.34,3.35,3.34,3.35,3.34",-0.35,0.35,1.4,"1.14,1.13,1.14,0.72,0.51,0,-0.7,-1.9,-0.47,-0.95,-1.43,-1.9,-1.9,-1.9,-1.9,-1.9,-1.9,-1.23,-0.57,0,0,0.63,0.95,1.52,1.52,1.52,1.52,1.52,1.52",-0.13,0.13,1,"3.42,3.61,3.8,5.32,3.61,3.61,3.61,5.32,3.76,3.52,3.42,3.62,3.07,3.34,3.3,3.34,3.34,3.35,3.34,5.13,5.13,5.13,3.35,3.34,3.34,3.35,3.34,3.35,3.34",-0.35,0.35,1.2,1,0.5,0.1,0.3,0,0,1,1,0.5,0.8,0,0,0.8,0.8,True,True,0.075,EaseOutQuad,EaseOutQuad,1.2,1.2,1,1,False,0,0,0,0,0,1,0.05,0,0.5
突击步枪3-3_0,11242,WeaponRecoil_DFM,0.588,-0.1512,0.1512,1,2.394,-0.6156,0.6156,1,0,"1.14,1.13,1.14,0.72,0.51,0,-0.7,-1.9,-0.47,-0.95,-1.43,-1.9,-1.9,-1.9,-1.9,-1.9,-1.9,-1.23,-0.57,0,0,0.63,0.95,1.52,1.52,1.52,1.52,1.52,1.52",-0.13,0.13,1,"3.42,3.61,3.8,5.32,3.61,3.61,3.61,5.32,3.76,3.52,3.42,3.62,3.07,3.34,3.3,3.34,3.34,3.35,3.34,5.13,5.13,5.13,3.35,3.34,3.34,3.35,3.34,3.35,3.34",-0.35,0.35,1.5,"1.52,1.52,1.52,1.52,1.52,1.52",-0.13,0.13,1,"3.34,3.34,3.35,3.34,3.35,3.34",-0.35,0.35,1,1,0.5,0.1,0.3,0,0,1,1,0.5,0.8,0,0,0.8,0.8,True,True,0.075,EaseOutQuad,EaseOutQuad,1.2,1.2,1,1,False,0,0,0,0,0,1,0.05,0,0.5
突击步枪1-1,11310,WeaponRecoil_DFM,-0.6363,-0.18,0.18,1,2.583,-0.738,0.738,1,0,"-0.909,-0.891,-0.909,-0.864,-0.864,-0.648,-0.648,-0.648,0.648,1.404,2.349,1.548,2.052,2.052,2.052,2.052,2.052,2.052,1.332,0.612,1.08,-1.08,1.08,-1.08,1.08,-1.08,1.08,-1.08,1.08																													",-0.12,0.12,1,"3.69,3.906,4.104,4.104,5.742,3.897,3.897,3.906,5.742,4.059,3.807,3.69,3.906,3.321,3.609,3.564,3.6,3.609,3.618,3.609,5.544,5.535,5.544,3.618,3.609,3.6,3.618,3.609,3.618																													",-0.4,0.4,1.25,"-1.2,1.2,-1.2,1.2,-1.2,1.2",-0.12,0.12,1,"4.02,4.01,4,4.02,4.01,4.02",-0.4,0.4,1,1,0.5,0.1,0.3,0,0,1,1,0.5,0.8,0,0,0.8,0.8,True,True,0.0949,EaseOutQuad,EaseOutQuad,1.2,1.2,1,1,False,0,0,0,0,0,1,0.05,0,0.5
突击步枪1-12,11311,WeaponRecoil_DFM,-0.6363,-0.18,0.18,1,2.583,-0.738,0.738,1,0,"-0.909,-0.891,-0.909,-0.864,-0.864,-0.648,-0.648,-0.648,0.648,1.404,2.349,1.548,2.052,2.052,2.052,2.052,2.052,2.052,1.332,0.612,1.08,-1.08,1.08,-1.08,1.08,-1.08,1.08,-1.08,1.08																													",-0.12,0.12,1.15,"3.69,3.906,4.104,4.104,5.742,3.897,3.897,3.906,5.742,4.059,3.807,3.69,3.906,3.321,3.609,3.564,3.6,3.609,3.618,3.609,5.544,5.535,5.544,3.618,3.609,3.6,3.618,3.609,3.618																													",-0.4,0.4,1.2,"-1.2,1.2,-1.2,1.2,-1.2,1.2",-0.12,0.12,1.15,"4.02,4.01,4,4.02,4.01,4.02",-0.4,0.4,0.7,1,0.5,0.1,0.3,0,0,1,1,0.5,0.8,0,0,0.8,0.8,True,True,0.0949,EaseOutQuad,EaseOutQuad,1.2,1.2,1,1,False,0,0,0,0,0,1,0.05,0,0.5
突击步枪1-2,11140,WeaponRecoil_DFM,1.4,-2,1,1,3.5,0,3,1,0,"1.2,0.2,-0.9,0,0.1,-0.2,-0.5,-0.1,0.3,-0.6,-0.3,-0.5,-0.2,-0.1,-0.7,2.28,2.28,2.28,1.48,0.68,1.2,-1.2,1.2,-1.2,1.2,-1.2,1.2,-1.2,1.2																													",0,1,1,"2.4,6,13.1,2.5,2.3,2.6,2.7,2.5,2.2,2.8,2.7,2.8,2.6,2.5,2.8,3.96,4,4.01,4.02,4.01,6.16,6.15,6.16,4.02,4.01,4,4.02,4.01,4.02																													",0,1,1.5,"0,0.2,0.2,-0.2,-0.1,0.1,-0.2,0.5,0.3,0.4,-0.7,0.2,0.2,0.2,-0.2",0,1,1,"2.4,2.3,2.3,2.6,2.5,2.4,2.6,1.9,2.2,2.1,2.8,2.3,2.2,2.3,2.6",0,1,1,1,0.5,0.1,0.3,0,0,1,1,0.5,0.8,0,0,0.8,0.8,True,True,0.067,EaseOutQuad,EaseOutQuad,1.2,1.2,1,1,False,0,0,0,0,0,1,0.05,0,0.5
突击步枪1-21,11141,WeaponRecoil_DFM,1.4,-2,1,1,4,0,3,1,0,"1.2,0.2,-0.9,0,0.1,-0.2,-0.5,-0.1,0.3,-0.6,-0.3,-0.5,-0.2,-0.1,-0.7,2.28,2.28,2.28,1.48,0.68,1.2,-1.2,1.2,-1.2,1.2,-1.2,1.2,-1.2,1.2																													",0,1,1,"2.4,6,13.1,2.5,2.3,2.6,2.7,2.5,2.2,2.8,2.7,2.8,2.6,2.5,2.8,3.96,4,4.01,4.02,4.01,6.16,6.15,6.16,4.02,4.01,4,4.02,4.01,4.02																													",0,1,1.5,"0,0.2,0.2,-0.2,-0.1,0.1,-0.2,0.5,0.3,0.4,-0.7,0.2,0.2,0.2,-0.2",0,1,1,"2.4,2.3,2.3,2.6,2.5,2.4,2.6,1.9,2.2,2.1,2.8,2.3,2.2,2.3,2.6",0,1,1,1,0.5,0.1,0.3,0,0,1,1,0.5,0.8,0,0,0.8,0.8,True,True,0.067,EaseOutQuad,EaseOutQuad,1.2,1.2,1,1,False,0,0,0,0,0,1,0.05,0,0.5
突击步枪1-3,11100,WeaponRecoil_DFM,0.84,-0.216,0.216,1,4.032,-1.3,1.3,1,0,"1.2,1.8,3,-4.8,-1.19,-3.13,-1.1,-3.24,-0.9,1,-0.9,1,0,0.72,1.44,3.6,2.16,2.16,2.16,2.16,2.16,2.16,2.16,-3,-1.39,-2.93,-1.26,-3.06,-1.65",-0.3,0.3,1,"5.76,5.76,6.72,5.55,4.96,4.64,4.9,4.7,8,8,8,8,8,7,5.4,4.8,4.8,4.8,4.5,4.5,4.5,4.5,4.5,4,5,5,5,5,5",-0.4,0.4,1.5,"2.16,2.16,2.16,2.16,2.16,-3,-1.39,-2.93,-1.26,-3.06,-1.65",-0.3,0.3,1,"4.5,4.5,4.5,4.5,4.5,4,5,5,5,5,5",-0.4,0.4,1,1,0.5,0.1,0.3,0,0,1,1,0.5,0.8,0,0,0.8,0.8,True,True,0.1126,EaseOutQuad,EaseOutQuad,1.2,1.2,1,1,False,0,0,0,0,0,1,0.05,0,0.5
突击步枪1-31,11101,WeaponRecoil_DFM,0.84,-0.216,0.216,1,4.032,-1.3,1.3,1,0,"-3.13,-1.1,-3.24,-0.9,1,-0.9,1,0,0.72,1.44,3.6,2.16,2.16,2.16,2.16,2.16,2.16,2.16,-3,-1.39,-2.93,-1.26,-3.06,-1.65",-0.3,0.3,0.7,"5.76,5.76,6.72,5.55,4.96,4.64,4.9,4.7,8,8,8,8,8,7,5.4,4.8,4.8,4.8,4.5,4.5,4.5,4.5,4.5,4,5,5,5,5,5",-0.4,0.4,1,"2.16,2.16,2.16,2.16,2.16,-3,-1.39,-2.93,-1.26,-3.06,-1.65",-0.3,0.3,0.5,"4.5,4.5,4.5,4.5,4.5,4,5,5,5,5,5",-0.4,0.4,0.6,1,0.5,0.1,0.3,0,0,1,1,0.5,0.8,0,0,0.8,0.8,True,True,0.1126,EaseOutQuad,EaseOutQuad,1.2,1.2,1,1,False,0,0,0,0,0,1,0.05,0,0.5
战斗步枪4-1,11120,WeaponRecoil_DFM,-1.2,-2.5,2.5,1,7.2,0,2,1,0,"-1.5,-1.5,-1.5,-1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5",-2.5,2.5,1,"7.5,7.5,7.2,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5",0,2,1.5,"1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5",-2.5,2.5,1,"6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5",0,2,1,1,0.5,0.15,0.3,0,0,1,1,0.6,0.75,0,0,0.8,0.8,True,True,0.12,EaseOutExpo,EaseOutExpo,1.2,1.2,1,1,False,0,0,0,0,0,1,0.05,0,0.5
战斗步枪4-11,11121,WeaponRecoil_DFM,-1.2,-2.5,2.5,1,1.3,0,2,1,0,"-1.5,-1.5,-1.5,-1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5",-2.5,2.5,1.4,"6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5",0,2,1.3,"1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5",-2.5,2.5,1.4,"6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5",0,2,1,1,0.5,0.2,0.35,0,0,1,1,0.6,0.75,0,0,0.8,1,True,True,0.12,EaseOutExpo,EaseOutExpo,1.2,1.2,1,1,False,0,0,0,0,0,1,0.05,0,0.5
NewRow_6,111201,WeaponRecoil_DFM,-1.2,-2.5,2.5,1,7.2,0,2,1,0,"-1.5,-1.5,-1.5,-1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5",-1.5,1.5,1,"6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5",0,2,1,"1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5",-2.5,2.5,1,"6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5",0,2,1,1,0.5,0.15,0.3,0,0,1,1,0.6,0.75,0,0,0.8,0.8,True,True,0.12,EaseOutExpo,EaseOutExpo,1.2,1.2,1,1,False,0,0,0,0,0,1,0.05,0,0.5
NewRow_5,111211,WeaponRecoil_DFM,-1.2,-2.5,2.5,1,1.3,0,2,1,0,"-1.5,-1.5,-1.5,-1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5",-1.5,1.5,1,"6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5",0,2,1,"1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5",-2.5,2.5,1,"6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5",0,2,1,1,0.5,0.2,0.35,0,0,1,1,0.6,0.75,0,0,0.8,1,True,True,0.12,EaseOutExpo,EaseOutExpo,1.2,1.2,1,1,False,0,0,0,0,0,1,0.05,0,0.5
【正式武器】突击步枪4-2-0,11160,WeaponRecoil_DFM,0.63,-0.189,0.189,1,3.5,-0.5,0.5,1,0,"0.9,0.9,0.9,-2.25,-2.25,-1.62,-1.62,-1.62,-1.62,-1.62,-1.62,2.25,1.62,1.62,1.62,1.62,1.62,-2.25,-1.62",-0.2,0.2,1,"5,6.3,5.4,8.1,6.3,5.4,4.05,3.6,4.95,5.4,4.05,6.3,3.6,4.5,4.95,4.05,3.78,4.14,4.05",-0.4,0.4,1.5,"-1.62,-1.62,-1.62,-1.62,2.25,1.62,1.62,1.62,1.62,1.62",-0.2,0.2,1,"5.4,4.05,6.3,3.6,4.5,4.95,4.05,3.78,4.14,4.05",-0.4,0.4,1,1,0.5,0.1,0.3,0,0,1,1,0.5,0.8,0,0,0.8,0.8,True,True,0.0924,EaseOutExpo,EaseOutExpo,1.2,1.2,1,1,False,0,0,0,0,0,1,0.05,0,0.5
【正式武器】突击步枪4-2-1,11161,WeaponRecoil_DFM,0.63,-0.189,0.189,1,6,-0.5,0.5,1,0,"0.9,0.9,0.9,-2.25,-2.25,-1.62,-1.62,-1.62,-1.62,-1.62,-1.62,2.25,1.62,1.62,1.62,1.62,1.62,-2.25,-1.62",-0.2,0.2,1.05,"3.8,5.4,8.1,6.3,5.4,4.05,3.6,4.95,5.4,4.05,6.3,3.6,4.5,4.95,4.05,3.78,4.14,4.05",-0.2,0.2,1.65,"-1.62,-1.62,-1.62,-1.62,2.25,1.62,1.62,1.62,1.62,1.62",-0.2,0.2,1.05,"5.4,4.05,6.3,3.6,4.5,4.95,4.05,3.78,4.14,4.05",-0.2,0.2,1.1,1,0.5,0.1,0.3,0,0,1,1,0.5,0.8,0,0,0.6,0.8,True,True,0.0924,EaseOutExpo,EaseOutExpo,1.2,1.2,1,1,True,-0.1,0.2,0.1,0.2,0.036,1,0.036,0.15,0.5
【正式武器】突击步枪4-8-0,11450,WeaponRecoil_DFM,0,0,0,1,2.22,-0.5724,0.5724,1,0,"1.0,1.1,1.2,1.3,1.4,1.5,1.6,1.8,1.93,2.07,2.2,-2.3,-2.47,-2.63,-2.8,2.9,3.05,3.2,3.35,3.5,-3.6,-3.77,-3.95,-4.12,-4.3,4.4,4.55,4.7,4.85,5.0",-0.25,0.25,0.85,"3.8,3.86,3.92,3.98,4.04,4.1,4.16,4.2,4.23,4.28,4.35,4.44,4.54,4.65,4.78,4.91,5.06,5.22,5.39,5.56,5.75,5.95,6.15,6.36,6.58,6.81,7.05,7.29,7.54,7.8",-0.2,0.2,0.9,"5.0,5.0,5.0,5.0,5.0,-5.0,-5.0,-5.0,-5.0,-5.0",-0.2,0.2,0.85,"7.8,7.9,7.8,8.0,7.8,7.9,7.8,8.0,7.8,7.9",-0.4,0.4,0.9,1,0.5,0.1,0.3,0,0,1,1,0.5,0.8,0,0,0.8,1,True,True,0.0668,EaseOutQuad,EaseOutQuad,1,1,1.2,1.2,False,0,0,0,0,0,1,0.05,0,0.5
【正式武器】突击步枪4-8-1,11451,WeaponRecoil_DFM,0,0,0,1,2.22,-0.5724,0.5724,1,0,"1.0,1.1,1.2,1.3,1.4,1.5,1.6,1.8,1.93,2.07,2.2,-2.3,-2.47,-2.63,-2.8,2.9,3.05,3.2,3.35,3.5,-3.6,-3.77,-3.95,-4.12,-4.3,4.4,4.55,4.7,4.85,5.0",-0.25,0.25,0.85,"3.8,3.86,3.92,3.98,4.04,4.1,4.16,4.2,4.23,4.28,4.35,4.44,4.54,4.65,4.78,4.91,5.06,5.22,5.39,5.56,5.75,5.95,6.15,6.36,6.58,6.81,7.05,7.29,7.54,7.8",-0.2,0.2,0.9,"5.0,5.0,5.0,5.0,5.0,-5.0,-5.0,-5.0,-5.0,-5.0",-0.2,0.2,0.85,"7.8,7.9,7.8,8.0,7.8,7.9,7.8,8.0,7.8,7.9",-0.4,0.4,0.9,1,0.5,0.1,0.3,0,0,1,1,0.5,0.8,0,0,0.8,1,True,True,0.0668,EaseOutQuad,EaseOutQuad,1,1,1.2,1.2,False,0,0,0,0,0,1,0.05,0,0.5
战斗步枪3-1,15050,WeaponRecoil_DFM,2.835,-1.5,-0.5,1,3.33,-1,1,1,0,"3.5,2.97,1.98,-2.88,-2.88,-2.88,1.8,1.8,-1.17,-2.7,1.98,1.98,1.98,2.97,-1.53,1.98,1.98,1.98,1.98",-0.4,0.4,1.3,"10,10,9.5,9.2,8.21,7.42,6.77,5.77,5.96,5.3,4.96,4.5,3.5,2.97,3.4,4.5,3.96,3.5,3.96",-0.8,0.8,1.7,"1.98,1.98,1.98,1.98",-0.2,0.2,1,"4.5,3.96,4.5,3.96",-0.5,0.5,1,1,0.5,0.1,0.3,0,0,1,1,0.5,0.8,0,0,0.8,0.8,True,True,0.0825,EaseOutExpo,EaseOutExpo,1.2,1.2,1,1,False,0,0,0,0,0,1,0.05,0,0.5
战斗步枪3-11,15051,WeaponRecoil_DFM,2.835,-1.5,-0.5,1,3.33,-1,1,1,0,"3.5,2.97,1.98,-2.88,-2.88,-2.88,1.8,1.8,-1.17,-2.7,1.98,1.98,1.98,2.97,-1.53,1.98,1.98,1.98,1.98",-0.4,0.4,1.3,"10,10,9.5,9.2,8.21,7.42,6.77,5.77,5.96,5.3,4.96,4.5,3.5,2.97,3.4,4.5,3.96,3.5,3.96",-0.8,0.8,1.7,"1.98,1.98,1.98,1.98",-0.2,0.2,1.05,"4.5,3.96,4.5,3.96",-0.5,0.5,1.65,1,0.5,0.1,0.3,0,0,1,1,0.5,0.8,0,0,0.8,0.8,True,True,0.0825,EaseOutExpo,EaseOutExpo,1.2,1.2,1,1,False,0,0,0,0,0,1,0.05,0,0.5
战斗步枪3-2,11210,WeaponRecoil_DFM,-0.756945,-0.2835,0.2835,1,3.03,-0.5,0,1,0,"-1.08135,-1.08135,2.1627,1.80225,1.4418,1.4418,1.4418,-1.80225,-1.80225,-1.29762,-1.29762,1.29762,1.29762,-1.29762,1.29762,1.29762,1.29762,-1.29762,-1.29762																																																				",-0.2,0.2,0.8,"5,5.40675,6.4881,5.7672,4.75794,4.75794,4.75794,6.63228,5.0463,3.6045,3.6045,3.6045,3.6045,5.0463,3.6045,3.6045,3.6045,5.0463,3.6045																		",-0.45,0.45,1.3,"1.62,1.62,1.62,1.62,-1.62,-1.62",-0.2,0.2,0.8,"5.4,4.05,4.05,4.05,5.4,4.05",-0.45,0.45,0.8,1,0.5,0.1,0.3,0,0,1,1,0.5,0.8,0,0,0.8,0.8,True,True,0.1026,EaseOutExpo,EaseOutExpo,1.2,1.2,1,1,False,0,0,0,0,0,1,0.05,0,0.5
