---,BulletId,InitSpeedFor1P,InitSpeedFor3P,ZeroGravityDistance,AirDragFactor,GravityParam,FlyMode,Radius,MaxDistance,ValidDistance,AttenModes,AttenDistances,AttenRates,SpeedInWaterFactor,WaterDragFactor,bSupportPenetrating,PenetratingPow,bSupportPenetratingWater,bDetectByAPS,BulletBPClass
射手步枪3-3,1508,55000,55000,5000,0,9.8,PhysicSimulate,1,100000,9000,(BlendMode_Dest),(100000),(0.85),0.5,0,False,100,True,False,/Game/BluePrints/Weapons/Common/Bullet/Projectile/WeaponPhysicsBulletReal_BP.WeaponPhysicsBulletReal_BP_C
射手步枪2-1,1503,33000,33000,5000,0,6,PhysicSimulate,1,100000,12000,(BlendMode_Dest),(100000),(0.85),0.5,0,False,100,True,False,/Game/BluePrints/Weapons/Common/Bullet/Projectile/WeaponPhysicsBulletReal_BP.WeaponPhysicsBulletReal_BP_C
射手步枪2-2,1502,65000,65000,5000,0,9.8,PhysicSimulate,1,100000,9000,(BlendMode_Dest),(100000),(0.85),0.5,0,False,100,True,False,/Game/BluePrints/Weapons/Common/Bullet/Projectile/WeaponPhysicsBulletReal_BP.WeaponPhysicsBulletReal_BP_C
射手步枪2-3_1,15321,75000,75000,6000,0,9.8,PhysicSimulate,1,100000,2000,"(BlendMode_Dest,BlendMode_Dest)","(4000,100000)","(0.9,0.75)",0.5,0,False,100,True,False,/Game/BluePrints/Weapons/Common/Bullet/Projectile/WeaponPhysicsBulletReal_BP.WeaponPhysicsBulletReal_BP_C
射手步枪2-3,1532,75000,75000,6000,0,9.8,PhysicSimulate,1,100000,3000,"(BlendMode_Dest,BlendMode_Dest)","(5000,100000)","(0.9,0.75)",0.5,0,False,100,True,False,/Game/BluePrints/Weapons/Common/Bullet/Projectile/WeaponPhysicsBulletReal_BP.WeaponPhysicsBulletReal_BP_C
射手步枪4-1_1,15071,90000,90000,7000,0,9.8,PhysicSimulate,1,100000,11700,(BlendMode_Dest),(100000),(0.85),0.5,0,False,100,True,False,/Game/BluePrints/Weapons/Common/Bullet/Projectile/WeaponPhysicsBulletReal_BP.WeaponPhysicsBulletReal_BP_C
射手步枪4-1_2,15072,75000,75000,6000,0,9.8,PhysicSimulate,1,100000,10600,(BlendMode_Dest),(100000),(0.85),0.5,0,False,100,True,False,/Game/BluePrints/Weapons/Common/Bullet/Projectile/WeaponPhysicsBulletReal_BP.WeaponPhysicsBulletReal_BP_C
射手步枪4-1_3,15073,62500,62500,6000,0,9.8,PhysicSimulate,1,100000,5000,"(BlendMode_Dest,BlendMode_Dest)","(8000,100000)","(0.85,0.7)",0.5,0,False,100,True,False,/Game/BluePrints/Weapons/Common/Bullet/Projectile/WeaponPhysicsBulletReal_BP.WeaponPhysicsBulletReal_BP_C
射手步枪1-1,1509,55000,55000,5000,0,9.8,PhysicSimulate,1,100000,9000,(BlendMode_Dest),(100000),(0.85),0.5,0,False,100,True,False,/Game/BluePrints/Weapons/Common/Bullet/Projectile/WeaponPhysicsBulletReal_BP.WeaponPhysicsBulletReal_BP_C
轻机枪4-1,1403,63000,63000,2500,0,9.8,PhysicSimulate,1,50000,4000,"(BlendMode_Dest,BlendMode_Dest)","(7000,100000)","(0.85,0.7)",0.5,0,False,100,True,False,/Game/BluePrints/Weapons/Common/Bullet/Projectile/WeaponPhysicsBulletReal_BP.WeaponPhysicsBulletReal_BP_C
轻机枪3-1,1402,57500,57500,2500,0,9.8,PhysicSimulate,1,100000,4000,"(BlendMode_Dest,BlendMode_Dest)","(7000,100000)","(0.85,0.7)",0.5,0,False,100,True,False,/Game/BluePrints/Weapons/Common/Bullet/Projectile/WeaponPhysicsBulletReal_BP.WeaponPhysicsBulletReal_BP_C
轻机枪3-2,1401,63000,63000,2500,0,9.8,PhysicSimulate,1,100000,4000,"(BlendMode_Dest,BlendMode_Dest)","(7000,100000)","(0.85,0.7)",0.5,0,False,100,True,False,/Game/BluePrints/Weapons/Common/Bullet/Projectile/WeaponPhysicsBulletReal_BP.WeaponPhysicsBulletReal_BP_C
轻机枪3-4,1404,57500,57500,2500,0,9.8,PhysicSimulate,1,100000,4000,"(BlendMode_Dest,BlendMode_Dest)","(7000,100000)","(0.85,0.7)",0.5,0,False,100,True,False,/Game/BluePrints/Weapons/Common/Bullet/Projectile/WeaponPhysicsBulletReal_BP.WeaponPhysicsBulletReal_BP_C
冲锋枪4-1,1203,50000,50000,2500,0,9.8,PhysicSimulate,1,100000,2000,"(BlendMode_Dest,BlendMode_Dest,BlendMode_Dest,BlendMode_Dest)","(2700,4000,5500,100000)","(0.75,0.65,0.55,0.45)",0.5,0,False,100,True,False,/Game/BluePrints/Weapons/Common/Bullet/Projectile/WeaponPhysicsBulletReal_BP.WeaponPhysicsBulletReal_BP_C
冲锋枪3-1,1202,45000,45000,2500,0,9.8,PhysicSimulate,1,100000,2000,"(BlendMode_Dest,BlendMode_Dest,BlendMode_Dest,BlendMode_Dest)","(2700,4000,5500,100000)","(0.75,0.65,0.55,0.45)",0.5,0,False,100,True,False,/Game/BluePrints/Weapons/Common/Bullet/Projectile/WeaponPhysicsBulletReal_BP.WeaponPhysicsBulletReal_BP_C
冲锋枪3-2,1208,33000,33000,2500,0,9.8,PhysicSimulate,1,100000,1500,"(BlendMode_Dest,BlendMode_Dest)","(3100,100000)","(0.75,0.65)",0.5,0,False,100,True,False,/Game/BluePrints/Weapons/Common/Bullet/Projectile/WeaponPhysicsBulletReal_BP.WeaponPhysicsBulletReal_BP_C
冲锋枪2-1,1206,50000,50000,2500,0,9.8,PhysicSimulate,1,100000,2700,"(BlendMode_Dest,BlendMode_Dest,BlendMode_Dest)","(5400,9000,100000)","(0.75,0.65,0.55)",0.5,0,False,100,True,False,/Game/BluePrints/Weapons/Common/Bullet/Projectile/WeaponPhysicsBulletReal_BP.WeaponPhysicsBulletReal_BP_C
冲锋枪2-2,1201,45000,45000,2500,0,9.8,PhysicSimulate,1,100000,2000,"(BlendMode_Dest,BlendMode_Dest,BlendMode_Dest,BlendMode_Dest)","(2700,4000,5500,100000)","(0.75,0.65,0.55,0.45)",0.5,0,False,100,True,False,/Game/BluePrints/Weapons/Common/Bullet/Projectile/WeaponPhysicsBulletReal_BP.WeaponPhysicsBulletReal_BP_C
冲锋枪2-3,1209,50000,50000,2500,0,9.8,PhysicSimulate,1,100000,2000,"(BlendMode_Dest,BlendMode_Dest,BlendMode_Dest,BlendMode_Dest)","(2700,4000,5500,100000)","(0.7,0.6,0.5,0.4)",0.5,0,False,100,True,False,/Game/BluePrints/Weapons/Common/Bullet/Projectile/WeaponPhysicsBulletReal_BP.WeaponPhysicsBulletReal_BP_C
【正式武器】冲锋枪2-4,1210,45000,45000,2500,0,9.8,PhysicSimulate,1,100000,2000,"(BlendMode_Dest,BlendMode_Dest,BlendMode_Dest)","(2700,4000,100000)","(0.75,0.65,0.55)",0.5,0,False,100,True,False,/Game/BluePrints/Weapons/Common/Bullet/Projectile/WeaponPhysicsBulletReal_BP.WeaponPhysicsBulletReal_BP_C
【正式武器】冲锋枪2-4-1,12101,45000,45000,2500,0,9.8,PhysicSimulate,1,100000,1200,"(BlendMode_Dest,BlendMode_Dest,BlendMode_Dest)","(1800,2400,100000)","(0.85,0.8,0.55)",0.5,0,False,100,True,False,/Game/BluePrints/Weapons/Common/Bullet/Projectile/WeaponPhysicsBulletReal_BP.WeaponPhysicsBulletReal_BP_C
冲锋枪2-5,1211,45000,45000,2500,0,9.8,PhysicSimulate,1,100000,2000,"(BlendMode_Dest,BlendMode_Dest,BlendMode_Dest,BlendMode_Dest)","(2700,4000,5500,100000)","(0.75,0.65,0.55,0.45)",0.5,0,False,100,True,False,/Game/BluePrints/Weapons/Common/Bullet/Projectile/WeaponPhysicsBulletReal_BP.WeaponPhysicsBulletReal_BP_C
冲锋枪1-1,1204,45000,45000,2500,0,9.8,PhysicSimulate,1,100000,2000,"(BlendMode_Dest,BlendMode_Dest,BlendMode_Dest,BlendMode_Dest)","(2700,4000,5500,100000)","(0.75,0.65,0.55,0.45)",0.5,0,False,100,True,False,/Game/BluePrints/Weapons/Common/Bullet/Projectile/WeaponPhysicsBulletReal_BP.WeaponPhysicsBulletReal_BP_C
冲锋枪1-2,1205,50000,50000,2500,0,9.8,PhysicSimulate,1,100000,2000,"(BlendMode_Dest,BlendMode_Dest,BlendMode_Dest,BlendMode_Dest)","(2700,4000,5500,100000)","(0.75,0.65,0.55,0.45)",0.5,0,False,100,True,False,/Game/BluePrints/Weapons/Common/Bullet/Projectile/WeaponPhysicsBulletReal_BP.WeaponPhysicsBulletReal_BP_C
【正式武器】狙击步枪4-1,1611,75000,75000,5000,0,9.8,PhysicSimulate,1,100000,60000,(),(),(),0.5,0,False,100,True,False,/Game/BluePrints/Weapons/Common/Bullet/Projectile/WeaponPhysicsBulletReal_BP.WeaponPhysicsBulletReal_BP_C
【正式武器】狙击步枪4-2,1633,52500,52500,5000,0,9.8,PhysicSimulate,1,100000,60000,(),(),(),0.5,0,False,100,True,False,/Game/BluePrints/Weapons/Common/Bullet/Projectile/WeaponPhysicsBulletReal_BP.WeaponPhysicsBulletReal_BP_C
狙击步枪3-1,1609,65000,65000,5000,0,9.8,PhysicSimulate,1,100000,50000,(),(),(),0.5,0,False,100,True,False,/Game/BluePrints/Weapons/Common/Bullet/Projectile/WeaponPhysicsBulletReal_BP.WeaponPhysicsBulletReal_BP_C
狙击步枪2-1,1608,55000,55000,5000,0,9.8,PhysicSimulate,1,100000,50000,(),(),(),0.5,0,False,100,True,False,/Game/BluePrints/Weapons/Common/Bullet/Projectile/WeaponPhysicsBulletReal_BP.WeaponPhysicsBulletReal_BP_C
狙击步枪2-2,1607,65000,65000,5000,0,9.8,PhysicSimulate,1,100000,50000,(),(),(),0.5,0,False,100,True,False,/Game/BluePrints/Weapons/Common/Bullet/Projectile/WeaponPhysicsBulletReal_BP.WeaponPhysicsBulletReal_BP_C
霰弹枪3-1,1302,30000,30000,0,0,9.8,PhysicSimulate,1,50000,5000,(BlendMode_Dest),(100000),(0.8),0.5,0,False,100,True,False,/Game/BluePrints/Weapons/Common/Bullet/Projectile/WeaponPhysicsBulletReal_BP.WeaponPhysicsBulletReal_BP_C
霰弹枪3-1-1,3001,30000,30000,0,0,9.8,PhysicSimulate,1,50000,2000,"(BlendMode_Dest,BlendMode_Dest)","(4000,100000)","(0.9,0.8)",0.5,0,False,100,True,False,/Game/BluePrints/Weapons/Common/Bullet/Projectile/WeaponPhysicsBulletReal_BP.WeaponPhysicsBulletReal_BP_C
霰弹枪2-1,1301,45000,45000,0,0,9.8,PhysicSimulate,1,50000,5000,(BlendMode_Dest),(100000),(0.8),0.5,0,False,100,True,False,/Game/BluePrints/Weapons/Common/Bullet/Projectile/WeaponPhysicsBulletReal_BP.WeaponPhysicsBulletReal_BP_C
霰弹枪2-2,1305,40000,40000,0,0,9.8,PhysicSimulate,1,50000,5000,(BlendMode_Dest),(100000),(0.8),0.5,0,False,100,True,False,/Game/BluePrints/Weapons/Common/Bullet/Projectile/WeaponPhysicsBulletReal_BP.WeaponPhysicsBulletReal_BP_C
霰弹枪1-1,1304,40000,40000,0,0,9.8,PhysicSimulate,1,50000,5000,(BlendMode_Dest),(100000),(0.8),0.5,0,False,100,True,False,/Game/BluePrints/Weapons/Common/Bullet/Projectile/WeaponPhysicsBulletReal_BP.WeaponPhysicsBulletReal_BP_C
手枪2-1,1705,40000,40000,2500,0,9.8,PhysicSimulate,1,50000,1000,"(BlendMode_Dest,BlendMode_Dest,BlendMode_Dest)","(2000,3000,60000)","(0.85,0.7,0.6)",0.5,0,False,100,True,False,/Game/BluePrints/Weapons/Common/Bullet/Projectile/WeaponPhysicsBulletReal_BP.WeaponPhysicsBulletReal_BP_C
手枪2-2,1703,34000,34000,2500,0,9.8,PhysicSimulate,1,50000,3500,(BlendMode_Dest),(100000),(0.8),0.5,0,False,100,True,False,/Game/BluePrints/Weapons/Common/Bullet/Projectile/WeaponPhysicsBulletReal_BP.WeaponPhysicsBulletReal_BP_C
手枪2-3,1704,34000,34000,2500,0,9.8,PhysicSimulate,1,50000,1500,"(BlendMode_Dest,BlendMode_Dest)","(3000,60000)","(0.85,0.6)",0.5,0,False,100,True,False,/Game/BluePrints/Weapons/Common/Bullet/Projectile/WeaponPhysicsBulletReal_BP.WeaponPhysicsBulletReal_BP_C
手枪2-4,1706,40000,40000,2500,0,9.8,PhysicSimulate,1,50000,2200,"(BlendMode_Dest,BlendMode_Dest)","(4400,60000)","(0.8,0.65)",0.5,0,False,100,True,False,/Game/BluePrints/Weapons/Common/Bullet/Projectile/WeaponPhysicsBulletReal_BP.WeaponPhysicsBulletReal_BP_C
手枪2-5,1702,40000,40000,2500,0,9.8,PhysicSimulate,1,50000,2700,"(BlendMode_Dest,BlendMode_Dest)","(5400,60000)","(0.75,0.6)",0.5,0,False,100,True,False,/Game/BluePrints/Weapons/Common/Bullet/Projectile/WeaponPhysicsBulletReal_BP.WeaponPhysicsBulletReal_BP_C
手枪1-1,1710,40000,40000,2500,0,9.8,PhysicSimulate,1,50000,2700,"(BlendMode_Dest,BlendMode_Dest)","(5400,60000)","(0.75,0.6)",0.5,0,False,100,True,False,/Game/BluePrints/Weapons/Common/Bullet/Projectile/WeaponPhysicsBulletReal_BP.WeaponPhysicsBulletReal_BP_C
特殊武器3_1,11501,30000,30000,1500,0,9.8,PhysicSimulate,1,100000,6500,(BlendMode_Dest),(100000),(0.9),0.5,0,False,100,True,False,/Game/BluePrints/Weapons/Common/Bullet/Projectile/WeaponBullet_CBow.WeaponBullet_CBow_C
15,1122,80000,80000,0,0.0012,9.8,PhysicSimulate,1,50000,10000,(),(),(),0.5,0,False,100,True,False,/Game/BluePrints/Weapons/Common/Bullet/Projectile/WeaponPhysicsBulletReal_BP.WeaponPhysicsBulletReal_BP_C
23,1207,80000,80000,0,0.0012,9.8,PhysicSimulate,1,50000,800,"(BlendMode_Dest,BlendMode_Dest,BlendMode_Dest)","(2100,4200,300000)","(0.792,0.667,0.4)",0.5,0,False,100,True,False,/Game/BluePrints/Weapons/Common/Bullet/Projectile/WeaponPhysicsBulletReal_BP.WeaponPhysicsBulletReal_BP_C
突击步枪？？,1111,55000,55000,0,0,9.8,PhysicSimulate,1,50000,4300,"(BlendMode_Dest,BlendMode_Dest,BlendMode_Dest)","(5460,7000,300000)","(0.8,0.75,0.65)",0.5,0,False,100,True,False,/Game/BluePrints/Weapons/Common/Bullet/Projectile/WeaponPhysicsBulletReal_BP.WeaponPhysicsBulletReal_BP_C
32,1499,80000,80000,0,0.0012,9.8,PhysicSimulate,1,50000,1500,"(BlendMode_Dest,BlendMode_Dest)","(5600,300000)","(0.75,0.594)",0.5,0,False,100,True,False,/Game/BluePrints/Weapons/Common/Bullet/Projectile/WeaponPhysicsBulletReal_BP.WeaponPhysicsBulletReal_BP_C
33,1405,80000,80000,0,0.0012,9.8,PhysicSimulate,1,50000,2200,"(BlendMode_Dest,BlendMode_Dest)","(7000,300000)","(0.792,0.667)",0.5,0,False,100,True,False,/Game/BluePrints/Weapons/Common/Bullet/Projectile/WeaponPhysicsBulletReal_BP.WeaponPhysicsBulletReal_BP_C
34,1406,80000,80000,0,0.0012,9.8,PhysicSimulate,1,50000,7500,(BlendMode_Dest),(),(),0.5,0,False,100,True,False,/Game/BluePrints/Weapons/Common/Bullet/Projectile/WeaponPhysicsBulletReal_BP.WeaponPhysicsBulletReal_BP_C
45,1610,80000,80000,0,0.0012,9.8,PhysicSimulate,1,50000,3000,(BlendMode_Dest),(),(),0.5,0,False,100,True,False,/Game/BluePrints/Weapons/Common/Bullet/Projectile/WeaponPhysicsBulletReal_BP.WeaponPhysicsBulletReal_BP_C
47,1612,80000,80000,0,0.0012,9.8,PhysicSimulate,1,50000,15000,(BlendMode_Dest),(),(),0.5,0,False,100,True,False,/Game/BluePrints/Weapons/Common/Bullet/Projectile/WeaponPhysicsBulletReal_BP.WeaponPhysicsBulletReal_BP_C
53,1707,80000,80000,0,0.0012,9.8,PhysicSimulate,1,50000,1500,"(BlendMode_Dest,BlendMode_Dest,BlendMode_Dest)","(4200,7000,300000)","(0.706,0.471,0.4)",0.5,0,False,100,True,False,/Game/BluePrints/Weapons/Common/Bullet/Projectile/WeaponPhysicsBulletReal_BP.WeaponPhysicsBulletReal_BP_C
手枪2-6,1708,40000,40000,0,0.0012,9.8,PhysicSimulate,1,50000,1500,"(BlendMode_Dest,BlendMode_Dest,BlendMode_Dest)","(2500,3500,300000)","(0.75,0.6,0.5)",0.5,0,False,100,True,False,/Game/BluePrints/Weapons/Common/Bullet/Projectile/WeaponPhysicsBulletReal_BP.WeaponPhysicsBulletReal_BP_C
55,1709,80000,80000,0,0.0012,9.8,PhysicSimulate,1,50000,3000,"(BlendMode_Dest,BlendMode_Dest,BlendMode_Dest)","(7000,10500,300000)","(0.572,0.453,0.3)",0.5,0,False,100,True,False,/Game/BluePrints/Weapons/Common/Bullet/Projectile/WeaponPhysicsBulletReal_BP.WeaponPhysicsBulletReal_BP_C
