RowName,HitPartDistanceConf,RowDescription
Boss_Warder,"(DistanceLess=2000, ProbabilityList=(BodyPart=ECharacterPart::Head, Weight=10); (BodyPart=ECharacterPart::Thorax, Weight=10); (BodyPart=ECharacterPart::RightArm, Weight=2); (BodyPart=ECharacterPart::LeftArm, Weight=2); (BodyPart=ECharacterPart::RightLeg, Weight=2); (BodyPart=ECharacterPart::LeftLeg, Weight=2); (BodyPart=ECharacterPart::Abdomen, Weight=10)); (DistanceLess=4000, ProbabilityList=(BodyPart=ECharacterPart::Head, Weight=10); (BodyPart=ECharacterPart::Thorax, Weight=10); (BodyPart=ECharacterPart::RightArm, Weight=3); (BodyPart=ECharacterPart::LeftArm, Weight=3); (BodyPart=ECharacterPart::RightLeg, Weight=3); (BodyPart=ECharacterPart::LeftLeg, Weight=3); (BodyPart=ECharacterPart::Abdomen, Weight=10)); (DistanceLess=15000, ProbabilityList=(BodyPart=ECharacterPart::Head, Weight=5); (BodyPart=ECharacterPart::Thorax, Weight=10); (BodyPart=ECharacterPart::RightArm, Weight=2); (BodyPart=ECharacterPart::LeftArm, Weight=2); (BodyPart=ECharacterPart::RightLeg, Weight=2); (BodyPart=ECharacterPart::LeftLeg, Weight=2); (BodyPart=ECharacterPart::Abdomen, Weight=10))",None
Raven,"(DistanceLess=5000, ProbabilityList=(BodyPart=ECharacterPart::Head, Weight=2000); (BodyPart=ECharacterPart::Thorax, Weight=6000); (BodyPart=ECharacterPart::Abdomen, Weight=2000); (BodyPart=ECharacterPart::RightArm, Weight=1); (BodyPart=ECharacterPart::LeftArm, Weight=1); (BodyPart=ECharacterPart::RightLeg, Weight=1); (BodyPart=ECharacterPart::LeftLeg, Weight=1)); (DistanceLess=20000, ProbabilityList=(BodyPart=ECharacterPart::Head, Weight=1); (BodyPart=ECharacterPart::Thorax, Weight=999); (BodyPart=ECharacterPart::Abdomen, Weight=1); (BodyPart=ECharacterPart::RightArm, Weight=1); (BodyPart=ECharacterPart::LeftArm, Weight=1); (BodyPart=ECharacterPart::RightLeg, Weight=1); (BodyPart=ECharacterPart::LeftLeg, Weight=1))",None
Toturial,"(DistanceLess=20000, ProbabilityList=(BodyPart=ECharacterPart::Head, Weight=0); (BodyPart=ECharacterPart::Thorax, Weight=50); (BodyPart=ECharacterPart::RightArm, Weight=0); (BodyPart=ECharacterPart::LeftArm, Weight=0); (BodyPart=ECharacterPart::RightLeg, Weight=0); (BodyPart=ECharacterPart::LeftLeg, Weight=0); (BodyPart=ECharacterPart::Abdomen, Weight=50))",None
Henc,"(DistanceLess=15000, ProbabilityList=(BodyPart=ECharacterPart::Head, Weight=5); (BodyPart=ECharacterPart::Thorax, Weight=50); (BodyPart=ECharacterPart::RightArm, Weight=5); (BodyPart=ECharacterPart::LeftArm, Weight=5); (BodyPart=ECharacterPart::RightLeg, Weight=5); (BodyPart=ECharacterPart::LeftLeg, Weight=5); (BodyPart=ECharacterPart::Abdomen, Weight=25))",None
Warder_BlaskShield,"(DistanceLess=20000, ProbabilityList=(BodyPart=ECharacterPart::Head, Weight=70); (BodyPart=ECharacterPart::Thorax, Weight=6); (BodyPart=ECharacterPart::Abdomen, Weight=6); (BodyPart=ECharacterPart::RightArm, Weight=6); (BodyPart=ECharacterPart::LeftArm, Weight=6); (BodyPart=ECharacterPart::RightLeg, Weight=6); (BodyPart=ECharacterPart::LeftLeg, Weight=6))",None
Shark,"(DistanceLess=20000, ProbabilityList=(BodyPart=ECharacterPart::Head, Weight=0); (BodyPart=ECharacterPart::Thorax, Weight=0); (BodyPart=ECharacterPart::Abdomen, Weight=0); (BodyPart=ECharacterPart::RightArm, Weight=0); (BodyPart=ECharacterPart::LeftArm, Weight=0); (BodyPart=ECharacterPart::RightLeg, Weight=50); (BodyPart=ECharacterPart::LeftLeg, Weight=50))",None
Hudson,"(DistanceLess=50000, ProbabilityList=(BodyPart=ECharacterPart::Head, Weight=50000); (BodyPart=ECharacterPart::Thorax, Weight=50000); (BodyPart=ECharacterPart::Abdomen, Weight=0); (BodyPart=ECharacterPart::RightArm, Weight=1); (BodyPart=ECharacterPart::LeftArm, Weight=1); (BodyPart=ECharacterPart::RightLeg, Weight=1); (BodyPart=ECharacterPart::LeftLeg, Weight=1))",None
Hudson_Foot,"(DistanceLess=50000, ProbabilityList=(BodyPart=ECharacterPart::Head, Weight=50000); (BodyPart=ECharacterPart::Thorax, Weight=0); (BodyPart=ECharacterPart::Abdomen, Weight=0); (BodyPart=ECharacterPart::RightArm, Weight=1); (BodyPart=ECharacterPart::LeftArm, Weight=1); (BodyPart=ECharacterPart::RightLeg, Weight=1); (BodyPart=ECharacterPart::LeftLeg, Weight=1))",None
Hudson_Guard,"(DistanceLess=2000, ProbabilityList=(BodyPart=ECharacterPart::Head, Weight=10); (BodyPart=ECharacterPart::Thorax, Weight=10); (BodyPart=ECharacterPart::RightArm, Weight=8); (BodyPart=ECharacterPart::LeftArm, Weight=8); (BodyPart=ECharacterPart::RightLeg, Weight=6); (BodyPart=ECharacterPart::LeftLeg, Weight=6); (BodyPart=ECharacterPart::Abdomen, Weight=15)); (DistanceLess=5500, ProbabilityList=(BodyPart=ECharacterPart::Head, Weight=8); (BodyPart=ECharacterPart::Thorax, Weight=10); (BodyPart=ECharacterPart::RightArm, Weight=8); (BodyPart=ECharacterPart::LeftArm, Weight=8); (BodyPart=ECharacterPart::RightLeg, Weight=6); (BodyPart=ECharacterPart::LeftLeg, Weight=6); (BodyPart=ECharacterPart::Abdomen, Weight=15)); (DistanceLess=7000, ProbabilityList=(BodyPart=ECharacterPart::Head, Weight=7); (BodyPart=ECharacterPart::Thorax, Weight=15); (BodyPart=ECharacterPart::RightArm, Weight=10); (BodyPart=ECharacterPart::LeftArm, Weight=10); (BodyPart=ECharacterPart::RightLeg, Weight=6); (BodyPart=ECharacterPart::LeftLeg, Weight=6); (BodyPart=ECharacterPart::Abdomen, Weight=10)); (DistanceLess=50000, ProbabilityList=(BodyPart=ECharacterPart::Head, Weight=7); (BodyPart=ECharacterPart::Thorax, Weight=15); (BodyPart=ECharacterPart::RightArm, Weight=15); (BodyPart=ECharacterPart::LeftArm, Weight=15); (BodyPart=ECharacterPart::RightLeg, Weight=4); (BodyPart=ECharacterPart::LeftLeg, Weight=4); (BodyPart=ECharacterPart::Abdomen, Weight=10))",None
Hudson_Guard_BlaskShield,"(DistanceLess=50000, ProbabilityList=(BodyPart=ECharacterPart::Head, Weight=50); (BodyPart=ECharacterPart::Thorax, Weight=40); (BodyPart=ECharacterPart::Abdomen, Weight=5); (BodyPart=ECharacterPart::RightArm, Weight=5); (BodyPart=ECharacterPart::LeftArm, Weight=5); (BodyPart=ECharacterPart::RightLeg, Weight=5); (BodyPart=ECharacterPart::LeftLeg, Weight=5))",None
