---,SpreadId,AreaType,AreaSize,SpreadMax,SpreadMaxFinal,bLimitSpreadRecoverSpeed,SpreadRecoverSpeed,ModifierEnableAtShootNum,ModifierEnableAtShootNumCDSeconds,FireSpreadRecoverSpeed,FireSpreadFactor,LuaDisplaySpreadFactor,LuaDisplaySpreadUIFactor
32,11310,Oval,"(2.3712,2.3712)","(X=5.900,Y=5.900)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=15.000,Y=15.000)",1,1.25,0.7
33,11311,Oval,"(0,0)","(X=180.000,Y=180.000)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,2,"(X=0.000,Y=0.000)",1,1.25,0.7
16,11140,Oval,"(2.288,2.288)","(X=5.700,Y=5.700)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=15.000,Y=15.000)",1,1.25,0.7
17,11141,Oval,"(0,0)","(X=180.000,Y=180.000)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=0.000,Y=0.000)",1,1.25,0.7
8,11100,Oval,"(2.4128,2.4128)","(X=6.000,Y=6.000)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=15.000,Y=15.000)",1,1.25,0.7
9,11101,Oval,"(0,0)","(X=180.000,Y=180.000)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=0.000,Y=0.000)",1,1.25,0.7
12,11120,Oval,"(2.8288,2.8288)","(X=7.000,Y=7.000)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=15.000,Y=15.000)",1,1.25,0.7
13,11121,Oval,"(0,0)","(X=180.000,Y=180.000)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=0.000,Y=0.000)",1,1.25,0.7
20,11160,Oval,"(2.8,2.8)","(X=7.000,Y=7.000)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=15.000,Y=15.000)",1,1.25,0.7
21,11161,Oval,"(0,0)","(X=180.000,Y=180.000)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,2,"(X=0.000,Y=0.000)",1,1.25,0.7
【正式武器】突击步枪4-8-1,11450,Oval,"(2,2)","(X=4.500,Y=4.500)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=15.000,Y=15.000)",1,1.25,0.7
【正式武器】突击步枪4-8-2,11451,Oval,"(0,0)","(X=180.000,Y=180.000)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=0.000,Y=0.000)",1,1.25,0.7
78,15050,Oval,"(2.5792,2.5792)","(X=6.400,Y=6.400)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=15.000,Y=15.000)",1,1.25,0.7
79,15051,Oval,"(0,0)","(X=180.000,Y=180.000)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,2,"(X=0.000,Y=0.000)",1,1.25,0.7
26,11210,Oval,"(2.7456,2.7456)","(X=6.850,Y=6.850)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=15.000,Y=15.000)",1,1.25,0.7
27,11211,Oval,"(0,0)","(X=180.000,Y=180.000)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,2,"(X=0.000,Y=0.000)",1,1.25,0.7
30,11230,Oval,"(2.7456,2.7456)","(X=6.850,Y=6.850)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=15.000,Y=15.000)",1,1.25,0.7
31,11231,Oval,"(0,0)","(X=180.000,Y=180.000)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,2,"(X=0.000,Y=0.000)",1,1.25,0.7
160,11240,Oval,"(2.7456,2.7456)","(X=6.850,Y=6.850)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=15.000,Y=15.000)",1,1.25,0.7
161,11241,Oval,"(0,0)","(X=180.000,Y=180.000)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,2,"(X=0.000,Y=0.000)",1,1.25,0.7
162,11250,Oval,"(2.7456,2.7456)","(X=6.850,Y=6.850)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=15.000,Y=15.000)",1,1.25,0.7
163,11251,Oval,"(0,0)","(X=180.000,Y=180.000)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,2,"(X=0.000,Y=0.000)",1,1.25,0.7
82,15070,Oval,"(3.1,3.1)","(X=8.000,Y=8.000)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=15.000,Y=15.000)",1,1.25,0.7
83,15071,Oval,"(0,0)","(X=180.000,Y=180.000)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,2,"(X=0.000,Y=0.000)",1,1.25,0.7
76,15040,Oval,"(3.5,3.5)","(X=8.000,Y=8.000)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=15.000,Y=15.000)",1,1.25,0.7
77,15041,Oval,"(0,0)","(X=180.000,Y=180.000)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,2,"(X=0.000,Y=0.000)",1,1.25,0.7
80,15060,Oval,"(3.25,3.25)","(X=8.750,Y=8.750)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=15.000,Y=15.000)",1,1.25,0.7
81,15061,Oval,"(0,0)","(X=180.000,Y=180.000)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,2,"(X=0.000,Y=0.000)",1,1.25,0.7
74,15030,Oval,"(3.25,3.25)","(X=7.500,Y=7.500)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=15.000,Y=15.000)",1,1.25,0.7
75,15031,Oval,"(0,0)","(X=180.000,Y=180.000)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,2,"(X=0.000,Y=0.000)",1,1.25,0.7
82_0,15080,Oval,"(3.8,3.8)","(X=8.750,Y=8.750)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=15.000,Y=15.000)",1,1.25,0.7
83_0,15081,Oval,"(0,0)","(X=180.000,Y=180.000)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,2,"(X=0.000,Y=0.000)",1,1.25,0.7
72,15020,Oval,"(3.3,3.3)","(X=8.000,Y=8.000)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=15.000,Y=15.000)",1,1.25,0.7
73,15021,Oval,"(0,0)","(X=180.000,Y=180.000)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,2,"(X=0.000,Y=0.000)",1,1.25,0.7
164,15310,Oval,"(3.1,3.1)","(X=8.000,Y=8.000)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=15.000,Y=15.000)",1,1.25,0.7
165,15311,Oval,"(0,0)","(X=180.000,Y=180.000)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,2,"(X=0.000,Y=0.000)",1,1.25,0.7
60,14020,Oval,"(2.5792,2.5792)","(X=6.250,Y=6.250)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=15.000,Y=15.000)",1,1.25,0.7
61,14021,Oval,"(0.1,0.1)","(X=180.000,Y=180.000)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=0.000,Y=0.000)",1,1.25,0.7
NewRow_4,140211,Oval,"(0,0)","(X=1.000,Y=1.000)","(X=180.000,Y=180.000)",False,"(X=4.000,Y=4.000)",1,1,"(X=5.000,Y=5.000)",1,1.25,0.7
171,14040,Oval,"(2.65,2.65)","(X=6.625,Y=6.625)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=15.000,Y=15.000)",1,1.25,0.7
172,14041,Oval,"(0,0)","(X=180.000,Y=180.000)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=15.000,Y=15.000)",1,1.25,0.7
58,14010,Oval,"(2.7456,2.7456)","(X=6.850,Y=6.850)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=15.000,Y=15.000)",1,1.25,0.7
59,14011,Oval,"(0.2,0.2)","(X=180.000,Y=180.000)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=0.000,Y=0.000)",1,1.25,0.7
38,12030,Oval,"(2,2)","(X=5.000,Y=5.000)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=15.000,Y=15.000)",1,1.25,0.7
39,12031,Oval,"(0,0)","(X=180.000,Y=180.000)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=0.000,Y=0.000)",1,1.25,0.7
36,12020,Oval,"(1.7472,1.7472)","(X=4.200,Y=4.200)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=15.000,Y=15.000)",1,1.25,0.7
37,12021,Oval,"(0,0)","(X=180.000,Y=180.000)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=0.000,Y=0.000)",1,1.25,0.7
131,12080,Oval,"(1.5808,1.5808)","(X=3.950,Y=3.950)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=15.000,Y=15.000)",1,1.25,0.7
132,12081,Oval,"(0,0)","(X=180.000,Y=180.000)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=0.000,Y=0.000)",1,1.25,0.7
44,12060,Oval,"(1.5808,1.5808)","(X=3.950,Y=3.950)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=15.000,Y=15.000)",1,1.25,0.7
45,12061,Oval,"(0,0)","(X=180.000,Y=180.000)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=0.000,Y=0.000)",1,1.25,0.7
34,12010,Oval,"(1.6224,1.6224)","(X=4.000,Y=4.000)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=15.000,Y=15.000)",1,1.25,0.7
35,12011,Oval,"(0,0)","(X=180.000,Y=180.000)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=0.000,Y=0.000)",1,1.25,0.7
153,12100,Oval,"(1.6,1.6)","(X=4.000,Y=4.000)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=15.000,Y=15.000)",1,1.25,0.7
NewRow,12102,Oval,"(1.6,1.6)","(X=6.000,Y=6.000)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=15.000,Y=15.000)",1,1.25,0.7
NewRow_2,12103,Oval,"(1.6,1.6)","(X=5.000,Y=5.000)","(X=5.000,Y=5.000)",True,"(X=50.000,Y=50.000)",1,1,"(X=15.000,Y=15.000)",1,1.25,0.7
154,12101,Oval,"(0,0)","(X=180.000,Y=180.000)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=0.000,Y=0.000)",1,1.25,0.7
NewRow_0,12120,Oval,"(2.5,2.5)","(X=6.000,Y=6.000)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=15.000,Y=15.000)",1,1.25,0.7
NewRow_1,12121,Oval,"(0,0)","(X=180.000,Y=180.000)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=0.000,Y=0.000)",1,1.25,0.7
NewRow_3,12122,Oval,"(1.6,1.6)","(X=4.000,Y=4.000)","(X=5.000,Y=5.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=15.000,Y=15.000)",1,1.25,0.7
169,12110,Oval,"(2.5,2.5)","(X=6.250,Y=6.250)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=15.000,Y=15.000)",1,1.25,0.7
170,12111,Oval,"(0,0)","(X=180.000,Y=180.000)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=0.000,Y=0.000)",1,1.25,0.7
48,12090,Oval,"(2,2)","(X=5.000,Y=5.000)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=15.000,Y=15.000)",1,1.25,0.7
49,12091,Oval,"(0,0)","(X=180.000,Y=180.000)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=0.000,Y=0.000)",1,1.25,0.7
40,12040,Oval,"(1.7056,1.7056)","(X=4.250,Y=4.250)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=15.000,Y=15.000)",1,1.25,0.7
41,12041,Oval,"(0,0)","(X=180.000,Y=180.000)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=0.000,Y=0.000)",1,1.25,0.7
42,12050,Oval,"(1.872,1.872)","(X=4.675,Y=4.675)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=15.000,Y=15.000)",1,1.25,0.7
43,12051,Oval,"(0,0)","(X=180.000,Y=180.000)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=0.000,Y=0.000)",1,1.25,0.7
【正式武器】狙击步枪4-1-1,16110,Oval,"(5,5)","(X=10.000,Y=10.000)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=15.000,Y=15.000)",1,1.25,0.5
【正式武器】狙击步枪4-1-2,16111,Oval,"(0,0)","(X=180.000,Y=180.000)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,2,"(X=0.000,Y=0.000)",1,1.25,0.7
【正式武器】狙击步枪4-2-1,16330,Oval,"(5,5)","(X=10.000,Y=10.000)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=15.000,Y=15.000)",1,1.25,0.5
【正式武器】狙击步枪4-2-2,16331,Oval,"(0,0)","(X=180.000,Y=180.000)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,2,"(X=0.000,Y=0.000)",1,1.25,0.7
90,16090,Oval,"(4.1,4.1)","(X=10.000,Y=10.000)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=15.000,Y=15.000)",1,1.25,0.7
91,16091,Oval,"(0,0)","(X=180.000,Y=180.000)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,2,"(X=0.000,Y=0.000)",1,1.25,0.7
88,16080,Oval,"(4,4)","(X=10.000,Y=10.000)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=15.000,Y=15.000)",1,1.25,0.7
89,16081,Oval,"(0,0)","(X=180.000,Y=180.000)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,2,"(X=0.000,Y=0.000)",1,1.25,0.7
86,16070,Oval,"(4.2,4.2)","(X=10.000,Y=10.000)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=15.000,Y=15.000)",1,1.25,0.5
87,16071,Oval,"(0,0)","(X=180.000,Y=180.000)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,2,"(X=0.000,Y=0.000)",1,1.25,0.7
52,13020,Oval,"(2,2)","(X=3.600,Y=3.600)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=7.000,Y=7.000)",1,1.25,0.7
53,13021,Oval,"(0.5,0.5)","(X=1.000,Y=1.000)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=0.000,Y=0.000)",1,1.25,0.7
151,23020,Oval,"(2,2)","(X=3.600,Y=3.600)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=5.000,Y=5.000)",1,1.25,0.7
150,23021,Oval,"(0.25,0.25)","(X=1.000,Y=1.000)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=0.000,Y=0.000)",1,1.25,0.7
50,13010,Oval,"(1.8,1.8)","(X=3.200,Y=3.200)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=3.000,Y=3.000)",1,1.25,0.7
51,13011,Oval,"(0.45,0.45)","(X=1.000,Y=1.000)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=0.000,Y=0.000)",1,1.25,0.7
54,13030,Oval,"(1.6,1.6)","(X=3.000,Y=3.000)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=3.000,Y=3.000)",1,1.25,0.7
55,13031,Oval,"(0.4,0.4)","(X=1.000,Y=1.000)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=0.000,Y=0.000)",1,1.25,0.7
106,17050,Oval,"(1.8,1.8)","(X=4.500,Y=4.500)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=15.000,Y=15.000)",1,1.25,0.7
107,17051,Oval,"(0,0)","(X=180.000,Y=180.000)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,2,"(X=0.000,Y=0.000)",1,1.25,0.7
102,17030,Oval,"(3.0576,3.0576)","(X=7.500,Y=7.500)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=15.000,Y=15.000)",1,1.25,0.7
103,17031,Oval,"(0,0)","(X=180.000,Y=180.000)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,4,"(X=0.000,Y=0.000)",1,1.25,0.7
104,17040,Oval,"(2.548,2.548)","(X=6.250,Y=6.250)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=15.000,Y=15.000)",1,1.25,0.7
105,17041,Oval,"(0,0)","(X=180.000,Y=180.000)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,2,"(X=0.000,Y=0.000)",1,1.25,0.7
108,17060,Oval,"(1.9292,1.9292)","(X=4.800,Y=4.800)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=15.000,Y=15.000)",1,1.25,0.7
109,17061,Oval,"(0,0)","(X=180.000,Y=180.000)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,2,"(X=0.000,Y=0.000)",1,1.25,0.7
100,17020,Oval,"(2.0384,2.0384)","(X=5.000,Y=5.000)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=15.000,Y=15.000)",1,1.25,0.7
101,17021,Oval,"(0.1,0.1)","(X=180.000,Y=180.000)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,4,"(X=0.000,Y=0.000)",1,1.25,0.7
106_0,17100,Oval,"(2.184,2.184)","(X=5.000,Y=5.000)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=15.000,Y=15.000)",1,1.25,0.7
107_0,17101,Oval,"(0,0)","(X=180.000,Y=180.000)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,2,"(X=0.000,Y=0.000)",1,1.25,0.7
56,13050,Oval,"(2,2)","(X=2.500,Y=2.500)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=3.000,Y=3.000)",1,1.25,0.7
57,13051,Oval,"(0.6,0.6)","(X=1.000,Y=1.000)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=0.000,Y=0.000)",1,1.25,0.7
62,14030,Oval,"(2.7455,2.7455)","(X=6.850,Y=6.850)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=15.000,Y=15.000)",1,1.25,0.7
63,14031,Oval,"(0,0)","(X=180.000,Y=180.000)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=0.000,Y=0.000)",1,1.25,0.7
10,11110,Oval,"(1.664,1.664)","(X=180.000,Y=180.000)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=0.000,Y=0.000)",1,1.25,0.7
11,11111,Oval,"(0,0)","(X=180.000,Y=180.000)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=0.000,Y=0.000)",1,1.25,0.7
64,14990,Oval,"(1,1)","(X=180.000,Y=180.000)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=0.000,Y=0.000)",1,1.25,0.7
65,14991,Oval,"(0.2,0.2)","(X=180.000,Y=180.000)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=0.000,Y=0.000)",1,1.25,0.7
66,14050,Oval,"(1,1)","(X=180.000,Y=180.000)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=0.000,Y=0.000)",1,1.25,0.7
67,14051,Oval,"(0.2,0.2)","(X=180.000,Y=180.000)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=0.000,Y=0.000)",1,1.25,0.7
68,14060,Oval,"(2,2)","(X=180.000,Y=180.000)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=0.000,Y=0.000)",1,1.25,0.7
69,14061,Oval,"(0.2,0.2)","(X=180.000,Y=180.000)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=0.000,Y=0.000)",1,1.25,0.7
70,15010,Oval,"(2,2)","(X=180.000,Y=180.000)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=0.000,Y=0.000)",1,1.25,0.7
71,15011,Oval,"(0,0)","(X=180.000,Y=180.000)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,2,"(X=0.000,Y=0.000)",1,1.25,0.7
46,12070,Oval,"(1,1)","(X=180.000,Y=180.000)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=0.000,Y=0.000)",1,1.25,0.7
47,12071,Oval,"(0.1,0.1)","(X=180.000,Y=180.000)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=0.000,Y=0.000)",1,1.25,0.7
